**************************************************************************************************************
Data downloaded from FRED (http://www.fred.org.nz) on August 5, 2014
FRED is the computer database for the NZ Fossil Record File (FRF), which is a nationally significant database administrated by GSNZ and GNS Science                                
Please acknowledge use of this data in publications, reports and presentations.                               
**************************************************************************************************************

********
Locality
********
FR Number	Yard FR Number	Locality Type	Field Number/Drillhole Name	Depth From	Depth To	Depth Unit	Drill Type	Original Grid Reference	NZMG Easting	NZMG Northing	NZGD49 Latitude	NZGD49 Longitude	Map Year	Method	Accuracy	Locality	Country	Coordinate Comments	Locality Comments	Stratigraphic Name	Inferred Stage Lower	Inferred Lower Modifier	Inferred Stage Upper	Inferred Upper Modifier	Inferred Age Start	Inferred Age Stop	Known Stage Lower	Known Lower Modifier	Known Stage Upper	Known Upper Modifier	Known Age Start	Known Age Stop	Samples Nearby	Sample Relationships	Stratigraphic Relationships	Column/Map	Dip	Dip Direction	Strike	Facing	Stratigraphy Comments	
D44/f0141		Outcrop	JGB 1906					D44 230 840 (NZMS260 map reference (truncated))	2123000.0000029537	5483999.999951368	45.74831°S	168.02527°E	1975			Small outcrop in Aparima River, 200 metres downstream from Pleasant Creen junction. Outcrop covered by thin layer of gravel and only exposed when river is low.	New Zealand			NORTH ETAL GROUP	Etalian				245.5	238.0	Etalian				245.5	238.0	D44/f9779; D44/f9038; 			J.G. Begg, 1981 (Unpubl. Ph.D.)						
D44/f0143		Outcrop						(D44) 2119200 5479400 (New Zealand Map Grid)	2119200.000002977	5479399.999951512	45.78754°S	167.9729°E	1975			COLLECTION FROM EXPOSURES BARED BY FALLEN TREES ON STEEP FLANKS OF RIDGE IN BUSH BETWEEN THE TWO TRIBUTARIES OF ALEC THE MUTCH CREEK. HIGH UP (2100 FEET ABOVE SEA LEVEL) WAIRAKI HILLS, SOUTHLAND.	New Zealand			WAIRAKI FORMATION	Makarewan				253.2	251.0																
D44/f0144		Outcrop						(D44) 2119600 5478700 (New Zealand Map Grid)	2119600.000002971	5478699.999951539	45.79405°S	167.97749°E	1975			COLLECTION FROM CONSPICUOUS LIMESTONE OUTCROP IN STREAM BED HIGH UP THIRD NORTHWEST FLOWING TRIBUTARY OF PRODUCTUS CREEK (ABOUT 2150 FEET ABOVE SEA LEVEL).	New Zealand			HAWTEL FORMATION	Waiitian				254.2	253.2																
D44/f0145		Outcrop						(D44) 2119500 5478700 (New Zealand Map Grid)	2119500.0000029732	5478699.999951539	45.79399°S	167.9762°E	1975			COLLECTION MADE FROM HUMPY WEATHERED SANDSTONE EXPOSURE BARED BY FALLEN TREES. TO EAST AND SLIGHTLY DOWNHILL IN BUSH FROM D44/f146, UPPER PRODUCTUS CREEK, WAIRAKI HILLS, SOUTHLAND.	New Zealand			WAIRAKI FORMATION	Makarewan				253.2	251.0																
D44/f0146		Outcrop						(D44) 2119400 5478600 (New Zealand Map Grid)	2119400.000002974	5478599.999951542	45.79484°S	167.97484°E	1975			COLLECTION MADE FROM SCRABBY EXPOSURE AT TOP OF NARROW GUTTED RIDGE, HIGH UP (2125 FEET ABOVE SEA LEVEL) AT BUSH EDGE BETWEEN TRIBUTARIES OF PRODUCTUS CREEK, WAIRAKI HILLS, SOUTHLAND.	New Zealand			WAIRAKI FORMATION	Makarewan				253.2	251.0																
D44/f0147		Outcrop						(D44) 2119400 5478800 (New Zealand Map Grid)	2119400.0000029732	5478799.999951534	45.79304°S	167.975°E	1975			COLLECTION MADE FROM SCRAPPY OUTCROPS JUST INSIDE BUSH (2150 FEET ABOVE SEA LEVEL). BELOW CONSPICUOUS SCREE SOUTHWEST OF LETHAM TRIG, WAIRAKI HILLS, SOUTHLAND.	New Zealand			WAIRAKI FORMATION	Makarewan				253.2	251.0																
D44/f0148		Outcrop						(D44) 2118700 5479000 (New Zealand Map Grid)	2118700.00000298	5478999.999951525	45.79086°S	167.96617°E	1975			COLLECTION MADE FROM SANDY HORIZON (THIN) AND ADJACENT BEDS IN GLENDALE LIMESTONE 2/3 WAY UP BLUFFY EXPOSURE SOUTH SIDE OF SOUTH BRANCH OF ALEC THE MUTCH CREEK, WAIRAKI HILLS, SOUTHLAND.	New Zealand			GLENDALE LIMESTONE	Puruhauan				259.8	254.2																
D44/f0149		Outcrop						(D44) 2118900 5477700 (New Zealand Map Grid)	2118900.0000029756	5477699.999951579	45.80264°S	167.96771°E	1975			FROM CONSPICUOUS BLUFFY HILLSIDE EXPOSURES TO EAST OF THE NORTH FORK OF CARAVAN CREEK.	New Zealand			HAWTEL FORMATION	Waiitian				254.2	253.2																
D44/f0150		Outcrop						(D44) 2116600 5483600 (New Zealand Map Grid)	2116600.000003003	5483599.999951371	45.74838°S	167.94286°E	1975			FROM OBVIOUS LIMESTONE EXPOSED AS BLOCKS AND STREAM BED FAR UP LIME CREEK, DEEP IN TAKITIMU FOREST.	New Zealand				Waiitian				254.2	253.2																
D44/f0151		Outcrop						(D44) 2119400 5480200 (New Zealand Map Grid)	2119400.0000029765	5480199.999951482	45.78047°S	167.9761°E	1975			FROM CONSPICUOUS HUMPY OUTCROPS BELOW STEEP CHANGE IN SLOPE; BETWEEN TWO TRIBUTARIES OF PRODUCTUS CREEK.	New Zealand			HAWTEL FORMATION	Waiitian				254.2	253.2														Normal		
D44/f0152		Outcrop						(D44) 2119600 5478700 (New Zealand Map Grid)	2119600.000002971	5478699.999951539	45.79405°S	167.97749°E	1975			COLLECTION FROM CLIFF EXPOSURE. UPHILL AND NORTHEAST OF D44/f146 UPPER PRODUCTUS CREEK, WAIRAKI HILLS SOUTHLAND.	New Zealand			WAIRAKI FORMATION	Makarewan				253.2	251.0																
D44/f0153		Outcrop						(D44) 2119300 5479500 (New Zealand Map Grid)	2119300.000002976	5479499.999951508	45.7867°S	167.97427°E	1975			COLLECTION FROM EXPOSURES BARED BY FALLEN TREES AT TOP OF RIDGE IN BUSH BETWEEN THE TWO TRIBUTARIES OF ALEC THE MUTCH CREEK. UPHILL AND NORTHEAST OF D44/f143, WAIRAKI HILLS SOUTHLAND.	New Zealand			WAIRAKI FORMATION	Makarewan				253.2	251.0																
D44/f0154		Outcrop						(B44) 2019000 5479800 (New Zealand Map Grid)	2019000.0000037707	5479799.999951349	45.72149°S	166.68849°E	1975			SAMPLE FROM EXPOSURE IN SOUTHERN MOST BRANCH OF LUCY'S CREEK, JUST INSIDE BEECH FOREST (2000 FEET ABOVE SEA LEVEL). WAIRAKI HILLS, SOUTHLAND.	New Zealand			HAWTEL FORMATION	Waiitian				254.2	253.2																
D44/f0155		Outcrop						(D44) 2119200 5480600 (New Zealand Map Grid)	2119200.0000029793	5480599.999951467	45.77676°S	167.97385°E	1975			COLLECTION FROM SCRAPPY OUTCROP JUST INSIDE BEECH FOREST, BETWEEN TWO NORTHERN TRIBUTARIES OF LUCYS CREEK (1950 FEET ABOVE SEA LEVEL), WAIRAKI HILLS, SOUTHLAND.	New Zealand			WAIRAKI FORMATION	Makarewan				253.2	251.0																
D44/f0155A		Outcrop	PC4					(D44) 2119200 5480600 (New Zealand Map Grid)	2119200.0000029793	5480599.999951467	45.77676°S	167.97385°E	1975			COLLECTION FROM SCRAPPY OUTCROP JUST INSIDE LETHAM BEECH FOREST BETWEEN TWO NORTHERN TRIBUTARIES OF CREEK SOUTH OF CORAL BLUFF (LUCY'S CREEK) WAIRAKI HILLS, SOUTHLAND.	New Zealand			WAIRAKI FORMATION	Makarewan				253.2	251.0																
D44/f0156		Outcrop						(D44) 2119500 5477700 (New Zealand Map Grid)	2119500.000002972	5477699.999951581	45.80297°S	167.97542°E	1975			COLLECTION FROM CONSPICUOUS LOW RIDGE OUTCROP HIGH UP ON FLANK (1950 FEET ABOVE SEA LEVEL) TO SOUTH OF NORTHERN BRANCH OF CARAVAN CREEK. WAIRAKI HILLS, SOUTHLAND.	New Zealand			WAIRAKI FORMATION	Makarewan				253.2	251.0																
D44/f0157		Outcrop						(B44) 2018300 5479900 (New Zealand Map Grid)	2018300.000003776	5479899.999951346	45.72011°S	166.67963°E	1975			COLLECTION FROM OUTCROP IN CREEK IN MAIN SOUTHERN BRANCH OF LUCY'S CREEK, ABOUT 100 M UPSTREAM FROM MINOR FORK AND INSIDE BEECH FORESTS.	New Zealand			HAWTEL FORMATION	Waiitian				254.2	253.2																
D44/f0176		Outcrop	131					(D44) 2113700 5475100 (New Zealand Map Grid)	2113700.0000030105	5475099.999951685	45.8231°S	167.89887°E	1975			WAIRAKI RIVER, ROAD SOUTH SIDE OF RIVER ON SPUR IMMEDIATELY UPSTREAM OF TELFORD BURN CONFLUENCE GRID REF S159/935712.	New Zealand			TAKITIMU GROUP																						
D44/f0184		Outcrop	PC3					(D44) 2119100 5480600 (New Zealand Map Grid)	2119100.00000298	5480599.999951467	45.77671°S	167.97257°E	1975			COLLECTION FROM OUTCROP ON RIDGE BETWEEN TWO NORTHERN TRIBUTARIES OF CREEK SOUTH OF CORAL BLUFF (LUCY'S CREEK) ABOUT 50 M FROM THE BUSH LINE AND JUST SOUTH OF D44/f155A WAIRAKI HILLS, SOUTHLAND.	New Zealand			WAIRAKI FORMATION	Makarewan				253.2	251.0																
D44/f0192		Outcrop	PC 11A					(D44) 2118300 5480300 (New Zealand Map Grid)	2118300.0000029844	5480299.999951476	45.77896°S	167.96206°E	1975			SMALL OUTCROP IN CREEK BED, 50 M BELOW BUSH EDGE IN STREAM. SOUTH BRANCH OF LUCY'S CREEK, IMMEDIATELY BENEATH TOPOGRAPHIC SCARP FORMED BY BASE OF GLENDALE LIMESTONE.	New Zealand			MANGAREWA FORMATION	Braxtonian				276.0	259.8										FORCE, 1975.						
D44/f0204		Outcrop	MI					(D44) 2118900 5474200 (New Zealand Map Grid)	2118900.000002967	5474199.999951745	45.83408°S	167.96495°E	1975			350 METRES NORTHWEST OF TRIG MORLEY. FROM SMALL OUTCROP ABOVE WEST FLOWING TRIBUTARY OF NE BRANCH MORLEY STREAM. 150 METRES EAST OF CONGLOMERATE BLUFFS IN UPPER MORLEY STREAM.	New Zealand				D'Urville Series				259.8	251.0																
D44/f0222		Outcrop	McF H18 JDC3737					D44 227 732 (NZMS260 map reference (truncated))	2122700.0000029346	5473199.99995181	45.84514°S	168.01299°E	1975			Track to Fletts Hut. In track cutting by ford between hut and airstrip.	New Zealand																			Begg, 1981.						
D44/f0223		Outcrop	H14 JDC2021					D44 194 788 (NZMS260 map reference (truncated))	2119400.0000029732	5478799.999951534	45.79304°S	167.975°E	1975			'Big Scree' above Productus Creek, Wairaki Siltstone outcrop in place, near top of scree and overlain by sandstone.	New Zealand				Etalian				245.5	238.0							D44/f9941; 			Begg (1981).						
D44/f0232		Outcrop	HJC1162					(D44) 2112600 5481200 (New Zealand Map Grid)	2112600.0000030315	5481199.999951435	45.76771°S	167.88963°E	1975			TAKITIMU MOUNTAINS; HEADWATERS OF ARMCHAIR CREEK, EAST SIDE OF HEARTBREAK RIDGE. COLLECTION MADE FROM BOULDER BLOCK SOME 30 M UP NORTHERNMOST TRUE LEFT HAND SIDE TRIBUTARY OF ARMCHAIR CREEK.	New Zealand			McLean Peaks Formation	Mangapirian				285.0	276.0	Aparima Series		D'Urville Series		288.5	251.0										
D44/f0234		Outcrop	HJC1164					(D44) 2112500 5481300 (New Zealand Map Grid)	2112500.0000030333	5481299.999951432	45.76675°S	167.88843°E	1975			TAKITIMU MOUNTAINS; HEADWATERS OF ARMCHAIR CREEK, EAST SIDE OF HEARTBREAK RIDGE. COLLECTION MADE FROM 2 ND PROMINENT KNOB TO LEFT AS ONE PROCEEDS UP RIDGE TOWARDS HEARTBREAK RIDGE, FROM SADDLE AT HEAD OF NORTHERNMOST TRUE LEFT HAND SIDE TRIBUTARY OF ARMCHAIR CREEK.	New Zealand			MCLEAN PEAKS FORMATION	Mangapirian				285.0	276.0	Aparima Series		D'Urville Series		288.5	251.0										
D44/f0235		Outcrop	HJC1165					(D44) 2112600 5481200 (New Zealand Map Grid)	2112600.0000030315	5481199.999951435	45.76771°S	167.88963°E	1975			TAKITIMU MOUNTAINS; HEADWATERS OF ARMCHAIR CREEK. EAST SIDE OF HEARTBREAK RIDGE. OUTCROP EXPOSED C. 20 M ABOVE SADDLE ON RIDGE TOWARDS HEARTBREAK RIDGE, AT HEAD OF NORTHERNMOST TRUE LEFT HAND SIDE TRIBUTARY OF ARMCHAIR CREEK.	New Zealand			MCLEAN PEAKS FORMATION	Mangapirian				285.0	276.0	Aparima Series		D'Urville Series		288.5	251.0										
D44/f0236		Outcrop	HJC1139					(D44) 2118800 5479800 (New Zealand Map Grid)	2118800.000002981	5479799.999951495	45.78373°S	167.96808°E	1986			TAKITIMU MOUNTAINS; WEST SIDE OF LETHAM HILL; OUTCROP ON GRADER-SCRAPED SCARFACE, SOUTH SIDE OF FENCE LINE, ABOUT 4 POSTS UP FROM LOWEST POINT IN FENCE LINE, C. 50 M WEST OF BUSH EDGE AND DUE WEST OF LETHAM HILL TRIG.	New Zealand			WAIRAKI BRECCIA	Makarewan				253.2	251.0																
D44/f0238		Outcrop	HJC143					(D44) 2117600 5478200 (New Zealand Map Grid)	2117600.000002986	5478199.999951555	45.79743°S	167.95142°E	1986			TAKITIMU MOUNTAINS, ELBOW CREEK; STREAM BED OUTCROP BENEATH NEW BRIDGE, 20 M UPSTREAM AND 10 M DOWNSTREAM OF BRIDGE ON TRUE LEFT HAND SIDE.	New Zealand			ELBOW FORMATION																						
D44/f0239		Outcrop	HJC1144					(D44) 2117500 5477900 (New Zealand Map Grid)	2117500.0000029868	5477899.9999515675	45.80007°S	167.94989°E	1986			TAKITIMU MOUNTAINS; ELBOW CREEK; OUTCROP ON TRUE RIGHT HAND SIDE OF ELBOW CREEK C. 45-50 M UP FROM ITS JUNCTION WITH WAIRAKI RIVER AND TO IMMEDIATE EAST OF END POST OF NEW FENCE.	New Zealand			ELBOW FORMATION	Mangapirian				285.0	276.0																
D44/f0240		Outcrop	HJC1153					(D44) 2106300 5472600 (New Zealand Map Grid)	2106300.000003063	5472599.999951794	45.84137°S	167.80179°E	1986			TAKITIMU MOUNTAINS, WAIRAKI RIVER; OUTCROP AND SCREES ON NORTH LEADING RIDGE OF HILL 439, HIGH ABOVE WAIRAKI RIVER WHERE IT CUTS IN CLOSEST TO RIDGE.	New Zealand			BRUNEL FORMATION	Telfordian				288.5	285.0							D44/f9604; 									
D44/f0241		Outcrop	HJC1154					(D44) 2109600 5471400 (New Zealand Map Grid)	2109600.000003033	5471399.999951873	45.85402°S	167.84321°E	1986			TAKITIMU MOUNTAINS, WAIRAKI RIVER; OUTCROP ON HILLSIDE ON N SIDE OF HILL 452, HIGH UP GULLY DIRECTLY OPPOSITE GIBRALTAR BURN.	New Zealand			BRUNEL FORMATION	Mangapirian				285.0	276.0							D44/f9511; 									
D44/f0242		Outcrop	HJC1155					(D44) 2109700 5471300 (New Zealand Map Grid)	2109700.0000030315	5471299.9999518795	45.85498°S	167.84442°E	1986			TAKITIMU MOUNTAINS, WAIRAKI RIVER; ROADSIDE OUTCROP ON SOUTH SIDE OF ROAD OVER HILL 452 BETWEEN WAIRAKI RIVER AND SHARPRIDGE CREEK, SOME 20-30 M ABOVE LOWEST POINT IN ROAD WHERE IT CROSSES HEAD OF GULLY WITH D44/f9511.	New Zealand			BRUNEL FORMATION	Mangapirian				285.0	276.0							D44/f9511; 									
D44/f0243		Outcrop	HJC1156					(D44) 2109800 5471400 (New Zealand Map Grid)	2109800.00000303	5471399.999951873	45.85413°S	167.84578°E	1986			TAKITIMU MOUNTAINS, WAIRAKI RIVER; OUTCROP ON KNOB FACING WAIRAKI RIVER TO NORTH SIDE OF ROAD OVER HILL 452, (BETWEEN WAIRAKI RIVER AND SHARPRIDGE CREEK), C. 400 M BEFORE END OF TRACK AND MAJOR FENCE JUNCTION.	New Zealand			BRUNEL FORMATION																						
