**************************************************************************************************************
Data downloaded from FRED (http://www.fred.org.nz) on August 5, 2014
FRED is the computer database for the NZ Fossil Record File (FRF), which is a nationally significant database administrated by GSNZ and GNS Science                                
Please acknowledge use of this data in publications, reports and presentations.                               
**************************************************************************************************************

********
Locality
********
FR Number	Yard FR Number	Locality Type	Field Number/Drillhole Name	Depth From	Depth To	Depth Unit	Drill Type	Original Grid Reference	NZMG Easting	NZMG Northing	NZGD49 Latitude	NZGD49 Longitude	Map Year	Method	Accuracy	Locality	Country	Coordinate Comments	Locality Comments	Collectors	Collection Date	Fossils in Place	Sent To	Not Collected	Significance/Comments	Stratigraphic Name	Inferred Stage Lower	Inferred Lower Modifier	Inferred Stage Upper	Inferred Upper Modifier	Inferred Age Start	Inferred Age Stop	Known Stage Lower	Known Lower Modifier	Known Stage Upper	Known Upper Modifier	Known Age Start	Known Age Stop	Samples Nearby	Sample Relationships	Stratigraphic Relationships	Column/Map	Dip	Dip Direction	Strike	Facing	Stratigraphy Comments	Primary Grainsize	Secondary Grainsize	Comparator Used	Bedding Thickness	Bedding Features	Weathering	Hardness	Carbonate	Colour	Sedimentary Features	Inferred Environment	Nature of Rock Unit	Correspondence	
D42/f7517	S131/f0517	Outcrop						S131 035 643 (NZMS1 SthIsl (truncated))	2120948.3027688893	5559986.913206356	45.06469°S	168.05773°E	1975			LOOSE BOULDER AT LARGE CLEARING IN BUSH, UP ANNEAR STREAM. THE FIRST CLEARING UP FROM E. EGLINTON AND BELOW BIG CLIFF WEST SIDE OF STREAM. DERIVED FROM HOWDEN LST. 600 M ABOVE TO EAST.	New Zealand			Waterhouse, J.B.; 	January 28, 1961	No	(macrofauna) NZGS; 		FIRST BRACHIOPODS KNOWN FROM THE HOWDEN OR WOODED PEAK LIMESTONES. IN A TE ANAU TYPE BRECCIA, BETWEEN TYPICAL LIMESTONE BEDS, ALL IN THE ONE BOULDER. BRACHIOPOD FRAGS. (CHONETID-PRODUCTIOL) AND SPIRIFERID?.	HOWDEN FORMATION																Originally mapped as Howden by Grindley 1958.						cobble						hard	calcareous	light blue-grey		Marine			
D43/f0015		Outcrop						D43 242 238 (NZMS260 map reference (truncated))	2124200.0000028918	5523799.999951913	45.39149°S	168.07137°E				10 metres below isolated beech tree on Mararoa River side of ridge south-southeast of 3925 altitude 2160 feet.	New Zealand			Landis, C.A.; Aitchison, J.C.; 	April 21, 1984	Yes	(macrofauna) Otago U; 		Correlates with Retford Member of Snowdon Formation in Countess Range. ?Tr age.	SNOWDON FORMATION	Malakovian				246.5	245.5									150 m above top ELDON SANDSTONE; 150 m above base SNOWDON FORMATION; 	Aitchison MSc 1984.	65	S	144	Normal		granule	medium sand	Y	60 - 120 cm	graded	none or slight	hard	calcareous	green (Dry)	feldspathic (abundant); shelly; rock fragments (abundant); 	Marine: Deep sea basin.	Epiclastic 'proximal' turbidite facies B2.		
D43/f0028		Outcrop	HJC1138					(D43) 2112300 5501600 (New Zealand Map Grid)	2112300.0000030342	5501599.99995126	45.58434°S	167.90208°E	1975			TAKITIMU MOUNTAINS, WAITUNA STREAM; SCREE ACCUMULATIONS BELOW LOWEST BIG BLUFF OF CONSPICUOUS PINNACLED RIDGE, TRUE RIGHT HAND SIDE OF WAITUNA STREAM.	New Zealand			Woods, M.; Forsyth, P.J.; Campbell, H.J.; 	January 28, 1987	No	(macrofauna) Campbell, H.J./NZGS; 		ATTEMPTED TO RECOLLECT GS7803 (FAILED), FOSSILIFEROUS PERMIAN BLOCK WITHIN CENOZOIC CONGLOMERATE.	TAKITIMU GROUP							Aparima Series		D'Urville Series		288.5	251.0										granule	fine sand	N			moderate	moderately hard	non-calcareous	medium green-brown	rock fragments; 	Marine	MICROBRECCIA.	SEE J.B.W. BULLETINS E.G. PAL.BULL. 48.	
D43/f9524	S150/f0524	Outcrop						D43 1237 0201 (NZMS260 map reference (truncated))	2112370.0000030324	5502009.999951266	45.58069°S	167.9033°E				1.21 KM SOUTH EAST OF WAITUNA STATION, ON HILL RIDGE KNOB 50 METRES WEST OF BUSH EDGE. (S150/F524 GRID 930 010).	New Zealand			Waterhouse, J.B.; 	November 16, 1960		(macrofauna) NZGS; 	Martinia, Attenuatella, Omphalotrachiid, etc.	Derived from Permian (?Takitimu Group). and rich in Permian fossils.	?TAKITIMU GROUP																						boulder						hard	calcareous	dark blue-grey				J.B. WATERHOUSE NZJGG 6 (1) 1963 AND OTHERS.	
D43/f9537	S150/f0537	Outcrop						D43 2603 0462 (NZMS260 map reference (truncated))	2126030.0000029244	5504619.999951286	45.56475°S	168.08002°E				Outcrop on right bank of Weydon Burn, immediately north of and below Mossburn - Te Anau main highway, about 1 mile east of Mount Hamilton Creek bridge. Fossils were collected from bed 9 feet above 2.5 foot white-weathering tuff band.	New Zealand			Coombs, D.S.; Landis, C.A.; Miller, W.D.; Campbell, J.D.; 	November 1, 1963	Yes	(macrofauna) Otago U; 		Previously mapped as Kaihiku Series by J.D. McCraw (MSc thesis).																							fine sand						moderately soft	non-calcareous						
D43/f9537A		Outcrop	JDC1980/H42					D43 260 046 (NZMS260 map reference (truncated))	2126000.0000029234	5504599.999951286	45.56492°S	168.07963°E	1975			Weydon Burn. Outcrop in stream bank where stream swings close to Mossburn-Te Anau road. 1.2km east of bridge	New Zealand				May 11, 1982		(macrofauna) Otago U; 																									silt	very fine sand	Y	5 - 60 cm		none or slight	hard	non-calcareous	medium grey (Dry)		Marine			
D44/f0016		Outcrop	285					D44 977 827 (NZMS260 map reference (truncated))	2097700.0000031525	5482699.999951372	45.74573°S	167.69972°E	1971			Bluffy outcrop some 1500 metres through the beech forest up the southern most major east flowing tributary of Pleasant Stream.	New Zealand			Landis, C.A.; Campbell, H.J.; Campbell, J.D.; 	March 1975	Yes	(macrofauna) Otago U; 		A comparitively rich fauna, for the large part identifiable and of special interest - trilobite bearing. Stratigraphy is obscure but the fauna allows for correlation. The Pleasant Creek Formation enhances structural and paleoenvironmental theories regarding the Productus Creek and Takitimu Group relationship.	Pleasant Creek Formation (Productus Creek Group)	Braxtonian				276.0	259.8									c. 10 m above top TAKITIMU GROUP; 	H.J. Campbell, 1975, 4th year project, OU.	45	NE	175	Normal		granule	mud	N			moderate	moderately hard	calcareous	medium grey (Dry)	shelly; rock fragments; 	Marine	Lithologies comprise recrystallized limestone, biocalcilutite and pebbly calcarenite - all fossiliferous.		
D44/f0017		Outcrop	381					D44 973 808 (NZMS260 map reference (truncated))	2097300.0000031535	5480799.999951425	45.76255°S	167.69301°E	1971			Conspicuous disturbed biocacirudite, some 3000 metres through beech forest, up the Lime Creek (informal) tributary of the Letham Burn. Outcrop in stream bed and as large blocks on slopes above stream, especially on the north side.	New Zealand			Campbell, H.J.; Landis, C.A.; 	1975	Yes	(macrofauna) Otago U; 		Fault bounded sliver (inferred) of Productus Creek Group. Hence, evidence for tectonic activity. Any clues to the timing of this activity will be of considerable interest. Was it during Productus Creek Group deposition or after? Takitimu Group rocks to the west. Malakoff Hill Group rocks to the east.	Lime Creek Inlier - Productus Creek Group																			175	Normal		pebble	mud	N				hard	limestone	light white-grey (Dry)	shelly; rock fragments; 	Marine	Biocalcirudite.		
D44/f0018		Outcrop	68f					D44 992 758 (NZMS260 map reference (truncated))	2099200.000003129	5475799.999951617	45.80855°S	167.71323°E	1971			On sharp little ridge crest, on the south side of Alec Mutch Creek (informal), above the first three trees you come across as you walk up the creek.	New Zealand			Campbell, H.J.; Giddens, U.M.; 	December 1974	Yes	(macrofauna) Otago U; 		Through collection of the Mangarewa Formation, but from a new locality - mainly bivalves and gastropods. Quite different from the brachiopod rich fauna along strike to the south, in Productus Creek (i.e. type locality).	MANGAWERA FORMATION																				Normal		medium sand	very fine sand	N			moderate	moderately hard	limestone	dark grey (Dry)	shelly; carbonaceous; burrowed; 	Marine	Fossiliferous sandy Atomodesma limestone.		
D44/f0022		Outcrop						D44 987 748 (NZMS260 map reference (truncated))	2098700.0000031283	5474799.999951661	45.81724°S	167.70598°E	1971			20 METRES DOWN ELBOW CREEK, BELOW THE ROAD CROSSING OUTCROPS IN RIVER BED AND BANKS.	New Zealand			Houghton, B.F.; Coombs, D.S.; 	1974	Yes	(microflora) Olivecrona, Y.M./NZGS; (macrofauna) Otago U; 		FOSSILIFEROUS ROCKS CLOSE TO THE STRATIGRAPHIC TOP OF THE TAKITIMU GROUP.	TAKITIMU GROUP	Mangapirian				285.0	276.0										H.J. CAMPBELL 1975 4 th YEAR PROJECT O. U.			180	Normal		mud		N			moderate	moderately hard	calcareous	grey (Dry)		Marine	MASSIVE GREY SILTSTONE.		
D44/f0033		Outcrop	159					D44 003 775 (NZMS260 map reference (truncated))	2100300.0000031227	5477499.999951547	45.79392°S	167.72876°E	1971			Small outcrops just inside beech forest between Contact Creek (informal) and Lucy's Creek (informal).	New Zealand			Campbell, H.J.; 	February 1975	Yes	(macrofauna) Otago U; 		Not systematically collected.	WAIRAKI BRECCIA	Makarewan				253.2	251.0										H.J. Campbell, 1975, 4th year project, OU.				Normal		coarse sand	granule	N			intense	moderately soft	non-calcareous	light brown-grey (Dry)		Marine	Highly weathered volcanogenic sandstone.		
D44/f0036		Outcrop	14					D44 183 809 (NZMS260 map reference (truncated))	2118300.000002986	5480899.999951455	45.77357°S	167.96254°E	1971			Coral Bluff.	New Zealand			Campbell, H.J.; 	February 1975	Yes	(macrofauna) Otago U; 			MANGAREWA FORMATION	Braxtonian				276.0	259.8											10	E	180	Normal							moderate	hard	limestone	grey-white (Dry)		Marine	Disturbed recrystallized coral bryozoan sandy limestone.		
D44/f0043		Outcrop	JGB 1187					D44 194 722 (NZMS260 map reference (truncated))	2119400.000002956	5472199.999951857	45.85231°S	167.96979°E	1978			Small saddle between a north flowing and a south flowing tributary of Morley Stream, 300 metres east of the gate at the north end of the cultivation (just before road goes down to cross the Morley Creek).	New Zealand			Bradshaw, J.D.; Campbell, J.D.; Begg, J.G.; Paris, J.P.; 	1976	Yes	(macrofauna) Otago U; 		A Malakovian fauna 6 kilometres from the original Malakovian fauna.	MALAKOFF HILL GROUP	Malakovian				246.5	245.5									150 m above base MURIHIKU SUPERGROUP (Faulted); 		25		178	Normal	Approximately 25 degrees dip.	granule	coarse sand	N	non-bedded		moderate	moderately hard	calcareous	dark green (Dry)	carbonaceous; rock fragments; tuffaceous; 	Marine	Sandy pebble conglomerate.	JDC 3240 WD	
D44/f0044		Outcrop	JGB 1077					D44 237 747 (NZMS260 map reference (truncated))	2123700.00000293	5474699.999951732	45.83222°S	168.02701°E	1977			Sharp bend in farm track in Upper Etal Creek catchment. 3.7 kilometres at 188° from Trig E, Etal.	New Zealand			Begg, J.G.; 	December 5, 1975	Yes	(macrofauna) Otago U; (microfauna) Otago U; 		Just northwest of a large northeast - southwest trending fault which separates these rocks from Oretian rocks (cf D44/ ).	NORTH ETAL GROUP	Etalian				245.5	238.0										Mutch, 1972.						medium sand	very fine sand	Y	1 - 5 cm		moderate	moderately soft	non-calcareous	medium blue-grey	shelly (abundant); tuffaceous (abundant); 	Marine	Interbedded very fine sandstones and medium-coarse grained crystal tuffs.		
D44/f0044A		Outcrop	135					(D44) 2123700 5474700 (New Zealand Map Grid)	2123700.00000293	5474699.999951732	45.83222°S	168.02701°E	1975			Track from Fletts Hut to North Etal Creek.	New Zealand			Olivecrona, Y.M.; Raine, J.I.; Campbell, H.J.; 	December 19, 1981	Yes	(microflora) Raine, J.I./NZGS; (macrofauna) Campbell, H.J./NZGS; (macroflora) Raine, J.I./NZGS; 		Collected for Triassic Palynology Bulletin. Most fossils from top of outcrop.	Murihiku Supergroup							Etalian				245.5	238.0										fine sand		N			none or slight	moderately hard		medium grey (Dry)		Marine		H.J. CAMPBELL field book 1981. Report PAL34.	
D44/f0046		Outcrop	JGB 1704 (1705)					D44 236 796 (NZMS260 map reference (truncated))	2123600.0000029407	5479599.999951512	45.78816°S	168.02954°E	1977			On western flank of Etal Ridge, 1.5 kilometres north-northwest of Etal Peak. Just north of Baird's Bush. 337° at 1.5 kilometres from Trig E, Etal, 3053 feet. 092° at 3.7 kilometres from Trig F, Letham, 3147 feet.	New Zealand			Begg, J.G.; 	January 6, 1976	Yes	(macrofauna) Otago U; (microfauna) Otago U; 		Close to the top of the Etalian.	NORTH ETAL GROUP	Etalian				245.5	238.0	Etalian				245.5	238.0				A.R. Mutch, 1972.						very fine sand	silt	Y	1 - 5 cm		none or slight	moderately soft	non-calcareous	medium blue-grey (Dry)	burrowed; 	Marine	Finely bedded, very fine sandstones and siltstones. Some fine sandstones.		
D44/f0047		Outcrop	JGB 1906					D44 230 840 (NZMS260 map reference (truncated))	2123000.0000029537	5483999.999951368	45.74831°S	168.02527°E	1977			Small outcrop beneath Aparima River, just north of old hut site, about 400 metres downstream from Pleasant Creek Junction. 084° at 2.9 kilometres from Trig H+, 2572 feet. 306° at 1.7 kilometres from Trig Z, 2005 feet.	New Zealand			Begg, J.G.; 	January 15, 1976	Yes	(macrofauna) Otago U; 		Isolated concretion in small outcrop covered by river cobbles.	NORTH ETAL GROUP	Etalian				245.5	238.0	Etalian				245.5	238.0	D44/f9779; 			A.R. Mutch, 1972						very fine sand	fine sand	Y			none or slight	moderately hard	non-calcareous	medium grey (Dry)	concretionary; shelly; carbonaceous; 	Marine	Concretion in fine - very fine sandstone.		
D44/f0048		Outcrop	JGB 1969					D44 199 863 (NZMS260 map reference (truncated))	2119900.0000029798	5486299.99995131	45.72596°S	167.98731°E	1977			East flanks of Pleasant Creek, 500 metres south of the sharp corner. Large scree. 317° at 5.6 kilometres from Trig Z, 2005 feet. 356° at 2.7 kilometres from Trig H+, 2572 feet.	New Zealand			Begg, J.G.; 	April 10, 1976	No	(macrofauna) Otago U; 		Low in the Etalian? Stage.		Etalian				245.5	238.0	Malakovian		Etalian		246.5	238.0				A.R. Mutch, 1972.						granule	coarse sand	Y			none or slight	moderately hard	non-calcareous	medium blue-green (Dry)	rock fragments; 	Marine	Granule conglomerate, tuffs and sandstones interbedded.		
D44/f0049		Outcrop	JGB 1983					D44 232 824 (NZMS260 map reference (truncated))	2123200.00000295	5482399.999951414	45.76279°S	168.02659°E	1977			North Etal Creek 0.3 kilometres below Kangaroo Creek Junction. 050° at 4.2 kilometres from Trig F, Letham.	New Zealand			Begg, J.G.; 	November 26, 1976	Yes	(macrofauna) Otago U; 			NORTH ETAL GROUP	Etalian				245.5	238.0	Etalian				245.5	238.0	D44/f9542; 			Mutch, 1972.						silt	very fine sand	Y			none or slight	moderately hard	calcareous	medium blue-grey (Dry)	concretionary; shelly; 	Marine	Concretionary siltstone.		
D44/f0117		Outcrop						(D44) 2118600 5480900 (New Zealand Map Grid)	2118600.0000029826	5480899.999951456	45.77374°S	167.96639°E	1974			Second major east tributary of Letham burn, north of junction with Wairaki, where stream forks into 3, over rocky ridge at west edge of beech forest.	New Zealand			Waterhouse, J.B.; Briggs, D.; 	February 7, 1980	Yes	(macrofauna) Waterhouse, J.B.; 		Middle Mangarewa of uncertain age with long ranging Neochonetes.	MANGAREWA FORMATION	Braxtonian				276.0	259.8									9 m above top Letham Formation; 1.5 m below base Glendale Member; 							medium sand		N	non-bedded		moderate	moderately hard	non-calcareous	brown	tuffaceous; 	Marine	Massive sandstone.		
D44/f0141		Outcrop	JGB 1906					D44 230 840 (NZMS260 map reference (truncated))	2123000.0000029537	5483999.999951368	45.74831°S	168.02527°E	1975			Small outcrop in Aparima River, 200 metres downstream from Pleasant Creen junction. Outcrop covered by thin layer of gravel and only exposed when river is low.	New Zealand			Begg, J.G.; 	January 15, 1976	Yes	(macrofauna) Otago U; 		Extremely well preserved ammonoids in concretion.	NORTH ETAL GROUP	Etalian				245.5	238.0	Etalian				245.5	238.0	D44/f9779; D44/f9038; 			J.G. Begg, 1981 (Unpubl. Ph.D.)						very fine sand	silt	Y			none or slight	moderately hard	calcareous	medium grey (Dry)	concretionary; shelly (abundant); carbonaceous; pyritic; 	Marine	Concretionary siltstone.		
D44/f0143		Outcrop						(D44) 2119200 5479400 (New Zealand Map Grid)	2119200.000002977	5479399.999951512	45.78754°S	167.9729°E	1975			COLLECTION FROM EXPOSURES BARED BY FALLEN TREES ON STEEP FLANKS OF RIDGE IN BUSH BETWEEN THE TWO TRIBUTARIES OF ALEC THE MUTCH CREEK. HIGH UP (2100 FEET ABOVE SEA LEVEL) WAIRAKI HILLS, SOUTHLAND.	New Zealand			Campbell, H.J.; Simes, J.E.; 	January 24, 1980	Yes	(microflora) Olivecrona, Y.M./NZGS; (macrofauna) Campbell, H.J./NZGS; 			WAIRAKI FORMATION	Makarewan				253.2	251.0																pebble	fine sand	N			moderate	moderately hard	calcareous	light grey (Dry)	rock fragments (abundant); 	Marine	Fossiliferous volcaniclastic granule pebble conglomerate.		
D44/f0144		Outcrop						(D44) 2119600 5478700 (New Zealand Map Grid)	2119600.000002971	5478699.999951539	45.79405°S	167.97749°E	1975			COLLECTION FROM CONSPICUOUS LIMESTONE OUTCROP IN STREAM BED HIGH UP THIRD NORTHWEST FLOWING TRIBUTARY OF PRODUCTUS CREEK (ABOUT 2150 FEET ABOVE SEA LEVEL).	New Zealand			Simes, J.E.; Campbell, H.J.; 	January 26, 1980	Yes	(macrofauna) NZGS; 		NEW LOCALITY - HILTON LIMESTONE MEMBER?.	HAWTEL FORMATION	Waiitian				254.2	253.2																pebble	very fine sand				moderate	moderately hard	limestone	light grey-white (Dry)	shelly (abundant); rock fragments (abundant); tuffaceous; 	Marine	Volcaniclastic granule and pebble bearing bryozoan limestone.		
D44/f0145		Outcrop						(D44) 2119500 5478700 (New Zealand Map Grid)	2119500.0000029732	5478699.999951539	45.79399°S	167.9762°E	1975			COLLECTION MADE FROM HUMPY WEATHERED SANDSTONE EXPOSURE BARED BY FALLEN TREES. TO EAST AND SLIGHTLY DOWNHILL IN BUSH FROM D44/f146, UPPER PRODUCTUS CREEK, WAIRAKI HILLS, SOUTHLAND.	New Zealand			Campbell, H.J.; 	January 22, 1980	Yes	(macrofauna) NZGS; 			WAIRAKI FORMATION	Makarewan				253.2	251.0																granule	very coarse sand	N			moderate	moderately soft	non-calcareous	medium brown-green	rock fragments (abundant); 	Marine	Well sorted fossiliferous coarse sandstone - grit.		
D44/f0146		Outcrop						(D44) 2119400 5478600 (New Zealand Map Grid)	2119400.000002974	5478599.999951542	45.79484°S	167.97484°E	1975			COLLECTION MADE FROM SCRABBY EXPOSURE AT TOP OF NARROW GUTTED RIDGE, HIGH UP (2125 FEET ABOVE SEA LEVEL) AT BUSH EDGE BETWEEN TRIBUTARIES OF PRODUCTUS CREEK, WAIRAKI HILLS, SOUTHLAND.	New Zealand			Campbell, H.J.; 	January 22, 1980	Yes	(macrofauna) Campbell, H.J./NZGS; 			WAIRAKI FORMATION	Makarewan				253.2	251.0																granule	fine sand	N			moderate	moderately hard	calcareous	light grey-green (Dry)	rock fragments (abundant); 	Marine	Fossiliferous volcaniclastic granule and pebble conglomerate.		
D44/f0147		Outcrop						(D44) 2119400 5478800 (New Zealand Map Grid)	2119400.0000029732	5478799.999951534	45.79304°S	167.975°E	1975			COLLECTION MADE FROM SCRAPPY OUTCROPS JUST INSIDE BUSH (2150 FEET ABOVE SEA LEVEL). BELOW CONSPICUOUS SCREE SOUTHWEST OF LETHAM TRIG, WAIRAKI HILLS, SOUTHLAND.	New Zealand			Simes, J.E.; Campbell, H.J.; 	January 22, 1980	Yes	(macrofauna) Campbell, H.J./NZGS; 			WAIRAKI FORMATION	Makarewan				253.2	251.0																pebble	coarse sand				moderate	moderately soft	non-calcareous	medium green-brown	shelly; rock fragments (abundant); tuffaceous; 	Marine	Fossiliferous pebble granule conglomerate (volcaniclastic).		
