Stratigraphic Name | Stratno |  Previous Name  |Previous Name Stratno| Replacement Name | Replacement Name Stratno |Is Current | Rank | Status | Category | Usage | Parent Name | Parent Stratno | Chemical Parent Name | Chemical Parent Stratno | Top Minimum Age Name | Top Minimum Age (Ma) | Top Minimum Age Error (Ma)| Top Minimum Age Method | Base Maximum Age Name | Base Maximum Age (Ma) | Base Maximum Age Error (Ma) | Base Maximum Age Method | Minimum Thickness (m) | Maximum Thickness (m) | Type Section State | Definition Card | First ref as on form | Def ref as on form | Reserved by | Resdate | Approved by | Approved date |General Comments | Lithology Description | Primary Lithology Group | Secondary Lithology Group | Tectonic Setting | Intrusive | Granite Type
Alkemade Siltstone|275|||||Yes|Formation, beds|Formal|Other new published name|Mentioned||||||||||||||||No|42591|||||||Siltstone||||N|
Allanvale Granodiorite|34781|||||Yes|Formation, beds|Formal|Other new published name|Mentioned||||||||||||||||No|22942||||||Unit name from unpublished thesis by P.J.Bird.|Granodiorite||||Y|
Allwood Granodiorite|35957|||||Yes|Formation, beds|Formal|Other new published name|Fully described|||||Llandovery|434|3|isotopic, K/Ar|Llandovery|434|3|isotopic, K/Ar||||No|23309||||||G566. Age and lithology updated from GSV data (HG, Dec 2005). Intruded by Guys Forest Granodiorite. Replaces Pheasant Creek Granite only on the CORRYONG sheet.|Nonmagnetic, pale to medium grey, fine to medium grained, S-type, two-mica cordierite granodiorite; locally foliated; sparse enclaves|igneous felsic intrusive|||Y|
Almonds Granite|328|Bungeet Granite|35155|||Yes|Formation, beds|Formal|Other new published name|Briefly described|||||Late Devonian||||Middle Devonian|||||||No|42726||||||Replaces original Bungeet Granite from Geology of Victoria Ed.1. Fig 11.1. Of the Warby Range Batholith. GSV Special Publication (2000) p346. Age updated from GSV data (HG, Dec 2005). GSV code: G207|S-type cordierite granite|igneous felsic intrusive|||Y|
Alpine Road pluton|69700|||||Yes|Formation, beds|Informal|Variation of published name|Briefly described|||Boggy Plain Supersuite|2092|Early Devonian||||Early Devonian|||||||No|61170||||||Subsurface pluton. Geological Survey of Victoria map code: G565.|||||Y|
Amberley Park Volcaniclastic Member|35958|Amberly Volcaniclastic Member|29952|||Yes|Member, phase|Formal|Variation of reserved name|Fully described|Buchan Caves Limestone|2750|||Early Devonian||||Early Devonian|||||15||No|23309||VandenBerg, A.H.M.|08/MAY/01|||ORBOST map sheet. Part of the Buchan Group.|Thin band of andesitic volcaniclastics.||||N|
Amboyne Granodiorite|357|||||Yes|Formation, beds|Formal|Resvd name published|Defined|||Bullenbalong Suite|2895|Silurian|427|3|isotopic, K/Ar|Silurian|430|3|isotopic, U/Pb-Pb/Pb ion probe|||NSW|No|60078|41905|A.White|01/AUG/77|||See also the informal Amboyne Granite. Murrindal area. Age: 427+/-3Ma. Age and lithology updated from GSV data (HG, Dec 2005). GSV code: G71. Now [2011] includes former Deddick Granodiorite of Chappell et al. (1991).|S-type, cordierite-garnet-biotite granodiorite.|igneous felsic intrusive|||Y|S-type
Anakie Eastern Hill Complex|73146|||||Yes|Group, Suite|Formal|Other new published name|Briefly described||||||||||||||||No|61896||||||Not to be confused with Anakie nomenclature in Queensland/NSW.|Consists of a scoria cone with late-stage radial dykes resting on a hydroclastic ring structure.||||N|
Anderson Creek Formation|419|||||Yes|Formation, beds|Formal|Other new published name|Fully described|Murrindindi Supergroup|35522|||Wenlock||||Llandovery|||||2300||No|33598||||||Also known as 'Springfield Sandstone' . Upper section equivalent to part of the redefined Dargile Formation.|Marine mudstone, turbiditic sandstone, mass-flow conglomerate.|sedimentary siliciclastic|||N|
Anemone Formation|32293|||||Yes|Formation, beds|Formal|Resvd name published|Briefly described|Golden Beach Subgroup|32307|||Campanian||||Santonian|||||||No|13323||Partridge A.D.|02/FEB/98|||Age: latest Santonian to Campanian. Within the Golden Beach Subgroup (Latrobe Group).|Predominantly sequences of interbedded shales and sands in varying percentages.||||N|
Angahook Member|435|Angahook Formation|434|||Yes|Member, phase|Formal|Unknown or process pending|Fully described|Demons Bluff Formation|5362|||Late Oligocene|25|||Early Oligocene|31.5||||40||No|48911||||||Of the Demons Bluff Formation (overlies it).Age: 31.5-25Ma.  Geological Province: Torquay Basin.|Basalt.|igneous mafic volcanic|||N|
Angler Subgroup|37366|||||Yes|Subgroup|Formal|Other new published name|Described|Seaspray Group|16717|||Miocene||||Oligocene|||||||No|23625||||||Within the Latrobe Valley Subgroup (Seaspray Group).|Marine carbonates.||||N|
Anglers Rest Granite|442|||||Yes|Formation, beds|Formal|Unknown or process pending|Fully described|||Boggy Plain Supersuite|2092|Early Devonian|395|16|isotopic, K/Ar|Early Devonian|400|16|isotopic, K/Ar||||No|39860||||||Within Omeo Metamorphic Complex. Intruded Bingo Munjie Quartz Diorite; intrusive contact with Hinno Munjie Granite and Ludrik Munjie Granite. GSV code: G114. Age and lithology updated from GSV data (HG, Dec 2005).|Weakly magnetic, pink, medium- to coarse-grained, leucocratic, I-type biotite-muscovite granite with no xenoliths|igneous felsic intrusive|||Y|I-type
Anglesea Formation|444|Anglesea Siltstone|449|||Yes|Formation, beds|Formal|Unknown or process pending|Redefined|Demons Bluff Group|36796|||Late Eocene||||Late Eocene|||||50||No|34991|23778|||||Of Torquay Basin. See also Anglesea Sand.|Siltstone and shale.|argillaceous detrital sediment|||N|
Angry Hill Sandstone|24159|||||Yes|Formation, beds|Formal|Resvd name published|Defined|Romsey Subgroup|37591|||Bendigonian||||Lancefieldian||||||VIC|Yes|40136|42826|VandenBerg, A.H.M.|04/JUL/79|Vic SNSC|26/SEP/79||Sandstone|sedimentary siliciclastic|||N|
Angusvale Diorite|459|||||Yes|Formation, beds|Formal|Other new published name|Briefly described||||||||||||||||No|33393||||||See also Angusvale Diorite"". Middle Devonian?|Diorite||||Y|
Ararat Granodiorite|533|Ararat granodiorite|535|||Yes|Formation, beds|Formal|Variation of published name|Described|||Ararat Suite|28331|Early Devonian|383|5|isotopic, K/Ar|Early Devonian|401|4|isotopic, U/Pb-Pb/Pb ion probe||||No|30579||||||GSV Code: G380. I-Type. Supersedes Ararat Granite and Ararat Adamellite. Age and lithology updated from GSV data (HG, Dec 2005). Use of prefix 'Ararat' may be invalid for this Victorian granite nomenclature (granite, Suite and Supersuite) as Ararat Sandstone and Ararat Formation was published as early as 1969, 1973, 1974, etc. in NSW.|Hornblende-biotite granodiorite; pale grey; porphyritic; equigranular; fine to medium grained, oxidised, I-Type.|igneous felsic intrusive|||Y|I-type
Ararat Suite|28331|||||Yes|Group, Suite|Formal|Variation of published name|Briefly described|||Ararat Supersuite|68374|Early Devonian||||Early Devonian|||||||No|42827||||||Use of prefix 'Ararat' may be invalid for this Victorian granite nomenclature (granite, Suite and Supersuite) as Ararat Sandstone and Ararat Formation was published as early as 1969, 1973, 1974, etc. in NSW.|||||Y|
Archie Granodiorite|30509|||||Yes|Formation, beds|Formal|Resvd name published|Described|||Glenbog Supersuite|7362|Early Devonian||||Late Silurian|||||||No|22878||Simpson C.|19/SEP/96|||Craigie 1:100 000 sheet area. Age and lithology updated from GSV data (HG, Dec 2005). GSV Code: G531|Strongly magnetic, grey, medium- to coarse-grained, biotite-minor hornblende granodiorite; massive, scattered hornblende crystals to 12mm long|igneous felsic intrusive|||Y|
Aringa Volcanics|594|Aringa Volcanic Formation|592|||Yes|Formation, beds|Formal|Resvd name published|Mentioned|||||Oligocene||||Oligocene|||||||No|41701|||||||||||N|
Armstrong Sand|620|||||Yes|Formation, beds|Formal|Unknown or process pending|Described|Bridgewater Group|2546|||Holocene||||Holocene|||||||No|34993|||||||Sand||||N|
Arte Gabbro|642|||||Yes|Formation, beds|Formal|Other new published name|Defined|||Arte Suite|75779|Wenlock||||Wenlock|||||||No|41850|60541|||||GSV Code: G38.  Of Beams and Hough (1979). Intrusive within the Kuark Metamorphic Complex. Age and lithology updated from GSV data (HG, Dec 2005). See also Arte River Gabbro of other authors. To be included in the Arte Suite in the Seamless Geology of Eastern Victoria. Consists of 4 unnamed phases (hornblende gabbro, gabbro, tonalite and mylonite) (Morand OCT-2010)|Separate parts are: central largely undeformed, medium-grained hornblende orthopyroxene gabbro - surrounded by fine- to medium-grained hornblende gabbro; with small body of tonalite in SE. Highly magnetic; magnetics indicate two intrusive phases.|igneous mafic intrusive|||Y|
Arte Suite|75779|Arte Gabbro Suite|69209|||Yes|Group, Suite|Informal|Variation of published name|Mentioned|||||Early Silurian||||Early Silurian|||||||No|68115||Morand, V. (GSV)|19/OCT/10|||Includes the Arte Gabbro and the Scrubby Flat Gabbro. To be used in the Seamless Geology of Eastern Victoria.|||||Y|
Arthurs Seat Complex|650|Arthurs Seat Granite|652|||Yes|Group, Suite|Formal|Other new published name|Briefly described||||||||||||||||No|32001|||||||Granite, dacite.||||Y|
Arundel Formation|677|||||Yes|Formation, beds|Formal|Other new published name|Briefly described|||||Pleistocene||||Pleistocene|||||||No|30995|||||||||||N|
Ashwin Siltstone Member|74891|Ashwin Siltstone|69618|||Yes|Member, phase|Formal|Variation of reserved name|Briefly described|Snowy Plains Formation|17054|||Early Carboniferous||||Early Carboniferous|||||||No|64606||||||Reserved as Ashwin Siltstone (Vandenberg 2005).|Mudstone, minor sandstone: alluvial deposits.||||N|
Attunga Paringa Formation|34838|||||Yes|Formation, beds|Formal|Other new published name|Described|Avonmore Subgroup|34825|||Lochkovian||||Lochkovian|||||320||No|22968||||||Type location given in ref.  00/30701. Part of the Snowy River Volcanics.|||||N|
Aughaderry Tonalite|37626|Nine Mile Tonalite|37627|||Yes|Formation, beds|Formal|Other new published name|Described|||Nine Mile Suite|41779|Early Devonian||||Early Devonian|||||||No|23309||||||New name taken from Aughaderry State Forest.  Highly magnetic (to 250 nT); variable radiometric response, K, Th and U each dominating in some areas (article: 60462). Age and lithology updated from GSV data (HG, Dec 2005)|Hornblende tonalite: fine grained, yellowish grey; weakly porphyritic in plagioclase; I-type; strongly magnetic |igneous felsic intrusive|||Y|I-type
Avon Supergroup|35960|Avon River Group|796|||Yes|Supergroup|Formal|Variation of published name|Described|||||Tournaisian||||Late Devonian|||||||No|23309||||||To conform with stratigraphic nomenclatural requirements,  the formal name should be Avon River Supergroup. Previously shown as in both NSW and Vic. This seems unlikely. Not related to Avon Subgroup in NSW Sydney Basin/ Gloucester Basin.|Non-marine sedimentary and volcanic rocks.||||N|
Avonmore Subgroup|34825|||||Yes|Subgroup|Formal|Other new published name|Described|Snowy River Volcanic Group|28138|||Early Devonian||||Early Devonian|||||700||No|22968||||||New subgroup of the Snowy River Volcanics|Subaerial felsic ignimbrite, fluvial conglomerate, sandstone, mudstone|igneous felsic volcanic|sedimentary siliciclastic||N|
Awaiti Granite|41187|||||Yes|Formation, beds|Formal|Other new published name|Defined|||||Late Cambrian||||Middle Cambrian|||||||No|50160|50154|||||Of the Glenelg River Metamorphic Complex. Age and lithology updated from GSV data (HG, Dec 2005)|Muscovite-biotite granite: foliated to massive, buff, medium grained, porphyritic with phenocrysts of microcline and quartz; local schlieric foliation; metasedimentary enclaves common near northern margin; non-magnetic.|igneous felsic intrusive|||Y|
Axedale Clay|816|Axedale clay|817|||Yes|Formation, beds|Formal|Unknown or process pending|Mentioned||||||||||||||||No|35094|||||||||||N|
Bacchus Marsh Formation|839|Bacchus Marsh Beds|838|||Yes|Formation, beds|Formal|Variation of published name|Defined|||||Permian||||Permian|||||1100||No|39865|50154|||||Of Roberts (1984, 1985). Considered to be a junior synonym of Wild Duck Formation.|Glacial deposits: tillite; silty diamictite, diffusely stratified, moderately consolidated to unconsolidated; varved clay.|sedimentary siliciclastic|||N|
Bairnsdale Limestone|899|Bairnsdale Limestone Member|897|||Yes|Formation, beds|Formal|Unknown or process pending|Described|Seaspray Group|16717|||Middle Miocene||||Middle Miocene|||||||No|34421|||||||Limestone||||N|
Bald Hill Volcanic Complex|31143|||||Yes|Group, Suite|Formal|Other new published name|Described|||||Pleistocene||||Pleistocene|1.64||isotopic, K/Ar||23.5||No|43493||||||Radiometric K-Ar Age: 1.64Ma. Name may be invalid if Tasmania has priority with its Bald Hill Complex.|||||N|
Bald Hills Creek Tonalite|34843|||||Yes|Formation, beds|Formal|Other new published name|Briefly described|||Ensay Suite|34902|Early Devonian||||Early Devonian|||||||No|22968||||||Age and lithology updated from GSV data (HG, Dec 2005).|I-type, Biotite-hornblende tonalite: grey; medium to coarse-grained; equigranular; porphyritic in euhedral hornblende; rare microgranitoid enclaves; patchy chlorite, epidote and hematite alteration||||Y|I-type
Baldhead Igneous Complex|34911|||||Yes|Subgroup|Formal|Other new published name|Described|||Rileys Creek Suite|34904||||||||||||No|22968||||||See also Mount Baldhead Granodiorite and Mount Baldhead Igneous Complex.|||||Y|
Ballan Volcanics|73147|||||Yes|Formation, beds|Informal|Variation of published name|Mentioned||||||||||||||||No|61896||||||See also the informal Ballan basalt.|||||N|
Ballantyne Megabreccia|35961|Ballantyne Gap Megabreccia|23354|||Yes|Formation, beds|Formal|Variation of published name|Described|Berrmarr Subgroup|21238|||Ludlow||||Ludlow|||||300||No|23615||VandenBerg A.H.M., Orth K.|22/MAR/89|||Murrindal area. See also Ballantyne Gap Megabreccia.|||||N|
Ballark Conglomerate|23355|||||Yes|Formation, beds|Formal|Other new published name|Defined|||||Neogene||||Cretaceous||||||VIC|No|38159|37385|P.Bolger|09/NOV/77||||Conglomerate|sedimentary siliciclastic|||N|
Bally Hooley Ignimbrite|21183|||||Yes|Formation, beds|Formal|Resvd name published|Fully described|Little River Subgroup|22204|||Middle Devonian|395|||Lochkovian|410||||500||No|43206||VandenBerg A.H.M., Orth K.|22/MAR/89|||Ballyhooley Granite BD in 94/27659, probably not related. Murrindal area.|Granular to ash-like ignimbrite with abundant feldspar phenocrysts and few quartz crystals.||||N|
Ballyrogan Granite|21184|||||Yes|Formation, beds|Formal|Variation of reserved name|Briefly described|||Ararat Suite|28331|Early Devonian||||Early Devonian|||||||No|43260||Cayley R.|21/JUN/93|||Reservation requested by A. VandenBerg. Age and lithology updated from GSV data (HG, Dec 2005)|Biotite-muscovite granite: pale cream, felsic, fine grained; granophyric intergrowths between quartz and feldspar; aggregates of muscovite and of tourmaline scattered throughout; trace amounts of garnet |igneous felsic intrusive|||Y|
Balmattum Basalt|76928|||||Yes|Formation, beds|Formal|Other new published name|Fully described|Euroa Volcanic Group|76925|||Neogene|||inferred, geological correlation|Cenozoic|||inferred, geological correlation||||No|66244||||||Occupies a small area near Balmattum, Euroa area. Description and analysis in Paul et al. (2005). Type location is the Balmattum quarry, around MGA 383000-5839400; the rock appears as a black fine-grained mafic rock with dark spots on weathered faces. Asumed to be similar age to Seven Creeks Basalt (~6.8 Ma).|Dark grey, basanite to alkali basalt; euhedral olivine phenocrysts 1 - 5 mm across in a groundmass of clinopyroxene prisms, magnetite cubes and minor interstitial glass; minor analcite after nepheline and red-brown biotite; amygdales common.|igneous mafic volcanic|||N|
Balmoral Pegmatite|1002|||||Yes|Formation, beds|Formal|Other new published name|Mentioned||||||||||||||||No|42889|||||||Pegmatite||||Y|
Balook Formation|24171|||||Yes|Formation, beds|Formal|Resvd name published|Defined|Latrobe Valley Subgroup|39333|||Miocene||||Oligocene|||||500|VIC|Yes|37530||B.R.Thompson|14/DEC/81|||Definition dated 19-NOV-1981. Of the Latrobe Valley Subgroup (Seaspray Group).|Fluvial-deltaic and paralic deposits.||||N|
Bambra Sandstone|72930|||||Yes|Formation, beds|Formal|Other new published name|Briefly described|||||Neogene||||Cenozoic|||||||No|61186||||||May be a commercial name only?|Hard, cream micaceous dimension stone found at Airey's Inlet; not ferruginised as are some of the Tertiary sandstones therefore pale in colour; bedded, micaceous quartzose sandstone.||||N|
Bandts Granite|30358|||||Yes|Formation, beds|Formal|Resvd name published|Briefly described|||||Devonian||||Devonian|||||||No|23165||Moore D.|09/AUG/96|||Buried pluton, identified through magnetostratigraphy.|Granite||||Y|
Banimboola Quartz Monzodiorite|35970|Banimboola Quartz Granodiorite|69257|||Yes|Formation, beds|Formal|Variation of published name|Fully described|||Boggy Plain Supersuite|2092|Early Devonian|388|4|isotopic, K/Ar|Early Devonian|406|6|isotopic, K/Ar||||No|60503||||||Probably superseded Banimboola Granite? Intrusive rocks within Omeo Metamorphic Complex. Intrudes both Pinnak Sandstone and Dartmouth Granite. GSV Code: G110. Age and lithology updated from GSV data (HG, Dec 2005).|Intensely magnetic, light to dark green, medium grained, hornblende-biotite I-type quartz diorite|igneous felsic intrusive|||Y|I-type
Banksia Chert Member|1066|||||Yes|Member, phase|Formal|Other new published name|Fully described|Blueys Creek Formation|2013|||Late Ordovician||||Late Ordovician|||||||No|41570|||||||Thin-bedded chert; contains conodont fossils||||N|
Banoon Member|32305|||||Yes|Member, phase|Formal|Resvd name published|Briefly described|Flaxman Formation|6733|||Coniacian||||Turonian|||||||No|12796||Partridge A.D.|02/FEB/98|||Age: late Turonian or early Coniacian.|Sedimentary ironstone characterised by abundant authigenic and partly oolitic chamosite and goethite.||||N|
Baranduda Granite|28253|||||Yes|Formation, beds|Formal|Unknown or process pending|Defined|||||Middle Devonian|388|4|isotopic, K/Ar|Early Devonian||||||VIC|Yes|38879||R.King|23/MAR/82|||Age and lithology updated from GSV data (HG, Dec 2005). GSV Code: G176|I-type granite|igneous felsic intrusive|||Y|
Barangaroo Ignimbrite|35971|||||Yes|Formation, beds|Formal|Other new published name|Defined|Rocklands Volcanic Group|39879|||Early Devonian||||Early Devonian|||||||No|23309|50154||||||Quartz-feldspar ignimbrite: crystal- and lithic-poor; fiamme foliation, rare fragmented crystals and a densely welded matrix of relict glass shards at base; rheomorphic flow banding and minor autobrecciation.|igneous felsic volcanic|||N|
Baringhup Granodiorite|1102|||||Yes|Formation, beds|Formal|Other new published name|Described|||Harcourt Suite|8070|Late Devonian|367|2||Late Devonian|368|2|amino acid racemisation||||No|31654||||||See also the misspelt and informally name Barringhup Granite. Age and lithology updated from GSV data (HG, Dec 2005). GSV Code: G293. Intrudes the Harcourt Granodiorite and Castlemaine Group.|Moderately magnetic, leucocratic, fine- to medium-grained, slightly porphyritic, oxidised, I-type biotite granodiorite with minor mafic enclaves|igneous felsic intrusive|||Y|I-type
Barjarg Granite|1107|Barjarg granite|1108|||Yes|Formation, beds|Formal|Unknown or process pending|Described|Tolmie Igneous Complex|26950|Strathbogie Suite|25496|Late Devonian|363|7||Late Devonian|367|3|||||No|48894||||||Part of the Tolmie Igneous Complex. Age and lithology updated from GSV data (HG, Dec 2005). GSV Code: G216|S-type granite with red-brown biotite and garnet|igneous felsic intrusive|||Y|
Barmouth Group|32559|Koomberar Group|31416|||Yes|Group, Suite|Formal|Resvd name published|Described|||||Pridoli||||Pridoli|||||||No|22968||Willman C.E.|13/JAN/98|||Omeo 1:100 000 sheet area (8423).  Type section in ref. 00/30701|Marine sedimentary rocks.||||N|
Barnawartha Gneissic Granodiorite|26370|Barnawartha Granite|35151|||Yes|Formation, beds|Formal|Unknown or process pending|Briefly described|||||Silurian||||Silurian|||||||No|31800||||||GSV Code: G182.  Supersedes Barnawatha Gneissic Granodiorite, Barnawartha Granite and Lady Franklin Granite. Age and lithology updated from GSV data (HG, Dec 2005).|S-type gneissic granodiorite with green-brown biotite|igneous felsic intrusive|||Y|
Baroona Diorite|37628|||||Yes|Formation, beds|Formal|Other new published name|Described|||||Early Devonian||||Early Devonian|||||||No|23309||||||V-type? Diorite: high potassium, altered; magnetite giving some responses from secondary alteration; subsurface only (article: 60462). Age and lithology updated from GSV data (HG, Dec 2005)|Diorite: medium grained; strongly magnetic, with reversely magnetised portion in the southeast ||||Y|
Barrabilly Granite|37629|Barrabilly Adamellite|30560|||Yes|Formation, beds|Formal|Variation of published name|Briefly described|||||Wenlock||||Llandovery|||||||No|23309||||||Age and lithology updated from GSV data (HG, Dec 2005)|Biotite-cordierite granite, fine to medium grained; dark grey; S-type ||||Y|
Barracouta Formation|1156|Barracouta Beds|1155|||Yes|Formation, beds|Formal|Variation of published name|Described|Halibut Subgroup|32294|||Eocene|52|||Maastrichtian|80||||||No|35273||||||Part of Alan Partridge's Halibut Subgroup (Latrobe Group). Not to be confused with Barracouta Formation (WA) which has been used in NT - this unit in Gippsland Basin (Vic.) has priority however.|Coarse-grained, partly conglomeratic, lithic arenites intercalated with occasional mudstone intervals; minor coal.|sedimentary siliciclastic|organic-rich rock||N|
Barrakee Granite|35972|||||Yes|Formation, beds|Formal|Other new published name|Described|||Coonooer Suite|37536|Early Devonian||||Early Devonian|||||||No|60491||||||Note incorrectly listed as S-type granite in Geology of Victoria (2003) and Charlton 100K map legend. Age updated from GSV data (HG, Dec 2005). GSV Code: G340|Hornblende-bearing I-type granite|igneous felsic intrusive|||Y|I-type
Barrama Microgranite|41191|Barrama Microadamellite|37255|||Yes|Formation, beds|Formal|Variation of published name|Defined|||||Ordovician||||Ordovician|||||25||No|50160|50154|||||Age and lithology updated from GSV data (HG, Dec 2005)|Grey-buff, fine grained, biotite microgranite: massive, porphyritic with phenocrysts of microcline, quartz, biotite and plagioclase; accessory muscovite and magnetite; magnetic|igneous felsic intrusive|||Y|I-type
Barringo Granodiorite|1187|Barringo Granite|1186|||Yes|Formation, beds|Formal|Variation of published name|Described|Macedon Igneous Complex|10936|Barringo Suite|1188|Late Devonian||||Early Devonian|||||||No|33153||||||GSV Code: G282.  See also the informal Barringo Granite. Age and lithology updated from GSV data (HG, Dec 2005).|I-type granodiorite with red-brown biotite, garnet, pyrrhotite and metasedimentary enclaves|igneous felsic intrusive|||Y|I-type
Barringo Suite|1188|||||Yes|Group, Suite|Formal|Variation of published name|Briefly described|||Harcourt Supersuite|31528|Late Devonian||||Middle Devonian|||||||No|42827|||||||||||Y|
Barry Mountains Granite|1220|||||Yes|Formation, beds|Informal|Other new published name|Briefly described|||||Early Devonian||||Late Silurian|||||||No|42726||||||Briefly described. Age updated from GSV data (HG, Dec 2005). GSV Code: G159|Oxidised I-type granite|igneous felsic intrusive|||Y|
Barwo Member|1227|Barwo Sand Member|1228|||Yes|Member, phase|Formal|Other new published name|Briefly described|Shepparton Formation|25474|||Quaternary||||Quaternary|||||18||No|35091||||||Defn card held for Barwo Sand Member.|Unconsolidated to poorly consolidated, feldspathic and micaceous sand and clayey sand; light brown, reddish brown and grey in colour; fine sand to gravel sized and often showing upward fining cycles. Cross-bedding sometimes occurs.||||N|
Barwon River Conglomerate|77303|Barwon River Member|69217|||Yes|Formation, beds|Formal|Variation of published name|Described|Otway Group|14685|||Albian||||Albian|||||||No|65715||||||Referred to as Barwon River Member of Eumeralla Formation by Constantine and Liberman (2001). Included in Barrabool (or Barrarbool) Sandstone by Spencer-Jones (1963).|Conglomerate and minor sandstone with clasts of hornfels, rotten gabbro and rotten granite, with a matrix of mostly granitic sand.|sedimentary siliciclastic|||N|
Basalt Spur Granodiorite|69860|||||Yes|Formation, beds|Informal|Reserved|Not recorded|||||Early Devonian||||Devonian|||||||No|||||||GSV Code 163.  From GSV data (HG, Dec 2005).|Granodiorite||||Y|
Bass Camp Ignimbrite|21202|||||Yes|Formation, beds|Formal|Resvd name published|Described|White Monkey Volcanic Group|68411|||Early Devonian||||Early Devonian|||||||No|23309||VandenBerg A.H.M., Orth K.|22/MAR/89||||Ignimbrite||||N|
