Stratigraphic Name | Stratno |  Previous Name  |Previous Name Stratno| Replacement Name | Replacement Name Stratno |Is Current | Rank | Status | Category | Usage | Parent Name | Parent Stratno | Chemical Parent Name | Chemical Parent Stratno | Top Minimum Age Name | Top Minimum Age (Ma) | Top Minimum Age Error (Ma)| Top Minimum Age Method | Base Maximum Age Name | Base Maximum Age (Ma) | Base Maximum Age Error (Ma) | Base Maximum Age Method | Minimum Thickness (m) | Maximum Thickness (m) | Type Section State | Definition Card | First ref as on form | Def ref as on form | Reserved by | Resdate | Approved by | Approved date |General Comments | Lithology Description | Primary Lithology Group | Secondary Lithology Group | Tectonic Setting | Intrusive | Granite Type
Abyssinia Well Orthogneiss|68671|||||Yes|Formation, beds|Formal|Resvd name published|Defined|||Tambina Supersuite|68742|Archean|3425|4||Archean|3425|4|||||No|63441|63441|Van Kranendonk, M.  (GSWA)|04/APR/05|Hocking, R.|03/MAY/06|New name added in nomenclatural revision in GSWA Record 2006/15 (Van Kranendonk).  Intrudes Callina Supersuite and North Shaw Suite. Age: 3425+/-4Ma.|Foliated to weakly gneissic,medium-grained to weakly porphyritic blue-grey tonalite through monzogranite; commonly marked by lit-par-lit sheets of white leucogranite.||||N|
Acacia Sandstone Member|72737|Acacia Sandstone|40303|||Yes|Member, phase|Formal|Variation of published name|Briefly described|Willara Formation|20070|||Middle Ordovician||||Middle Ordovician|||||||No|62982|||||||Quartz sandstone, grains subangular fine to well-rounded medium.|quartz-rich arenite to rudite|||N|
Agnes Venture Slate|155|||||Yes|Formation, beds|Formal|Other new published name|Briefly described|Woolyeenyer Formation|20591|||Archean||||Archean|||||||No|42195|||||||||||N|
Agnew Komatiite|77940|Agnew komatiite|42471|||Yes|Formation, beds|Reserved|Variation of published name|Reserved|||||Archean||||Archean|||||||No|||Sapkota, J. (GSWA Kalgoorlie)|01/JUL/13|||Map Sheet: SH51-1,  Wildara 3041. Ultramafic volcanic rock, undivided; metamorphosed. To be published = GSWA geological map and explanatory notes, 2013/2014.
|Ultramafic volcanic rock; metamorphosed|meta-igneous ultramafic volcanic|||N|
Ahern Formation|30154|Boll Sandstone|2127|||Yes|Formation, beds|Formal|Resvd name published|Fully described|||||Cryogenian||||Cryogenian|800||||200||No|43853||Thorne A.M.|14/MAR/96|||Turkey Creek, Bow 1:100 000 sheet areas, east Kimberley. Previously Boll Sandstone. c. 800 Ma. Age updated by I.Sweet.|Fine- to coarse-grained quartz sandstone, pebbly sandstone, conglomerate, siltstone|sedimentary siliciclastic|argillaceous detrital sediment||N|
Ainslie Volcanics (WA)|4193|||||Yes|Formation, beds|Formal|Unknown or process pending|Briefly described|||||Neoproterozoic||||Mesoproterozoic|1000||||||No|31393|||||||||||N|
Airfield Granodiorite|21103|||||Yes|Formation, beds|Formal|Resvd name published|Briefly described|||Paperbark Supersuite|31788|Paleoproterozoic|1850|||Paleoproterozoic|1865||||||No|43854||Sheppard S.|23/FEB/95|||East Kimberley region, McIntosh 1:100 000 sheet area.|Medium- to coarse-grained, porphyritic biotite granodiorite and monzogranite|igneous felsic intrusive|||Y|
Airlie Member|187|||||Yes|Member, phase|Formal|Other new published name|Fully described|||||Berriasian||||Berriasian|||||||No|42598|||||||||||N|
Airport Creek Formation|24150|||||Yes|Formation, beds|Formal|Resvd name published|Defined|||||Pleistocene||||Pleistocene||||8||WA|Yes|36483|36483|Semeniuk, V.|08/JAN/76|Johnstone, M.H.||Essentially a lithified to partly lithified tidal flat sedimentary accumulation. Average exposed thickness: >3m.|Interlayered grey to buff calcareous and siliciclastic laminates, sandstone and sponge spicules in the sandstones.||||N|
Ajana Formation|31387|||||Yes|Formation, beds|Formal|Other new published name|Defined|Dirk Hartog Group|37057|||Wenlock||||Hirnantian|||||435|WA|No|1943|||||||Multicoloured siltstone and shale at base; dolomitic and 'salty'. Grades up to shaly dolostones. Ooid limestones and dolostones in upper cyles.|sedimentary siliciclastic|sedimentary carbonate||N|
Alabama Sandstone|41023|||||Yes|Formation, beds|Formal|Variation of published name|Mentioned||||||||||||||||No|24196|||||||||||N|
Albany Granite|213|Albany granite|217|||Yes|Formation, beds|Formal|Variation of published name|Briefly described|||||Mesoproterozoic|1174|12|isotopic, U/Pb-Pb/Pb ion probe|Mesoproterozoic|1300||||||No|31393||||||Probably same rock as Albany Adamellite. Dimension stone name. Quarried from the Mount Melville area. WA. It appears that GSWA now (2009) prefers this version of the name over Albany Adamellite. Intruded into the Nornalup Zone during Stage I of the Albany-Fraser Orogen|Grey, megacrystic granitoid.||||Y|
Albert Edward Group|24651|||||Yes|Group, Suite|Formal|Variation of published name|Defined|||||Ediacaran|560||inferred, overlying unit|Ediacaran|600||inferred, underlying unit|||WA|No|44317|45047|||||Ruby Plains 1:100 000 sheet area.  Age from Gordon Downs 250K (2nd ed) limited to between the King Leopold Orogeny (~560Ma) and underlying Duerdin Group (~600Ma).|Fine- to medium-grained quartz sandstone; minor pebbly sandstone and conglomerate|sedimentary siliciclastic|sedimentary carbonate||N|
Alcurra Dolerite|39599|Alcurra Dyke Swarm|29763|||Yes|Formation, beds|Formal|Variation of published name|Defined|||Warakurna Supersuite|73257|Mesoproterozoic|1067|8||Mesoproterozoic|1085|2|isotopic, Ar/Ar|||NT|Yes|60679|61154|Edgoose, C.|03/AUG/92|Kruse, P.D.|31/OCT/03|Intrudes Pitjantjatjara Supersuite (Kulgera and Ayers Range Granites). Intruded by Angatja Granite. See also Alcurra dolerite. Age: 1080Ma.|Dolerite with ophitic to sub-ophitic texture contains plagioclase, clinopyroxene, olivine, K-feldspar, minor quartz and opaques.|igneous mafic intrusive|||Y|
Alexander Formation|25758|Fraser River beds|6890|||Yes|Formation, beds|Formal|Other new published name|Defined|||||Oxfordian||||Oxfordian|150||||219|WA|No|44404|45153|||||Previously included in Fraser River beds. See also Lexicon. SE51-11,12. Formerly considered part of Edgar Range Group.|Fine to medium grained sandstone, interbedded mudstone; bioturbated; minor conglomerate lenses; fossiliferous.|sedimentary siliciclastic|argillaceous detrital sediment||N|
Alicia Granite|39341|||||Yes|Formation, beds|Formal|Other new published name|Described|||||Archean||||Archean|2693|3|isotopic, Pb/Pb||||No|24091||||||LEONORA 1:250 000, WEEBO 1:100 000.|||||Y|
Alinga Formation|271|Alinga Beds""|270|||Yes|Formation, beds|Formal|Variation of published name|Fully described|Winning Group|20259|||Early Cretaceous||||Early Cretaceous|||||15||No|45015||||||See also Lexicon.|Glauconite-rich clayey siltstone to greensand, rarely exposed.||||N|
Allanson Sandstone|23326|||||Yes|Formation, beds|Formal|Resvd name published|Briefly described|Collie Group|4345|||Late Permian||||Early Permian|||||||No|42711||Le Blanc Smith G.|02/MAY/91|||See also misspelling Allandale Sandstone, WA, which indicates Kungurian age (RefID 64630, 2008)|Poorly sorted feldspathic sandstone, subordinate conglomerate, siltstone, carbonaceous shale and sporadic coal.||||N|
Amhurst Metamorphics|34450|Amherst Metamorphics|30672|||Yes|Formation, beds|Formal|Variation of published name|Fully described|||||Paleoproterozoic|1805|||Orosirian|1835||||||No|23601|||||| Age: <1865-1850Ma. In the Western Zone of the Lamboo Complex.|||||N|
Amhurst Metamorphics - granitoids|74332|||||Yes|Member, phase|Informal|Variation of published name|Briefly described|Amhurst Metamorphics|34450|||Orosirian||||Orosirian|||||||No||||||||Inclusion-rich biotite-hornblende granodiorite gneiss and garnet-cordierite-andalusite-sillimanite-biotite monzogranitic gneiss; metamorphosed equivalents of Neville Granodiorite|high grade metamorphic rock|||Y|
Amhurst Metamorphics - schist and gneiss|74333|||||Yes|Member, phase|Informal|Variation of published name|Briefly described|Amhurst Metamorphics|34450|||Orosirian||||Orosirian|||||||No||||||||Medium to high grade metasediments and granitoids, sillimanite-garnet-cordierite-K-feldspar-plagioclase schist, granofels and migmatite: metamorphosed equivalent of Marboo Formation|metasedimentary siliciclastic|high grade metamorphic rock||N|
Amputjuta Dacite|35317|Umputjutu Dacite|33814|||Yes|Formation, beds|Formal|Variation of reserved name|Defined|||Pottoyu Granite Suite|33649|Mesoproterozoic||||Mesoproterozoic||||||NT|Yes|50321||Edgoose C., Close D.|23/NOV/99|Kruse, P.D.|21/JAN/02|Bloods Range 1:250 000 map sheet area. Age: 1153+/-3Ma (Pb-Pb). Type Section: 24 56' 53.04'' S, 129 05' 10.25''E (WGS84). Underlies Dean Quartzite in the Mannanana Range. Within the Pitjantjatjara Supersuite.|Finely porphyritic hypabyssal dacite|igneous felsic volcanic|||N|
Anchor Formation|73998|||||Yes|Formation, beds|Formal|Other new published name|Briefly described|||||Middle Jurassic||||Late Jurassic|||||||No|14227||||||Geological province: Exmouth Sub-basin.|Marine shales.||||N|
Anderson Formation|25762|||||Yes|Formation, beds|Formal|Variation of published name|Defined|||||Early Carboniferous|323|||Early Carboniferous|347||||2551|WA|No|44040|45153|||||See also Lexicon. Previously shown as part of Fairfield Group, but this was probably misinterpretation of a figure.|Sandstone, siltstone, shale, minor limestone, dolomite, anhydrite.|sedimentary siliciclastic|sedimentary carbonate||N|
Andover Intrusion|31682|Andover Complex|429|||Yes|Formation, beds|Formal|Variation of published name|Described|||Orpheus Supersuite|68743|Archean|2925|||Archean|3016||||||No|43822||||||Use of the stratigraphic term "Intrusion" is to remain in use in the Pilbara region only (per Conveners' agreement, AESC Perth 2008).  Age :c.3016Ma.|Gabbro, leucogabbro, serpentinised peridotite and dunite, pyroxenite, and minor anorthosite; metamorphosed.|igneous mafic intrusive|igneous ultramafic intrusive||Y|
Angalarri Siltstone|437|||||Yes|Formation, beds|Formal|Unknown or process pending|Defined|Auvergne Group|787|||Cryogenian||||Cryogenian|838|80|isotopic, Rb/Sr||753|NT|No|45022|48938|||||Age: 838 +/- 80Ma (controversial?). Formerly shown as Calymmian but reason not clear. Group is Neoproterozoic. Age is Adelaidean. See also the misspelt Angalarri Sandstone.|Siltstone, shale; minor dolostone, sandstone, limestone|sedimentary siliciclastic|sedimentary carbonate||N|
Angas Hills beds|75569|Angas Hills Beds|439|||Yes|Formation, beds|Informal|Variation of published name|Described|||||Paleozoic||||Paleozoic|||||||No|||||||Described in GSWA Memoir 3 (1990) , SW Birrindudu Basin,  p351, 359, 360. Possibly Devonian.|Interbedded conglomerate and clayey quartzose to lithic sandstone with minor mudstone - possible fan delta deposit|sedimentary siliciclastic|argillaceous detrital sediment||N|
Angel Formation|23335|Angel formation|441|||Yes|Formation, beds|Formal|Unknown or process pending|Defined|||||Berriasian|145||inferred|Oxfordian|156||inferred|||WA|No|40617|40617|R.M.Hocking, H.T.Moors|23/MAY/83|||Ages, relations, lithology updated from GA Timescales Project Feb 2009.|Sandstone.|quartz-rich arenite to rudite|||N|
Angeles Shale|38772|||||Yes|Formation, beds|Formal|Variation of published name|Briefly described|Wittenoom Formation|20327|||Paleoproterozoic||||Archean|||||||No|23890||||||Variation of West Angelas Shale?|||||N|
Angelo Microgranite|21138|||||Yes|Formation, beds|Formal|Resvd name published|Described|||Koongie Park Suite|31899|Paleoproterozoic|1800|||Paleoproterozoic|1845||||||No|23601||Griffin T.J. & Tyler I.M.|14/DEC/92|||East Kimberley Region. In the Central Zone of the Lamboo Complex.|Altered medium to fine grained granophyre with local disseminated malachite|igneous felsic intrusive|||Y|
Anjo Sandstone Member|77463|||||Yes|Member, phase|Informal|Other new published name|Mentioned|||||Early Triassic||||Early Triassic|||||||No|67370||||||Unit in Osprey Formation?|||||N|
Anketell Formation|464|Anketell Sandstone|465|||Yes|Formation, beds|Formal|Other new published name|Defined|||||Albian||||Aptian||||||WA|No|44998|45153||||||Poorly sorted, cross bedded and partly bioturbated, paralic fine sandstone and siltstone with interbedded coarse sandstone and conglomerate|sedimentary siliciclastic|argillaceous detrital sediment||N|
Anna Plains Sandstone|23337|||||Yes|Formation, beds|Formal|Unknown or process pending|Briefly described|||||Givetian||||Eifelian|||||||No|40837||P.Lehmann|20/JAN/84||||||||N|
Annabelle Volcanics|36842|Annabel|21139|||Yes|Formation, beds|Formal|Variation of published name|Described|||Ravensthorpe Suite|78594|Archean||||Archean|2966|12|inferred, geological correlation||||No|23753||||||NB: Ravensthorpe Terrane nomenclature was abandoned (Refid 65487, 2009)|Dominant volcaniclastics, and minor lavas: metamorphosed calc-alkaline basalts (10-20%), andesite (50-70%), and dacite|sedimentary siliciclastic|igneous intermediate volcanic||N|
Annean Supersuite|74813|||||Yes|Supergroup|Formal|Resvd name published|Described|||||Neoarchean|2733|||Mesoarchean|2815||||||No|64891||Van Kranendonk, M. (GSWA)|17/SEP/08|||Geological province: Murchison Domain. Age range extended back to 2815 Ma to include the Mount Kenneth Suite rocks.|Syn-volcanic tonalitic rocks and trondhjemite, granodiorite, gabbro, peridotite, dolerite, pyroxenite, magnetite, anorthosite.|igneous mafic intrusive|igneous intermediate intrusive||Y|
Anomaly 45 granite|72484|||||Yes|Formation, beds|Informal|Other new published name|Briefly described||||||||||||||||No|||||||Informal name for Eastern Goldfields Province data (HG 09/2006)|||||Y|
Antarctic Creek Member|33445|Antarctic Chert Member|70178|||Yes|Member, phase|Formal|Resvd name published|Described|Mount Ada Basalt|26045|||Paleoarchean||||Paleoarchean|3470||||||No|23755||VanKranendonk M.|19/JAN/99|||North Shaw 1: 100 000 sheet area, east Pilbara. Previously included within Apex Basalt - now established through new age data that it is part of Mount Ada Basalt (per statement from M. Van Kranendonk, Mar06). See also the misnamed Antarctic Chert Member.|Lapilli tuff, felsic porcellanite, carbonate, arenite, conglomerate, chert, jaspilite, impact spherule layer; metamorphosed|metamorphic protolith unknown|sedimentary non-carbonate chemical or biochemical||N|
Antrim Plateau Volcanics|488|Antrim Plateau Basalts|487|||Yes|Formation, beds|Formal|Variation of published name|Defined|Kalkarindji Volcanic Group|69564|Kalkarindji Suite|75724|Middle Cambrian|505|2|isotopic, Ar/Ar|Early Cambrian|513|12|isotopic, U/Pb-Pb/Pb ion probe||1500|WA|No|44965|41840|||||Present name by Traves (1955). U-Pb SHRIMP age 513 +/- 12 Ma. Ar-Ar ages 505 +/- 2 and 508 +/- 2 Ma (Glass and Phillips, 2006). K-Ar age ~510 Ma. Of the Kalkarindji continental flood basalt province. Included in the Kalkarindji Suite in Oct 2009.|Massive and amygdaloidal tholeitic basalt and basalt breccia; commonly capped by ferricrete; minor sandstone and chert interbeds|igneous mafic volcanic||intracratonic|N|
Apex Basalt|25763|||||Yes|Formation, beds|Formal|Other new published name|Defined|Salgash Subgroup|16559|||Paleoarchean|3425|||Paleoarchean|3460||||4000|WA|No|31309|31309|||||Within the Warrawoona Group (Pilbara Supergroup). Intruded by the Coppin Gap and Mullugunya Granodiorites (Mount Edgar Complex).|Basalt, komatiitic basalt, and serpentinised peridotite; local dolerite sills; minor felsic volcaniclastic rocks and chert; metamorphosed.|igneous mafic volcanic|igneous ultramafic volcanic||N|
Aquitaine Formation|74208|||||Yes|Formation, beds|Formal|Other new published name|Briefly described|Wadeye Group|74204|||Namurian||||Namurian|||||||No|61542||||||Offshore equivalent of the onshore Point Spring Sandstone - named for a petroleum company and therefore does not adhere to stratigraphical rules/conventions. Geological province: onshore Bonapart Basin/Petrel-Sub-basin.|A lower sandstone grading up into siltstone.||||N|
Aralka Formation|524|Aralka Shale|35034|||Yes|Formation, beds|Formal|Other new published name|Defined|||||Cryogenian||||Cryogenian|650||||1020|NT|Yes|46865|46865|Preiss W.V., Walter M.R., Coats R.P. and Wells A.T.|28/JUN/06|Wells, A.T.|01/OCT/77|Includes Ringwood Mbr, Limbla Mbr.|Siltstone, shale.|sedimentary siliciclastic|||N|
Arbitration Cove Sandstone Member|538|||||Yes|Member, phase|Formal|Unknown or process pending|Briefly described|Warton Sandstone|19549|||Paleoproterozoic||||Paleoproterozoic|||||||No|30897|||||||||||N|
Archean felsic volcanics 76504|76504|||||Yes|Formation, beds|Unnamed|Unnamed published|Mentioned|||||Neoarchean|2500|||Neoarchean|2520||||||No|||||||Unnamed unit used in the 1:2.5 million scale Geology of Australia dataset|Mainly felsic volcanics, including lavas and tuffs. Association may include volcaniclastic rocks.|igneous felsic volcanic|||N|
Archean felsic volcanics 76505|76505|||||Yes|Formation, beds|Unnamed|Unnamed published|Mentioned|||||Neoarchean|2750|||Mesoarchean|2835||||||No|||||||Unnamed unit used in the 1:2.5 million scale Geology of Australia dataset|Mainly felsic volcanics, including lavas and tuffs. Association may include volcaniclastic rocks.|igneous felsic volcanic|||N|
Archean felsic volcanics 76506|76506|||||Yes|Formation, beds|Unnamed|Unnamed published|Mentioned|||||Paleoarchean|3440|||Paleoarchean|3480||||||No|||||||Unnamed unit used in the 1:2.5 million scale Geology of Australia dataset|Mainly felsic volcanics, including lavas and tuffs. Association may include volcaniclastic rocks.|igneous felsic volcanic|||N|
Archean granites 76508|76508|||||Yes|Formation, beds|Unnamed|Unnamed published|Mentioned|||||Neoarchean|2630|||Mesoarchean|2850||||||No|||||||Unnamed unit used in the 1:2.5 million scale Geology of Australia dataset|Mainly felsic intrusive rocks.  Range in composition from alkali feldspar granite to tonalite; includes associated rocks such as migmatite and minor gabbro and diorite.|igneous felsic intrusive|||Y|
Archean granites 76509|76509|||||Yes|Formation, beds|Unnamed|Unnamed published|Mentioned|||||Paleoarchean|3010|||Paleoarchean|3500||||||No|||||||Unnamed unit used in the 1:2.5 million scale Geology of Australia dataset|Mainly felsic intrusive rocks.  Range in composition from alkali feldspar granite to tonalite; includes associated rocks such as migmatite and minor gabbro and diorite.|igneous felsic intrusive|||Y|
Archean granulite-facies metamorphics 76511|76511|||||Yes|Formation, beds|Unnamed|Unnamed published|Mentioned|||||Archean|2600|||Archean|3320||||||No|||||||Unnamed unit used in the 1:2.5 million scale Geology of Australia dataset|High-grade metamorphic rocks, generally with granulite facies assemblages; includes granitic gneisses|high grade metamorphic rock|||N|
Archean granulite-facies metamorphics 76512|76512|||||Yes|Formation, beds|Unnamed|Unnamed published|Mentioned|||||Paleoarchean|3280|||Paleoarchean|3320||||||No|||||||Unnamed unit used in the 1:2.5 million scale Geology of Australia dataset|High-grade metamorphic rocks, generally with granulite facies assemblages; includes granitic gneisses|high grade metamorphic rock|||N|
Archean mafic intrusives 76503|76503|||||Yes|Formation, beds|Unnamed|Unnamed published|Mentioned|||||Archean|2500|||Archean|3500||||||No|||||||Unnamed unit used in the 1:2.5 million scale Geology of Australia dataset|Dolerite, gabbro and other mafic igneous rocks; commonly as dykes and sills; may include some metamorphosed mafic intrusions and subordinate ultramafic rocks.|igneous mafic intrusive|||Y|
Archean mafic volcanics 76500|76500|||||Yes|Formation, beds|Unnamed|Unnamed published|Mentioned|||||Neoarchean|2690|||Neoarchean|2770||||||No|||||||Unnamed unit used in the 1:2.5 million scale Geology of Australia dataset|Mainly basaltic rocks; may include minor ultramafic volcanics|igneous mafic volcanic|||N|
Archean mafic volcanics 76501|76501|||||Yes|Formation, beds|Unnamed|Unnamed published|Mentioned|||||Mesoarchean|2830|||Mesoarchean|2840||||||No|||||||Unnamed unit used in the 1:2.5 million scale Geology of Australia dataset|Mainly basaltic rocks; may include minor ultramafic volcanics|igneous mafic volcanic|||N|
Archean mafic volcanics 76502|76502|||||Yes|Formation, beds|Unnamed|Unnamed published|Mentioned|||||Mesoarchean|3000|||Paleoarchean|3600||||||No|||||||Unnamed unit used in the 1:2.5 million scale Geology of Australia dataset|Mainly basaltic rocks; may include minor ultramafic volcanics|igneous mafic volcanic|||N|
Archean sedimentary rocks 76515|76515|||||Yes|Formation, beds|Unnamed|Unnamed published|Mentioned|||||Neoarchean|2660|||Neoarchean|2745||||||No|||||||Unnamed unit used in the 1:2.5 million scale Geology of Australia dataset|Predominantly sedimentary rocks; includes sedimentary rocks of low metamorphic grade and diapiric breccias|sedimentary|||N|
Archean sedimentary rocks 76516|76516|||||Yes|Formation, beds|Unnamed|Unnamed published|Mentioned|||||Neoarchean|2725|||Neoarchean|2745||||||No|||||||Unnamed unit used in the 1:2.5 million scale Geology of Australia dataset|Predominantly sedimentary rocks; includes sedimentary rocks of low metamorphic grade and diapiric breccias|sedimentary|||N|
Archean sedimentary rocks 76517|76517|||||Yes|Formation, beds|Unnamed|Unnamed published|Mentioned|||||Mesoarchean|2965|||Paleoarchean|3240||||||No|||||||Unnamed unit used in the 1:2.5 million scale Geology of Australia dataset|Predominantly sedimentary rocks; includes sedimentary rocks of low metamorphic grade and diapiric breccias|sedimentary|||N|
Archean to Paleoproterozoic sedimentary rocks 76514|76514|||||Yes|Formation, beds|Unnamed|Unnamed published|Mentioned|||||Paleoproterozoic|2450|||Neoarchean|2640||||||No|||||||Unnamed unit used in the 1:2.5 million scale Geology of Australia dataset|Predominantly sedimentary rocks; includes sedimentary rocks of low metamorphic grade and diapiric breccias|sedimentary|||N|
Arco Formation|74209|||||Yes|Formation, beds|Formal|Other new published name|Described|Wadeye Group|74204|||Namurian||||Namurian|||||||No|61542||||||Of Wadeye Gp - offshore equiv.of onshore Point Spring Sst. Variously overlies Sunbird+Tanmurra Fms.+ Kingfisher Shale. Named for a petroleum company and therefore does not adhere to stratigraphic rules/conventions.|Interbedded  pyritic siltstone fine- to coarse-grained sandstones; occasional fossils.||||N|
Argus Igneous Complex|75379|||||Yes|Group, Suite|Formal|Resvd name published|Briefly described|||||Neoarchean|2738|26|isotopic, U/Pb-Pb/Pb ion probe|Neoarchean|2738|26|isotopic, U/Pb-Pb/Pb ion probe||||No|66119||Pawley, M. (GSWA)|16/JUL/09|||Rason 1:250k map sheet area. A layered gabbro and anorthosite intrusive complex in the northeast corner of the Yilgarn Craton. The Argus Igneous Complex concordantly intrudes the western part of the Yamarna-Mount Gill greenstone belt, and has been dated at 2738 +/- 26 Ma (GSWA SHRIMP age). The unit is named after a bore (Argus Bore at 51J 560650 6893675) that occurs near the main outcrop of the unit. To be published =  in the very near future in several GSWA publications, including 1:100 000 maps and geochronology reports.|Metamorphosed anorthosite; contains interleaved amphibolite|meta-igneous ultramafic|||Y|
Argyle Lamproite|578|Argyle lamproite|579|||Yes|Formation, beds|Formal|Variation of published name|Mentioned|||||Stenian||||Stenian|||||||No|41158|||||||Volcaniclastic olivine lamproite with olivine-phlogopite dykes|igneous lamproites|||Y|
Aries kimberlite|36759|||||Yes|Formation, beds|Informal|Other new published name|Briefly described||||||||||||||||No|23772||||||Informally named kimberlite pipe. In the Kimberley Block. Originally entered as NT unit, but more likely to be in WA [CEB Mar-2012].|||||Y|
Armadale Shale|613|||||Yes|Formation, beds|Formal|Unknown or process pending|Defined|Cardup Group|3601|||Neoproterozoic||||Neoproterozoic|||||483|WA|No|30939|36293||||||Black and white shales with minor sandstone and orthoquartzite.|argillaceous detrital sediment|quartz-rich arenite to rudite||N|
Armanda intrusion|31793|||||Yes|Formation, beds|Informal|Other new published name|Described|||McIntosh Suite|78624|Paleoproterozoic||||Paleoproterozoic|||||||No|43854||||||Use of the stratigraphic term "Intrusion" is pending (per R, Hocking/GSWA and O.Raymond/GA) PP. Dec07.|Layered mafic-ultramafic intrusion; gabbro, leucogabbro, leucogabbronorite, gabbronorite, anorthosite, minor troctolite; some olivine and/or chromitite-bearing; in rhythmic cycles; peridotite and troctolite|igneous mafic intrusive|igneous ultramafic intrusive||Y|
Arranoo Member|21152|||||Yes|Member, phase|Formal|Resvd name published|Briefly described|Kockatea Shale|9696|||Early Triassic||||Early Triassic|||||||No|43495||G.McGann|22/SEP/81|||Published as Arranoo Sandstone Member in 1988, but both names in use since. Gorter, Nicoll et al. (in prep Mar2009) formally propose to return to original unit name reserved and used in unpublished well completion reports - Arranoo Member.|||||N|
Arrino Siltstone|25765|||||Yes|Formation, beds|Formal|Unknown or process pending|Defined|||||Proterozoic||||Proterozoic||||||WA|No|36872|36293||||||||||N|
Arrowhead Shale|636|||||Yes|Formation, beds|Formal|Other new published name|Briefly described||||||||||||||||No|41622|||||||||||N|
Arrowsmith Sandstone|638|||||Yes|Formation, beds|Formal|Unknown or process pending|Defined|||||Proterozoic||||Proterozoic||||||WA|No|36872|36293||||||||||N|
Arunta Complex|679|Arunta complex|24671|||Yes|Group, Suite|Formal|Variation of published name|Described|||||Orosirian||||Orosirian|897|9|isotopic, Rb/Sr||||No|48786||||||Formerly considered to be Archaean; but also dated in one study as Neoproterozoic. See also Lexicon. SF53.|Schist, gneiss, amphibolite, marble, quartzite.|metasedimentary siliciclastic|high grade metamorphic rock||N|
Ascot Formation|693|Ascot beds|694|||Yes|Formation, beds|Formal|Variation of published name|Described|||||Early Pleistocene||||Late Pliocene|||||||No|41751||||||See also Ascot beds.|Marine deposits comprising shelly calcarenites, silty clay and glauconitic clay. Contains abundant molluscan fauna.||||N|
