authorizer,enterer,modifier,reference_no,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,editors,pubvol,pubno,firstpage,lastpage,publication_type,basis,language,doi,comments,project_name,project_ref_no,created,modified
"M. Clapham","M. Clapham",,28321,"N. W.",Archbold,,,,1995,"Studies on Western Australian Permian brachiopods 12. Additions to the late Asselian-Tastubian faunas","Proceedings of the Royal Society of Victoria",,107,2,95,112,"journal article","stated with evidence",English,,,,,"2008-10-25 17:46:57","2008-10-26 11:46:57"
"W. Kiessling","U. Merkel",,18936,"N. W.",Archbold,,,,1996,"Studies on Western Australian Permian brachiopods 13. The fauna of the Artinskian Mingenew Formation, Perth Basin","Proceedings of the Royal Society of Victoria",,108,1,17,42,"journal article","stated without evidence",English,,,,,"2006-09-29 05:03:33","2006-09-29 22:03:51"
"W. Kiessling","U. Merkel",,18935,"N. W.",Archbold,,,,1997,"Studies on Western Australian Permian brachiopods 14. The fauna of the Artinskian High Cliff Sandstone, Perth Basin","Proceedings of the Royal Society of Victoria",,109,2,199,231,"journal article","stated without evidence",English,,,,,"2006-09-29 02:57:23","2006-09-29 19:57:23"
"M. Clapham","M. Clapham",,27340,"N. W.",Archbold,T.,Hogeboom,,2000,"Subsurface Brachiopoda from borehole cores through the Early Permian sequence of the Carnarvon Basin, Western Australia: correlations with palynological biostratigraphy","Proceedings of the Royal Society of Victoria",,112,1,93,109,"journal article","stated without evidence",English,,,,,"2008-06-07 12:14:44","2008-06-08 05:14:44"
"W. Kiessling","U. Merkel",,18939,"N. W.",Archbold,"G. R.",Shi,,1993,"Aktastinian (Early Artinskian, Early Permian) brachiopods from the Jimba Jimba Calcarenite, Wooramel Group, Carnarvon Basin, Western Australia","Proceedings of the Royal Society of Victoria",,105,2,187,202,"journal article","stated without evidence",English,,,,,"2006-09-29 07:09:32","2006-09-30 00:09:46"
"M. Clapham","M. Clapham",,33427,"N. W.",Archbold,"S. K.",Skwarko,,1988,"Brachiopods and bivalves of Kungurian (late Early Permian) age from the top of the Coolkilya Sandstone, Carnarvon Basin, Western Australia","Report - Geological Survey of Western Australia",,23,,1,15,"serial monograph","stated with evidence",English,,,,,"2010-08-28 08:56:54","2010-08-29 01:56:54"
"M. Clapham","M. Clapham",,29683,"N. W.",Archbold,"R. H.",Swart,"J. M. Dickins",1996,"Permian fossil marine invertebrates from the Northern Territory described by Robert Etheridge Junior","Proceedings of the Royal Society of Victoria",,108,2,63,71,"journal article","stated with evidence",English,,,,,"2009-04-10 21:44:54","2009-04-11 14:44:54"
"M. Clapham","M. Clapham",,27556,"N. W.",Archbold,"G. A.",Thomas,,1984,"Permian Elythidae (Brachiopoda) from Western Australia",Alcheringa,,8,,311,326,"journal article","stated without evidence",English,,,,,"2008-07-04 20:51:46","2008-07-05 13:51:46"
"M. Aberhan","S. Nurnberg","S. Nurnberg",10520,"N. W.",Archbold,"G. A.",Thomas,,1985,"Permian Spiriferellinae (Brachiopoda) from Western Australia",Alcheringa,,9,1,35,48,"journal article","stated without evidence",,,,1%,,"2004-05-16 05:38:45","2004-05-16 22:38:46"
"M. Clapham","M. Clapham",,27430,"N. W.",Archbold,"G. A.",Thomas,,1985,"New genera of Western Australian Permian Spiriferidae (Brachiopoda)",Alcheringa,,9,,269,292,"journal article","stated without evidence",English,,,,,"2008-06-22 19:29:33","2008-06-23 12:29:33"
"M. Clapham","M. Clapham",,27308,"N. W.",Archbold,"G. A.",Thomas,,1986,"Neospirifer and Trigonotreta (Spiriferida, Brachiopoda) from the Permian of Western Australia",Alcheringa,,10,,125,161,"journal article","stated without evidence",English,,,,,"2008-06-05 15:24:26","2008-06-06 08:24:26"
"M. Clapham","M. Clapham",,27933,"N. W.",Archbold,"G. A.",Thomas,,1986,"Permian Ingelarellidae (Brachiopoda) from Western Australia and Argentina","Journal of Paleontology",,60,3,581,605,"journal article","stated without evidence",English,,,,,"2008-08-10 12:56:24","2008-08-11 05:56:24"
"M. Clapham","M. Clapham",,27672,"N. W.",Archbold,"G. A.",Thomas,,1987,"Fusispirifer (Spiriferidae, Brachiopoda) from the Permian of Australia and Afghanistan",Alcheringa,,11,,175,203,"journal article","stated without evidence",English,,,,,"2008-07-21 20:17:33","2008-07-22 13:17:33"
"M. Clapham","M. Clapham","M. Clapham",27931,"N. W.",Archbold,"G. A.",Thomas,,1993,"Imperiospira, a new Western Australian Permian Spiriferidae (Brachiopoda)","Memoirs of the Association of Australasian Palaeontologists",,15,,313,328,"journal article","stated without evidence",English,,,,,"2008-08-10 12:30:22","2013-04-03 09:54:36"
"M. Clapham","M. Clapham",,28046,J.,Armstrong,,,,1968,"The unusual brachial skeleton of Attenuatella convexa sp. nov. (Brachiopoda)",Palaeontology,,11,5,783,792,"journal article","stated with evidence",English,,,,,"2008-08-24 12:05:24","2008-08-25 05:05:24"
"M. Clapham","M. Clapham","M. Clapham",28382,J.,Armstrong,,,,1968,"The martiniacean species occurring at Glendon, New South Wales, the type locality of Notospirifer darwini (Morris)","Journal and Proceedings of the Royal Society of New South Wales",,101,,197,205,"journal article","stated with evidence",English,,,,,"2008-11-01 17:03:40","2013-04-03 09:41:51"
"M. Clapham","M. Clapham",,27373,J.,Armstrong,,,,1970,"Queensland Permian species of the spiriferid brachiopods Punctospirifer and Cleiothyridina","Memoirs of the Queensland Museum",,15,,315,321,"journal article","stated without evidence",English,,,,,"2008-06-10 13:55:07","2008-06-11 06:55:07"
"M. Clapham","M. Clapham","M. Clapham",27376,J.,Armstrong,,,,1970,"Syringothyrid brachiopods from the Permian of eastern Australia","Neues Jahrbuch für Geologie und Paläontologie, Abhandlungen",,136,2,135,165,"journal article","stated without evidence",English,,,,,"2008-06-10 15:13:07","2013-04-03 11:29:00"
"M. Clapham","M. Clapham",,34599,J.,Armstrong,,,,1970,"Micro-ornaments of the spiriferid brachiopods Notospirifer, Ingelarella, and Subansiria",Lethaia,,3,,287,300,"journal article","stated without evidence",English,,,,,"2010-12-24 09:22:01","2010-12-24 09:22:01"
"M. Clapham","M. Clapham",,33432,J.,Armstrong,,,,1972,"Occurrences of the spiriferid brachiopod Martinia in the eastern Australian Permian","Proceedings of the Royal Society of Queensland",,83,,35,40,"journal article","stated with evidence",English,,,,,"2010-08-28 09:01:02","2010-08-29 02:01:02"
"M. Clapham","M. Clapham",,30069,"J. D.",Armstrong,"J. F.",Dear,"B. Runnegar",1967,"Permian ammonoids from eastern Australia","Journal of the Geological Society of Australia",,14,,87,97,"journal article","stated with evidence",English,,,,,"2009-06-11 16:48:30","2009-06-12 09:48:30"
"M. Clapham","M. Clapham",,33431,J.,Armstrong,P.,Telford,,1970,"Species of Attenuatella Stehli (Brachiopoda) from New South Wales","Proceedings of the Linnean Society of New South Wales",,94,2,113,118,"journal article","stated with evidence",English,,,,,"2010-08-28 09:00:20","2010-08-29 02:00:20"
"M. Clapham","M. Clapham",,38526,"M. R.",Banks,,,,1971,"A Darwin manuscript on Hobart town","Papers and Proceedings of the Royal Society of Tasmania",,105,,5,19,"journal article","none discussed",English,,,,,"2011-11-16 06:34:38","2011-11-16 06:34:38"
"M. Clapham","M. Clapham",,42450,"R. W.",Bretnall,,,,1926,"Descriptions of some Western Australian fossil Polyzoa","Bulletin of Western Australia Geological Survey",,88,,7,33,"journal article","stated with evidence",English,,,,,"2012-07-26 05:47:52","2012-07-26 05:47:52"
"M. Clapham","M. Clapham","M. Clapham",27370,"D. J. C.",Briggs,,,,1998,"Permian Productidina and Strophalosiidina from the Sydney-Bowen Basin and New England Orogen: systematics and biostratigraphic significance","Memoirs of the Association of Australasian Palaeontologists",,19,,1,258,"serial monograph","stated with evidence",English,,,,,"2008-06-10 11:22:43","2013-04-03 09:54:48"
"P. Wagner","P. Wagner",,15787,K.S.W.,Campbell,,,,1953,"The fauna of the Permo-Carboniferous Ingelara beds of Queensland","University of Queensland Papers, Dept. of Geology",,4,3,3,43,"journal article","stated without evidence",English,,,,,"2006-01-25 10:44:18","2006-01-26 05:44:18"
"J. Alroy","M. Sommers","J. Alroy",345,"K. S. W.",Campbell,,,,1957,"A lower Carboniferous brachiopod-coral fauna from New South Wales","Journal of Paleontology",,31,1,34,98,"journal article","stated with evidence",English,,,,,"1999-11-04 15:18:33","2008-06-04 13:38:20"
"M. Clapham","M. Clapham",,27374,K.S.W.,Campbell,,,,1960,"The brachiopod genera Ingelarella and Notospirifer in the Permian of Queensland","Journal of Paleontology",,34,6,1106,1123,"journal article","stated without evidence",English,,,,,"2008-06-10 14:32:46","2008-06-11 07:32:46"
"M. Clapham","M. Clapham",,27372,K.S.W.,Campbell,,,,1961,"New species of the Permian spiriferoides Ingelarella and Notospirifer from Queensland and their stratigraphic implications","Palaeontographica Abteilung A",,117,5-6,159,192,"journal article","stated without evidence",English,,,,,"2008-06-10 12:55:33","2008-06-11 05:55:33"
"P. Wagner","P. Wagner",,17128,K.S.W.,Campbell,,,,1962,"Marine fossils from the Carboniferous glacial rocks of New South Wales","Journal of Paleontology",,36,1,38,52,"journal article","stated without evidence",English,,,,,"2006-04-11 19:06:38","2006-04-12 12:06:45"
"T. Olszewski","L. Fall","M. Clapham",14254,"K. S. W.",Campbell,,,,1965,"Australian Permian terebratuloids","Bureau of Mineral Resources Geology and Geophysics Bulletin",,68,,3,146,"serial monograph","stated with evidence",English,,,,,"2005-08-25 13:36:51","2011-02-16 13:49:45"
"W. Kiessling","U. Merkel",,34437,"J. D.",Campbell,,,,1994,"Late Triassic brachiopods from a dredge haul on the slope below Rowley Terrace, northwest Australia","AGSO Journal of Australian Geology and Geophysics",,15,1,135,136,"journal article","stated without evidence",English,,,,,"2010-12-07 20:34:40","2010-12-07 20:34:40"
"P. Wagner","P. Wagner","J. Alroy",11583,"K. S. W.",Campbell,"B. A.",Engel,,1963,"The faunas of the Tournaisian Tulcumba Sandstone and its members in the Werrie and Belvue synclines, New South Wales","Journal of the Geological Society of Australia",,10,1,55,122,"journal article","stated without evidence",English,,,,,"2004-09-01 21:12:10","2011-03-13 10:43:55"
"M. Clapham","M. Clapham","M. Clapham",27487,"M. E.",Clapham,,,,2011,"Personal Permo-Triassic Opinions",,,,,,,unpublished,"stated with evidence",English,,,,,"2008-06-28 16:24:02","2010-11-29 07:28:28"
"M. Clapham","M. Clapham",,35248,"M. J.",Clarke,,,,1969,"Tasmanian Strophalosiidae","Tasmania Department of Mines, Geological Survey Record",,10,,1,51,"serial monograph","stated with evidence",English,,,,,"2011-02-21 13:07:48","2011-02-21 13:07:48"
"M. Clapham","M. Clapham",,42006,"M. J.",Clarke,,,,1970,"A new Permian strophalosiid brachiopod genus from eastern Australia","Journal of Paleontology",,44,,986,987,"journal article","stated with evidence",English,,,,,"2012-06-15 03:57:20","2012-06-15 03:57:20"
"M. Clapham","M. Clapham",,33459,"M. J.",Clarke,,,,1971,"The fauna and age of Malbina A","Technical Reports - Tasmania Department of Mines",,14,,151,157,"serial monograph","stated with evidence",English,,,,,"2010-08-28 16:54:21","2010-08-29 09:54:21"
"M. Clapham","M. Clapham",,27849,"M. J.",Clarke,,,,1973,"Faunas from the Ferntree Group of south-eastern Tasmania","Technical Reports - Tasmania Department of Mines",,16,,50,65,"journal article","stated without evidence",English,,,,,"2008-08-02 12:38:30","2008-08-03 05:38:30"
"T. Olszewski","L. Fall","L. Fall",13659,"M. J.",Clarke,,,,1987,"Late Permian (late Lymingtonian = ?Kazanian) brachiopods from Tasmania",Alcheringa,,11,,261,289,"journal article","stated without evidence",,,,,,"2005-06-02 09:54:33","2005-06-03 02:54:33"
"M. Clapham","M. Clapham",,32513,"M. J.",Clarke,,,,1990,"Late Palaeozoic (Tamarian; Late Carboniferous-Early Permian) cold-water brachiopods from Tasmania",Alcheringa,,14,,53,76,"journal article","stated with evidence",English,,,,,"2010-04-24 13:08:35","2010-04-25 06:08:35"
"M. Clapham","M. Clapham",,28778,"M. J.",Clarke,,,,1992,"Hellyerian and Tamarian (Late Carboniferous-Lower Permian) invertebrate faunas from Tasmania","Tasmania Geological Survey Bulletin",,69,,1,54,"journal article","stated with evidence",English,,,,,"2008-12-12 22:11:16","2008-12-13 17:11:16"
"M. Clapham","M. Clapham",,43168,"M. J.",Clarke,,,,1992,"A new notospiriferine genus (Spiriferida: Brachiopoda) from the Permian of Tasmania","Papers and Proceedings of the Royal Society of Tasmania",,126,,73,76,"journal article","stated with evidence",English,,,,,"2012-10-01 10:23:38","2012-10-01 10:23:38"
"M. Clapham","M. Clapham","M. Clapham",30369,"J. M.",Crockford,,,,1941,"Permian Bryozoa of eastern Australia, part I: a description of some previously-named species of Fenestrellinidae (Fenestellidae)","Journal and Proceedings of the Royal Society of New South Wales",,74,,397,418,"journal article","stated with evidence",English,,,,,"2009-07-18 12:22:02","2013-04-03 09:41:59"
"M. Clapham","M. Clapham","M. Clapham",30371,"J. M.",Crockford,,,,1941,"Permian Bryozoa of eastern Australia, part II: new species from the Upper Marine Series of New South Wales","Journal and Proceedings of the Royal Society of New South Wales",,74,,502,519,"journal article","stated with evidence",English,,,,,"2009-07-18 14:18:59","2013-04-03 09:42:06"
"M. Clapham","M. Clapham","M. Clapham",32346,"J. M.",Crockford,,,,1943,"Permian Bryozoa of eastern Australia, part III: Batostomellidae and Fenestrellinidae from Queensland, New South Wales, and Tasmania","Journal and Proceedings of the Royal Society of New South Wales",,76,,258,267,"journal article","stated without evidence",English,,,,,"2010-03-30 18:21:18","2013-04-03 09:42:15"
"M. Clapham","M. Clapham",,42551,J.,Crockford,,,,1943,"Bryozoa from the Port Keats bore, Northern Territory","Proceedings of the Linnean Society of New South Wales",,68,,145,149,"journal article","stated with evidence",English,,,,,"2012-08-04 14:58:25","2012-08-04 14:58:25"
"M. Clapham","M. Clapham",,32427,J.,Crockford,,,,1944,"Bryozoa from the Wandagee and Nooncanbah series (Permian) of Western Australia","Journal of the Royal Society of Western Australia",,28,,165,185,"journal article","stated with evidence",English,,,,,"2010-04-11 15:13:44","2010-04-12 08:13:44"
"M. Clapham","M. Clapham",,32428,J.,Crockford,,,,1944,"Bryozoa from the Permian of Western Australia Part I: Cyclostomata and Cryptostomata from the north-west basin and Kimberley district","Proceedings of the Linnean Society of New South Wales",,69,,139,175,"journal article","stated with evidence",English,,,,,"2010-04-11 15:14:35","2010-04-12 08:14:35"
"M. Clapham","M. Clapham",,32369,J.,Crockford,,,,1945,"Stenoporids from the Permian of New South Wales and Tasmania","Proceedings of the Linnean Society of New South Wales",,70,,9,24,"journal article","stated without evidence",English,,,,,"2010-04-03 18:58:39","2010-04-04 11:58:39"
"W. Kiessling","U. Merkel",,19192,"A. M.",Cvancara,,,,1958,"Invertebrate fossils from the Lower Carboniferous of New South Wales","Journal of Paleontology",,32,5,846,888,"journal article","stated without evidence",English,,,,,"2006-11-15 06:15:30","2006-11-16 01:15:30"
"G. Webster","G. Webster","M. Clapham",20608,"J. D.",Dana,,,,1847,"Descriptions of fossil shells of the collections of the exploring expedition under the command of Charles Wilkes, USN, obtained in Australia, from the lower layers of the coal formation in Illawarra, and from a deposit probably of nearly the same age at Harper's Hill, Valley of the Hunter","American Journal of Science and Arts, Second Series",,4,,151,160,"journal article","stated without evidence",English,,,,,"2007-02-26 19:03:33","2012-09-08 15:36:45"
"M. Clapham","M. Clapham",,27730,"J. D.",Dana,,,,1849,"Appendix I. Descriptions of Fossils. 1. Fossils of New South Wales","United States Exploring Expedition During the Years 1838, 1839, 1840, 1842, 1842 Under the Command of Charles Wilkes, U.S.N. Atlas: Geology",,,,681,720,"book/book chapter","stated without evidence",English,,,,,"2008-07-25 14:30:10","2008-07-26 07:30:10"
"M. Clapham","M. Clapham",,38502,C.,Darwin,,,,1844,,"Geological Observations on the Volcanic Islands Visited during the Voyage of HMS Beagle",,,,1,175,"book/book chapter","none discussed",English,,,,,"2011-11-13 07:15:57","2011-11-13 07:15:57"
"M. Clapham","M. Clapham","M. Clapham",42462,T.,Davidson,,,,1859,"Palaeontological notes on the Brachiopoda No. 2. On the families Strophomenidae and Productidae","The Geologist",,2,,97,117,"journal article","stated with evidence",English,,,,,"2012-07-27 02:42:35","2012-07-27 02:53:55"
"M. Clapham","M. Clapham",,46562,"J. F.",Dear,,,,1966,"An ammonoid from the Permian of Queensland","Memoirs of the Queensland Museum",,14,,199,203,"journal article","stated with evidence",English,,,,,"2013-04-28 10:48:51","2013-04-28 10:48:51"
"M. Clapham","M. Clapham",,39464,"J. F.",Dear,,,,1971,"Strophomenoid brachiopods from the higher Permian faunas of the Back Creek Group in the Bowen Basin","Geological Survey of Queensland Publication",,347,,1,22,"serial monograph","stated with evidence",English,,,,,"2012-01-16 10:07:10","2012-01-16 10:07:10"
"M. Clapham","M. Clapham","M. Clapham",28048,"J. M.",Dickins,,,,1956,"Permian pelecypods from the Carnarvon Basin, Western Australia","Bureau of Mineral Resources, Geology and Geophysics Bulletin",,29,,1,42,"serial monograph","stated with evidence",English,,,,,"2008-08-24 12:28:34","2013-04-03 08:00:55"
"M. Clapham","M. Clapham","M. Clapham",27375,"J. M.",Dickins,,,,1957,"Lower Permian pelecypods and gastropods from the Carnarvon Basin, Western Australia","Bureau of Mineral Resources, Geology and Geophysics Bulletin",,41,,1,75,"serial monograph","stated without evidence",English,,,,,"2008-06-10 14:42:05","2013-04-03 07:54:58"
"M. Clapham","M. Clapham",,27926,"J. M.",Dickins,,,,1961,"Permian pelecypods newly recorded from eastern Australia",Palaeontology,,4,1,119,130,"journal article","stated without evidence",English,,,,,"2008-08-08 22:59:07","2008-08-09 15:59:07"
"P. Wagner","P. Wagner",,15626,"J. M.",Dickins,,,,1963,"Permian pelecypods and gastropods from western Australia","Bulletin of the Bureau of Mineral Resources, Geology and Geophysics",,63,,1,203,"serial monograph","stated without evidence",English,,,,,"2006-01-19 19:54:46","2006-01-20 14:54:46"
"M. Clapham","M. Clapham",,29742,"J. M.",Dickins,,,,1989,"Youngest Permian marine macrofossil fauna from the Bowen and Sydney basins, eastern Australia","BMR Journal of Australian Geology and Geophysics",,11,,63,79,"journal article","stated with evidence",English,,,,,"2009-04-17 17:11:34","2009-04-18 10:11:34"
"M. Clapham","M. Clapham",,32403,M.,Dixon,"D. W.",Haig,,2004,"Foraminifera and their habitats within a cool-water carbonate succession following glaciation, Early Permian (Sakmarian), Western Australia","Journal of Foraminiferal Research",,34,,308,324,"journal article","none discussed",English,,,,,"2010-04-07 17:44:48","2010-04-08 10:44:48"
"M. Clapham","M. Clapham",,33481,"B. A.",Engel,"J. R.",Laurie,,1978,"A new species of the Permian trilobita Doublatia from the Manning District, New South Wales",Alcheringa,,2,,49,54,"journal article","stated with evidence",English,,,,,"2010-08-28 19:50:29","2010-08-29 12:50:29"
"P. Wagner","P. Wagner","M. Clapham",26702,R.,Etheridge,,,,1872,"Description of the Palaeozoic and Mesozoic fossils of Queensland","Quarterly Journal of the Geological Society of London",,28,,317,360,"journal article","stated without evidence",English,,,,,"2008-03-13 12:32:05","2012-07-30 11:56:13"
"M. Clapham","M. Clapham","M. Clapham",39465,R.,"Etheridge Jr.",,,,1880,"On a collection of fossils from the Bowen River coalfield and the limestone of the Fanning River, north Queensland","Proceedings of the Royal Physical Society of Edinburgh",,5,,263,328,"journal article","stated without evidence",English,,,,,"2012-01-16 10:39:16","2012-08-03 15:49:52"
"M. Clapham","M. Clapham","M. Clapham",42464,R.,"Etheridge Jr.",,,,1889,"Remarks on fossils of Permo-Carboniferous age, from north-western Australia, in the Macleay Museum","Proceedings of the Linnean Society of New South Wales, Series 2",,4,,199,214,"journal article","stated with evidence",English,,,,,"2012-07-27 03:28:17","2012-08-03 15:51:02"
"M. Clapham","M. Clapham","M. Clapham",42529,R.,"Etheridge Jr.",,,,1894,"Palaeontologia novae cambriae meridionalis: occasional descriptions of New South Wales Fossils, No. 1","Records of the Geological Survey of New South Wales",,4,,32,37,"journal article","stated with evidence",English,,,,,"2012-08-02 07:57:09","2012-08-03 15:51:14"
"M. Clapham","M. Clapham",,43251,R.,"Etheridge Jr.",,,,1898,"Palaeontologia Novae Cambriae Meridionalis - occasional descriptions of New South Wales fossils, no. 3","Records of the Geological Survey of New South Wales",,5,4,175,179,"journal article","stated without evidence",English,,,,,"2012-10-10 09:11:52","2012-10-10 09:11:52"
