Stratigraphic Name | Stratno |  Previous Name  |Previous Name Stratno| Replacement Name | Replacement Name Stratno |Is Current | Rank | Status | Category | Usage | Parent Name | Parent Stratno | Chemical Parent Name | Chemical Parent Stratno | Top Minimum Age Name | Top Minimum Age (Ma) | Top Minimum Age Error (Ma)| Top Minimum Age Method | Base Maximum Age Name | Base Maximum Age (Ma) | Base Maximum Age Error (Ma) | Base Maximum Age Method | Minimum Thickness (m) | Maximum Thickness (m) | Type Section State | Definition Card | First ref as on form | Def ref as on form | Reserved by | Resdate | Approved by | Approved date |General Comments | Lithology Description | Primary Lithology Group | Secondary Lithology Group | Tectonic Setting | Intrusive | Granite Type
Almaden, Ingham, Leichhardt, O'Briens Creek and Ootann Supersuites (all in part); Badu Suite; and various ungrouped Carboniferous-Early Permian plutonic units|78087|||||Yes|Formation, beds|Informal|Variation of published name|Mentioned|||||Permian||||Carboniferous|||||||No|68553||||||Published in Queensland Geology 1:2 000 000 map (2012). Informally grouped as 'Kennedy Province - Carboniferous-Permian intrusives' (stratNo 78403), age: Late Carboniferous-Early Permian,  in digital version. Digital version to be used in GA 1:2.5m Bedrock Geology.|Pink to grey or cream, equigranular to porphyritic biotite granite, hornblende-biotite granite and granodiorite; microgranite and leucogranite; subordinate diorite and gabbro|igneous felsic intrusive|igneous mafic intrusive||Y|
Almaden, Ingham, O'Briens Creek, Ootann (all in part), Claret Creek, Glenmore, Oweenee Supersuites; Emerald Creek Suite; Bedarra Granite Complex; Montgomery Range Igneous Complex; and various ungrouped Carboniferous plutonic units|78086|||||Yes|Formation, beds|Informal|Variation of published name|Mentioned|||||Carboniferous||||Carboniferous|||||||No|68553||||||Published in Queensland Geology 1:2 000 000 map (2012). Grouped informally as 'Kennedy Province - Carboniferous intrusives' in digital version (StratNo 78405). Digital version to be used in GA 1:2.5m Bedrock Geology.|Pink to grey or cream, equigranular to porphyritic biotite granite, hornblende-biotite granite and granodiorite; microgranite and leucogranite; subordinate diorite and gabbro|igneous felsic intrusive|igneous mafic intrusive||Y|
Almaden, Leichhardt and O'Briens Creek Supersuites (all in part); Brodies Camp, Cape Melville, Cooktown, Kangaroo Creek, Lags, Pieter Botte, Weymouth, Whypalla, Woodstock and Yates Supersuites; Mount Alto, Tinaroo and Wangetti Suites|78088|||||Yes|Formation, beds|Informal|Variation of published name|Mentioned|||||Permian||||Permian|||||||No|68553||||||Published in Queensland Geology 1:2 000 000 map (2012). Also includes various ungrouped Permian plutonic units. Informally grouped as 'Kennedy Province - Permian intrusives' (StratNo 78416) in digital version. To be used in GA 1:2.5m Bedrock Geology
|Pink to grey or cream, equigranular to porphyritic biotite granite, hornblende-biotite granite and granodiorite; microgranite and leucogranite; subordinate diorite and gabbro|igneous felsic intrusive|igneous mafic intrusive||Y|
Alpha Centauri Metamorphics|75358|||||Yes|Formation, beds|Formal|Resvd name published|Mentioned|||||Paleoproterozoic||||Paleoproterozoic|1789|4|||||No|68553||Hutton, L. (GSQ)|07/JUL/09|||For use in the Mount Isa Inlier. NW Qld Mineral and Energy Province Report (2011). These rocks previously mapped as Eastern Creek Volcanics. Maximum depositional age1789+/-4 Ma in Geology of Queensland 2013, p58,32, 41-42 .|Layered calc-silicate rocks, fine-grained amphibolite and quartzite.|metasedimentary carbonate|metasedimentary siliciclastic||N|
Alpha Granite|21120|Ravenswood Granodiorite|15874|||Yes|Formation, beds|Formal|Resvd name published|Defined|||Amarra Supersuite|36157|Early Devonian|394|30||Late Silurian|394|30|||||Yes|23283|23283|Hutton L. J., Rienks I.P.|30/NOV/94|Withnall, I.|24/MAR/08|Lolworth & Reedy Springs areas. DEFINITION CARD  rec'd March 2008. Intrudes Cape River Metamorphics. Previously mapped as Ravenswood Granodiorite. Defined as an "unassigned" unit, but stated to be of the Amarra Supersuite on HOMESTEAD sheet. Age unreliable.|Medium to coarse-grained, pink to red, biotite granite to alkali-feldspar granite|igneous felsic intrusive|||Y|
Alsace Quartzite|332|Myally Beds|13628|||Yes|Formation, beds|Formal|Resvd name published|Defined|Myally Subgroup|13635|||Statherian|1650|||Statherian|1779|5|||600|QLD|Yes|30529|30534|Derrick G.|21/APR/75|Staines, H.R.E.|18/MAR/76|Defn card held [CEB Msy 2002].  Within the Haslingden Group.|Quartzite, sandstone, grey-pink, feldspathic to quartzose, medium to coarse-grained, massive to blocky, thick to thin-bedded; contains some clayey rock fragments; thin grey-green siltstone interbeds near the top.||||N|
Altanmoui Granite|27316|||||Yes|Formation, beds|Formal|Other new published name|Redefined|||Altanmoui Suite|69230|Permian|277||isotopic, Rb/Sr|Permian|277||isotopic, Rb/Sr||||No|44292|43111|||||Part of the Cape Melville Supersuite.  Intruded Hodgkinson Formation.|Medium-grained, mod'ly porphyritic biotite granite; accessory zircon, apatite, allanite; with scattered enclaves, biotite-rich schlieren and pegmatitic patches|igneous felsic intrusive|||Y|I-type
Altanmoui Suite|69230|||||Yes|Group, Suite|Formal|Resvd name published|Briefly described|||Cape Melville Supersuite|30146|Permian||||Permian|||||||No|60425||Champion D.|20/JUN/05||||||||Y|I-type
Alton Downs Basalt|40103|||||Yes|Formation, beds|Formal|Other new published name|Briefly described|||||Late Cretaceous||||Late Cretaceous|||||||No|50209|||||||Olivine- and feldspar-phyric basalt|igneous mafic volcanic|||N|
Alum Rock Conglomerate|344|||||Yes|Formation, beds|Formal|Other new published name|Defined|||||Early Permian|291.3|2.9|isotopic, U/Pb-Pb/Pb ion probe|Early Permian|293.7|3.4|isotopic, U/Pb-Pb/Pb ion probe||||No|44543|44543|||||Tectonic unit: Southern New England Orogen, Barnard Basin, slivers in Texas Block [refid: 65114]. Silver Spur Subprovince, Woolomin Province (Geology of Queensland 2013)|Conglomerate, locally pebbly sandstone, and siltstone; local rhyolitic to dacitic breccias, tuff and lava; minor calcareous arenite and limestone.|quartz-rich arenite to rudite|igneous felsic volcanic||N|
Alum Rock Conglomerate; Bondonga, Pikedale, Silver Spur and Terrica beds|78090|||||Yes|Formation, beds|Informal|Variation of published name|Mentioned|||||Permian||||Permian|||||||No|68553||||||Published in Queensland Geology 1:2 000 000 map (2012). To be used in GA 1:2.5m Bedrock Geology.|Conglomerate, locally pebbly sandstone, and siltstone; rhyolitic to locally dacitic breccia, tuff and lava; minor calcareous arenite and limestone|sedimentary siliciclastic|igneous felsic volcanic||N|
Alum Rock volcanics|75528|||||Yes|Formation, beds|Informal|Other new published name|Briefly described|||||Sakmarian|291.3|2.8|isotopic, U/Pb-Pb/Pb ion probe|Sakmarian|293.7|3.4|isotopic, U/Pb-Pb/Pb ion probe||||No|65107||||||Informal name used in same area as Alum Rock Conglomerate. Misspelling of Alum Mountain Volcanics? Both names used in the same paper and given different ages. Age: SHRIMP U-Pb zircon 293.7+/-3.4 to 291.3+/-2.8 Ma. Also constrained by Terrica beds and Alum Rock Conglomerate (Permian).|||||N|
Amamoor beds|349|Amamoor Beds|28177|||Yes|Formation, beds|Informal|Unknown or process pending|Redefined|||||Early Carboniferous||||Late Devonian|||||||No|38805|22845|||||Check if really a definition. Why 'beds' if can be defined? North D'Aguilar Subprovince, Wandilla Province (Geology of Queensland 2013, p331)|Mudstone, slate, basic metavolcanics, chert, schist, jasper, greywacke.|argillaceous detrital sediment|igneous mafic volcanic||N|
Amamoor, Booloumba and Kurwongbah beds; Gobongo, Manumbar, Widgee and Wongella Metamorphics; Jimna Phyllite; Peters Creek and Rocksberg Greenstones; Talamy Schist; Wide Bay Creek Gneiss|78091|||||Yes|Formation, beds|Informal|Variation of published name|Mentioned|||||Carboniferous||||Devonian|||||||No|68553||||||Published in Queensland Geology 1:2 000 000 map (2012). Grouped informally as 'D'Aguilar Subprovince - metamorphic rocks' (StratNo 78409) in digital version. Digital version to be used in GA 1:2.5m Bedrock Geology.|Schist, phyllite, slate, meta-arenite, mafic volcanics, amphibolite|metasedimentary siliciclastic|igneous mafic volcanic||N|
Amarra Granite|21125|||||Yes|Formation, beds|Formal|Resvd name published|Defined|||Amarra Suite|35059|Early Devonian|382|5|isotopic, U/Pb|Late Silurian|382|5|isotopic, U/Pb||||Yes|23283|23283|Hutton L. J., Rienks I.P.|30/NOV/94|Withnall, I.|24/MAR/08|Lolworth & Reedy Springs areas. DEFINITION CARD rec'd March 2008.  Intrudes Cape River Metamorphics. Intruded by: the Dillons Knob Granite, Weaner Vale Granite, and Grasstree Granite.|Grey to pink, medium-grained, sparsely to commonly porphyritic biotite-muscovite granite.|igneous felsic intrusive|||Y|
Amarra Suite|35059|||||Yes|Group, Suite|Formal|Variation of published name|Described|||Amarra Supersuite|36157|Middle Devonian||||Early Devonian|||||||Yes|23049||||Withnall, I.|24/MAR/08|DEFINITION CARD  for constituent units rec'd March 2008. Magnetic suite of Lolworth Batholith on the HOMESTEAD and LOLWORTH  1:100K sheets.  Intruded by leucogranites of the Grasstree Suite. Granites previously included in the Lolworth Igneous Complex. Placed in Pama Province. In Geology of Queensland 2013, p292 as part of Lolworth Batholith. Not all constituents dated but must range between at least 382 and 404 Ma.|Comprises muscovite-biotite granite.Characterised by the presence of quartz large poikolitic K-feldspar, subhedral albite, plagioclase, muscovite and biotite.||||Y|
Amarra Supersuite|36157|||||Yes|Supergroup|Formal|Variation of published name|Described|||||Early Devonian||||Early Devonian|||||||No|23505|||||||||||Y|
Amber Granite|77808|Amber granite|36595|||Yes|Formation, beds|Formal|Variation of published name|Briefly described|||Ootann Supersuite|14620|Late Carboniferous||||Late Carboniferous|||||||No|68405||||||Variation of informal Amber granite (unit no. 36595).|Porphyritic biotite granite.|igneous felsic intrusive|||Y|I-type
Amberley Basin - basalt 78028|78028|||||Yes|Formation, beds|Unnamed|Unnamed published|Briefly described|||||Neogene||||Paleogene|||||||No|||||||Unnamed unit used in the Mafic-Ultramafic Event Series dataset 2013. Used in Qld State surface geology. Tv/1-SEQ.|Basalt|igneous mafic volcanic|||N|
Amelia Creek Tonalite|75644|||||Yes|Formation, beds|Reserved|Reserved|Reserved|||||Permian||||Carboniferous|||||||No|||Bultitude, R.J.|12/MAR/10|||Located ~40 km south-west of Proserpine, in the Urannah (8556) 1:100 000 Sheet area, Bowen 1:250 000 Sheet area (SF55-03); named after Amelia Creek, a nearby tributary of Sandy Creek, which transects the unit . Most probably Carboniferous or Permian.|Pale grey to grey, medium to fine-grained, uneven-grained to moderately porphyritic biotite-hornblende tonalite to quartz monzodiorite; with minor sphene; generally weakly foliated, partly recrystallised; mafic inclusions common|igneous felsic intrusive|igneous intermediate intrusive||Y|
Ametdale Volcanics|33149|||||Yes|Formation, beds|Formal|Resvd name published|Described|Lizzie Creek Volcanic Group|41783|||Early Permian||||Early Permian|||||1000||No|23042||Withnall I.|20/NOV/98|||Saint Lawrence 1:250 000 sheet area, SF55-12. Possible correlation to Mount Benmore and Lizzie Creek Volcanics.|Andesite to basaltic lava and crystal-rich volcanic sandstone, breccia and conglomerate|igneous intermediate volcanic|||N|
Amity Aplite|23334|||||Yes|Formation, beds|Formal|Resvd name published|Defined|||||Early Devonian||||Late Silurian||||||QLD|No|42245|42245|Rienks I.|28/JUN/89||||||||Y|
Anabranch Basalt Flow|32074|||||Yes|Formation, beds|Informal|Other new published name|Briefly described|||||Quaternary||||Quaternary|||||||No|43933|||||||Olivine basalt (1.1 Ma)|igneous mafic volcanic|||N|
Anakie Metamorphic Group|401|Anakie Metamorphics|402|||Yes|Group, Suite|Formal|Variation of published name|Redefined|||||Early Cambrian|510||isotopic, K/Ar|Neoproterozoic|554||isotopic, K/Ar||||Yes|42747|43861|||Withnall, I.|12/MAR/08|REDEFINITION CARD rec'd March 2008.  In the Southern Anakie Inlier. Very detailed Unit History provided in Unit Definition. Anakie Metamorphics, in being subdivided into 6 distinct units, have been upgraded to Anakie Metamorphic Group. Anakie Province, Thomson Orogen (Geology of Queensland 2013, p120).|Siltstone, fine sandstone, phyllite, schist, commonly cleaved and multiply deformed; plus two unnamed subunits.|metasedimentary siliciclastic|||N|
Ancaster Granite|36292|Ancaster|29345|||Yes|Formation, beds|Formal|Resvd name published|Briefly described|||||Early Permian||||Early Permian|||||||No|23510||Mackenzie D.E.|08/AUG/01||||Seriate to K-feldspar-phyric allanite-hornblende-biotite granite|igneous felsic intrusive|||Y|
Angelay Granite|34362|||||Yes|Formation, beds|Formal|Other new published name|Mentioned|||||Calymmian||||Calymmian|||||||No|22735||||||Part of the Williams Batholith, along with Saxby and Squirrel Hills Granites.|||||Y|
Anglesey Rhyolite|36279|||||Yes|Formation, beds|Formal|Resvd name published|Briefly described|Bulleringa Volcanic Subgroup|36277|||Early Permian||||Early Permian|||||||No|23510||Mackenzie D.E.|08/AUG/01|||For igneous unit in far north Queensland.|Lithic- and crystal-bearing  rhyolitic ignimbrite; rhyolite|igneous felsic volcanic|||N|
