Stratigraphic Name | Stratno |  Previous Name  |Previous Name Stratno| Replacement Name | Replacement Name Stratno |Is Current | Rank | Status | Category | Usage | Parent Name | Parent Stratno | Chemical Parent Name | Chemical Parent Stratno | Top Minimum Age Name | Top Minimum Age (Ma) | Top Minimum Age Error (Ma)| Top Minimum Age Method | Base Maximum Age Name | Base Maximum Age (Ma) | Base Maximum Age Error (Ma) | Base Maximum Age Method | Minimum Thickness (m) | Maximum Thickness (m) | Type Section State | Definition Card | First ref as on form | Def ref as on form | Reserved by | Resdate | Approved by | Approved date |General Comments | Lithology Description | Primary Lithology Group | Secondary Lithology Group | Tectonic Setting | Intrusive | Granite Type
Algebuckina Sandstone|262|||||Yes|Formation, beds|Formal|Variation of published name|Defined|||||Valanginian||||Toarcian|||||750|SA|No|44689|41063|||||Age: Early Jurassic to Early Cretaceous but includes 2 erosional breaks.[from chart dated 1/5/97]. See also Algebuckina Formation.|Sandstone, fine to coarse-grained, with granule and pebble layers, and shale intraclasts|sedimentary siliciclastic|||N|
Ali Curung Granite|24152|||||Yes|Formation, beds|Formal|Resvd name published|Defined|||Ali Curung Suite|33043|Statherian|1660||isotopic, Rb/Sr|Statherian|1713|||||NT|Yes|42643|42643|L.Bagas|28/AUG/84|Kruse, P.D.|10/APR/90|Briefly described as Ali Curung Complex (91/27249 Table 2 p14). Intrudes the Hatches Creek Group.|||||Y|
Alice Springs Granite|27281|||||Yes|Formation, beds|Formal|Resvd name published|Defined|||||Statherian|1750|20|isotopic, Sm/Nd|Statherian|1752|11||||NT|Yes|9199|48992|Offe L.A.|22/NOV/73|Brown, M.|31/OCT/78|Defn card held [CEB May 2002]|Muscovite-biotite granite|igneous felsic intrusive|||Y|
Alinjabon Sandstone|28277|||||Yes|Formation, beds|Formal|Resvd name published|Defined|Hanlon Subgroup|24304|||Statherian|1790||inferred, lithostratigraphic correlation|Statherian||||||NT|Yes|39624|49033|A.J.Stewart, D.H.Blake|07/OCT/81|Brakel, A.|17/FEB/84|Davenport Project. Defn card held [CEB May 2002].  Within the Hatches Creek Group. In the Tennant Creek Inlier Davnport Province. See also the informal Alinjabon sandstone.|Subarkosic and sublithic arenite, quartz arenite; minor mafic lava, greywacke, chert and ironstone.|feldspar- or lithic-rich arenite to rudite|quartz-rich arenite to rudite||N|
Alkipi Metamorphics|41842|Alkipi|36543|||Yes|Formation, beds|Formal|Resvd name published|Defined|Yaya Metamorphic Complex|41858|||Paleoproterozoic||||Paleoproterozoic|||||||Yes|60674|67565|I.R. Scrimgeour, D.F. Close, C.J. Edgoose|01/OCT/04|Kruse, P.D.|01/OCT/04|Warumpi Province.|Metapelite, metapsammite; lesser strained biotite- and hornblende-bearing granite, felsic migmatite, mafic amphibolite; Quartz-rich metasediments, quartzite, garnet-biotite-sillimanite-pelite, biotite migmatite, mafic amphibolite, strained granite|metasedimentary siliciclastic|||N|
Allamber Springs Granite|27035|||||Yes|Formation, beds|Formal|Other new published name|Fully described|||Allamber Springs Suite|31739|Orosirian|1810||isotopic, U/Pb|Orosirian|1825||||||No|39679||Needham, R.S.|13/JUL/83|||Of Cullen Batholith/Cullen Supersuite. Pine Creek Province. One of a group of concentrically zoned transitional granite and leucogranite dominated plutons. Intrudes Manton Group, Mount Partridge Group and South Alligator Group.|Pink and green, coarse porphyritic hornblende-biotite granite; pink coarse porphyritic biotite granite; equigranular biotite leucogranite. I-type mostly.|igneous felsic intrusive|||Y|I-type
Allamber Springs Granite - phase 1|72375|||||Yes|Member, phase|Informal|Variation of published name|Described|Allamber Springs Granite|27035|||Orosirian|1818|||Orosirian|1822||||||No|||||||Lithology referring to an informal unnamed unit of the Allamber Springs Granite to be used for Northern Territory 1:1 million geological map, National Maps Project.|Pink and green, coarse porphyritic hornblende-biotite granite|igneous felsic intrusive|||Y|
Allamber Springs Granite - phase 2|72376|||||Yes|Member, phase|Informal|Variation of published name|Described|Allamber Springs Granite|27035|||Orosirian|1818|||Orosirian|1822||||||No|||||||Lithology referring to an informal unnamed unit of the Allamber Springs Granite to be used for Northern Territory 1:1 million geological map, National Maps Project.|Pink coarse porphyritic biotite granite|igneous felsic intrusive|||Y|
Allamber Springs Granite - phase 3|72377|||||Yes|Member, phase|Informal|Variation of published name|Described|Allamber Springs Granite|27035|||Orosirian|1818|||Orosirian|1822||||||No|||||||Lithology referring to an informal unnamed unit of the Allamber Springs Granite to be used for Northern Territory 1:1 million geological map, National Maps Project.|Equigranular biotite leucogranite|igneous felsic intrusive|||Y|
Allamber Springs Suite|31739|||||Yes|Group, Suite|Informal|STRATLEX Entry|Not recorded|||Cullen Supersuite|30778|Paleoproterozoic||||Paleoproterozoic|||||||No|||NTGS|19/JAN/07|||Of Cullen Batholith. Pine Creek Province.|||||Y|
Allanah Gneiss|38051|||||Yes|Formation, beds|Formal|Other new published name|Defined|||||Mesoproterozoic||||Mesoproterozoic|||||||No|24302|24301|||||See also Allanah Granitic Gneiss. Age: 1539+/-28Ma.  In the Olia Chain (Mulga Park Domain). Amphibolite facies felsic gneiss of the 1600-1540Ma period.|Biotite-bearing granitic gneiss with secondary muscovite; grey, medium grained; commonly migmatitic with veins of partial melt cutting early gneissic fabric|meta-igneous felsic intrusive|||N|
Allaru Mudstone|291|Allaru Member|290|||Yes|Formation, beds|Formal|Variation of published name|Defined|Wilgunya Subgroup|20031|||Cenomanian|94|||Albian|96|||100|700|QLD|No|33642|63979|||||See also Allaru Formation. Laterally equivalent to Oodnadatta Formation. The name Allaru Mudstone is only used when Toolebuc Formation is present, see 00/30891. Part of Wilgunyah Subgroup, Rolling Downs Gp, although some authors attribute it to the Maree Subgroup of the Neales River Group. See also Alluru Mudstone (a misspelling).|Primarily blue-grey mudstone (partly pyritic) and interbedded calcareous siltstone, cone-in-cone limestone and lesser sandstone (Ref: 63979).|argillaceous detrital sediment|sedimentary carbonate||N|
Allia Creek Granite|303|||||Yes|Formation, beds|Formal|Other new published name|Fully described|||Allia Creek Suite|39136|Orosirian|1806|7|isotopic, U/Pb-Pb/Pb ion probe|Orosirian|1850||||||No|45003||||||In Pine Creek Province.  Age: ~1845Ma. See also older form - Allia Granite. Intrudes Burrell Creek Formation, unconformably overlain by Depot Creek Sandstone|Biotite granite commonly coarsely porphyritic with large phenocrysts of microcline, some xenoliths, associated muscovite-tourmaline-quartz pegmatites.|igneous felsic intrusive|||Y|S-type
Allia Creek Suite|39136|||||Yes|Group, Suite|Formal|Variation of published name|Described|||||Paleoproterozoic|1806|||Paleoproterozoic|1872||||||No|50586||||||See also Allia Suite. Age limits from constituent units (Rb/Sr dates excluded).|Predominantly S-type granites.|igneous felsic intrusive|||Y|S-type
Alooarjara Metamorphics|75901|||||Yes|Formation, beds|Reserved|Reserved|Reserved||||||||||||||||No|||Whelan, J. (NTGS)|31/MAR/11|||For use in the Illogwa Creek and Hale River 1:250 000 sheet areas|||||N|
Aloolya Gneiss|26291|||||Yes|Formation, beds|Formal|Resvd name published|Defined|||||Orosirian||||Orosirian|1818|5||||NT|Yes|48992|48992|A.J.Stewart|05/JUL/74|Wells, A.T.|12/NOV/76|Intruded by Possum Creek Charnockite. Crystal Age: 1818+/-5Ma.|Medium-grained granitic gneiss, with tourmaline and garnet.|high grade metamorphic rock|||Y|
Alsace Quartzite|332|Myally Beds|13628|||Yes|Formation, beds|Formal|Resvd name published|Defined|Myally Subgroup|13635|||Statherian|1650|||Statherian|1779|5|||600|QLD|Yes|30529|30534|Derrick G.|21/APR/75|Staines, H.R.E.|18/MAR/76|Defn card held [CEB Msy 2002].  Within the Haslingden Group.|Quartzite, sandstone, grey-pink, feldspathic to quartzose, medium to coarse-grained, massive to blocky, thick to thin-bedded; contains some clayey rock fragments; thin grey-green siltstone interbeds near the top.||||N|
Alyangula Subgroup|21122|||||Yes|Subgroup|Formal|Resvd name published|Defined|Groote Eylandt Group|33979|||Statherian||||Orosirian|||||1100|NT|Yes|43292|22808|Haines P.W., Rawlings D.J., Pietsch B.A.|01/MAR/95||||Predominantly sandstone and pebbly sandstone with minor pebble and conglomerate, interbedded with basalt and dolerite (Bartalumba Basalt and thin basaltic unit in Dalumbu Sandstone).||||N|
Alyinga Sandstone|21123|||||Yes|Formation, beds|Formal|Resvd name published|Defined|Alyangula Subgroup|21122|||Statherian||||Statherian|||||300|NT|Yes|43292|22808|Haines P.W., Pietsch B.A., Rawlings D.J., Madigan T.L.|07/MAR/94|||Within the Groote Eylandt Group.|Granule to boulder conglomerate, medium to coarse, pebbly and cobbly sandstone|sedimentary siliciclastic|||N|
Amata Dolerite|42483|Amata dyke swarm|42407|||Yes|Formation, beds|Formal|Resvd name published|Briefly described|||||Cryogenian|820||isotopic|Cryogenian|||||||No|60679||Gum, J. (PIRSA)|27/JUN/05|Cowley, W.|27/JUN/05|Evidence suggests this dolerite forms part of a widespread episode of mafic magmatism across several tectonic provinces. Intrudes the Pitjantjatjara Supersuite. See also informal Amata dykes.|Dolerite dykes, gabbro.|igneous mafic intrusive|||Y|
Amata Dolerite, Alcurra Dolerite|72639|||||Yes|Formation, beds|Informal|Variation of published name|Described|||||Neoproterozoic||||Mesoproterozoic|||||||No|||||||Unit to be used for Northern Territory 1:1 million geological map, National Maps Project.|Dolerite and amphibolite dykes, sills and plugs; minor gabbro|igneous mafic intrusive|||Y|
Ambalindum Sandstone Member|21126|||||Yes|Member, phase|Formal|Resvd name published|Described|Hale Formation|25689|||Middle Eocene||||Middle Eocene|||||||No|43748||Senior B.|22/DEC/94|||Of the Tertiary Hale Formation, Hale Hale, Ti-Tree and Waite  Basins. Not related to 1932 Precambrian Ambalindum Series.|Argillaceous, poorly sorted sandstone and pebble conglomerate.||||N|
Ambulbinya Supersuite|75900|||||Yes|Supergroup|Reserved|Reserved|Reserved||||||||||||||||No|||Whelan, J. (NTGS)|31/MAR/11|||For use in the Illogwa Creek and Hale River 1:250 000 sheet areas|||||Y|
Amelia Dolostone|76091|Amelia Dolomite|25760|||Yes|Formation, beds|Formal|Variation of published name|Briefly described|Umbolooga Subgroup|18813|||Statherian||||Statherian|||||150|NT|No|67144||||||Stratigraphic Nomenclature rules allow change from Dolomite to Dolostone without being formally redefined (T. Munson, NT Convenor, 26-AUG-2011).|Stratiform, domical, conical and columnar stromatolitic dololutite and silty dololutite with interbeds of dolarenite and shale and rare fine-grained sandstone; ooid, brecciated and conglomeratic intervals common; local sideritic 'marble'|sedimentary carbonate|||N|
Amesbury Quartzite|24156|Amesbury Quartzite Member|367|||Yes|Formation, beds|Formal|Variation of published name|Redefined|Plenty Group|37959|||Cryogenian||||Cryogenian|||||20|NT|Yes|42504|42643|Haines P.W.  (originally Offe, 1978)|08/MAY/90|Kruse, P.D.|10/APR/90|Previously reserved,  then published as Amesbury Quartzite Member in 79/19617 (1978). Age may not be as precisely known as stated.|Orthoquartzite; minor granule and pebble conglomerate.|sedimentary siliciclastic|||N|
Amos Formation|25761|||||Yes|Formation, beds|Formal|Other new published name|Defined|Batten Subgroup|1257|||Statherian|1614|4||Statherian|1614|4||||NT|No|44287|45162|||||Defn on Tech File E/53-3. Different from Amos Knob Formation, Victoria River region (Birrindudu Basin). Within the McArthur Group. Part of the Lawn Supersequence.|Dolomitic siltstone, dolomite, dolomitic sandstone, sideritic chert.||||N|
Amos Knob Formation|29231|||||Yes|Formation, beds|Formal|Other new published name|Defined|Limbunya Group|10414|||Statherian||||Statherian|||||41|NT|No|28255|48943|||||SE52-8. Victoria River region. Different unit from Amos Formation, McArthur Basin. Basis for showing Statherian age seems to be dating of a tuffite in Kunja Siltstone (higher in Limbunya Group) [CEB Oct 2011].|Stromatolitic dolostone, dolarenite, mudstone, dolomitic mudstone; interbedded.|sedimentary carbonate|argillaceous detrital sediment||N|
Ampiara member|68767|||||Yes|Member, phase|Informal|Other new published name|Briefly described|Mount Currie Conglomerate|12609|||Cambrian||||Cambrian|||||||No|60683||||||Informal format for the name.|Conglomerate with rounded pebble to boulder-sized clasts of silicified Winnall beds sandstone, with minor tuff fragments in the upper section; epidotised sandstone matrix.||||N|
Amputjuta Dacite|35317|Umputjutu Dacite|33814|||Yes|Formation, beds|Formal|Variation of reserved name|Defined|||Pottoyu Granite Suite|33649|Mesoproterozoic||||Mesoproterozoic||||||NT|Yes|50321||Edgoose C., Close D.|23/NOV/99|Kruse, P.D.|21/JAN/02|Bloods Range 1:250 000 map sheet area. Age: 1153+/-3Ma (Pb-Pb). Type Section: 24 56' 53.04'' S, 129 05' 10.25''E (WGS84). Underlies Dean Quartzite in the Mannanana Range. Within the Pitjantjatjara Supersuite.|Finely porphyritic hypabyssal dacite|igneous felsic volcanic|||N|
Amulda Member|393|Amulda member|394|||Yes|Member, phase|Formal|Other new published name|Defined|Parke Siltstone|14883|||Devonian||||Devonian||||||NT|No|31566|31566|||||Within the Pertnjara Group.|||||N|
Anamarra Orthogneiss|409|||||Yes|Formation, beds|Formal|Variation of published name|Defined|||||Paleoproterozoic||||Paleoproterozoic||||||NT|Yes|39887||Langworthy A.P.||Branch, C., Brown, M.|31/MAR/79|The definition card for this unit claims to be for the informal Anamarra orthogneiss, but applies equally to the formal, capitalized version of the name. See RC79/047. See also full description of Anamarra orthogneiss published in R216. Se also the Anamarra Granite, which seems to be the more recently preferred version of the name.|Porphyroblastic orthogneiss, granitic gneiss|meta-igneous felsic intrusive|||N|
Anburla Anorthosite|410|Mount Hay Anorthosite|12785|||Yes|Formation, beds|Formal|Resvd name published|Defined|||||Paleoproterozoic||||Paleoproterozoic||||||NT|Yes|49831|43503|||||Reserved as Anburla Leuconorite (Shaw 1991). For Hermannsburg 1:250 000 sheet area. Arunta Block. Defn card not found [May 2002 CEB]|Plagioclase-rich mafic granulite (meta-anorthosite), gabbronorite|igneous mafic intrusive|||Y|
Andagera Formation|24158|Andagera formation|413|||Yes|Formation, beds|Formal|Resvd name published|Defined|Mopunga Group|12305|||Ediacaran||||Ediacaran|||||50|NT|Yes|40580|41524|L.Bagas|23/MAR/84|Brakel, A.|26/NOV/86|Age is Ediacaran (Late Adelaidean). Age restricted from 'Neoprot to Early Cambrian' because whole of Mopunga Group is shown as Ediacaran.|Conglomerate: massive, oligomictic, arenaceous matrix; pebbly sandstone|sedimentary siliciclastic|||N|
Andrew Young Igneous Complex|21137|||||Yes|Group, Suite|Formal|Resvd name published|Described|||Andrew Young Suite|41809|Statherian|1635|9||Statherian|1640||||||No|43749||Young D.N.|19/JAN/93|||Mount Doreen area. Part of the complex is 1640Ma in age.|Orthopyroxene and olivine norite, gabbronorite, diorite, porphyritic biotite granite, anorthosite and calc-silicate rock|igneous mafic intrusive|igneous felsic intrusive||Y|
Angalarri Siltstone|437|||||Yes|Formation, beds|Formal|Unknown or process pending|Defined|Auvergne Group|787|||Cryogenian||||Cryogenian|838|80|isotopic, Rb/Sr||753|NT|No|45022|48938|||||Age: 838 +/- 80Ma (controversial?). Formerly shown as Calymmian but reason not clear. Group is Neoproterozoic. Age is Adelaidean. See also the misspelt Angalarri Sandstone.|Siltstone, shale; minor dolostone, sandstone, limestone|sedimentary siliciclastic|sedimentary carbonate||N|
Angatja Granite|33655|Angatja|30601|||Yes|Formation, beds|Formal|Resvd name published|Defined|||Angatja Suite|42420|Mesoproterozoic|1071|5||Mesoproterozoic|1071|5||||NT|Yes|60572|60683|Scrimgeour I., Close D.,Edgoose C.|13/NOV/96|Beier, P.|27/JUL/99|PETERMANN RANGES 1:250 000 sheet area. Age: 1071+/-5Ma. Intrudes the Alcurra Dolerite in the eastern Mann Ranges.|Porphyritic orthopyroxene-clinopyroxene granite (locally with rapakivi textures) and coarsely porphyritic hornblende-biotite granite; both variably mylonitised and recrystallised.||||Y|
Angatja Suite|42420|||||Yes|Group, Suite|Formal|Variation of published name|Briefly described|||||Mesoproterozoic|1071|5|isotopic, Pb/Pb|Mesoproterozoic|||||||No|24496||||||See also Angatja Granite Suite.  Age: 1071+/-5Ma (Pb-Pb).|Foliated, porphyritic orthopyroxene-clinopyroxene granite, charnockite, hornblende-biotite granite; variably mylonitised and recrystallised to garnet-clinopyroxene-biotite-bearing assemblages|meta-igneous felsic intrusive|||Y|
Angula Metamorphics|75790|||||Yes|Formation, beds|Reserved|Reserved|Reserved||||||||||||||||No|||Beyer, E. (NTGS)|03/NOV/10|||To be published = Alcoota 2nd edition 1:250,000 geological map and explanatory notes|Interlayered granulite facies metapsammite and metapelite|metasedimentary siliciclastic|||N|
Angulmeri Quartzite Member|23336|Angulmeri Member|457|||Yes|Member, phase|Formal|Variation of published name|Mentioned|||||Paleoproterozoic||||Paleoproterozoic|||||||No|39679||G.M.Fahey, J.E.Fahey|18/APR/83||||||||N|
Anira Metamorphics|69778|||||Yes|Formation, beds|Formal|Other new published name|Defined|||||Paleoproterozoic||||Paleoproterozoic|||||||No|61388|65341|Haines, P.W., Scrimgeour, I.R.|31/JUL/07||||Granulite facies metasediments; cordierite-rich migmatite, meta-psammite|high grade metamorphic rock|||N|
Ankala Gneiss|39322|Ankala gneiss|24160|||Yes|Formation, beds|Formal|Variation of published name|Briefly described|||||Paleoproterozoic||||Paleoproterozoic|||||||Yes|9199||R.D.Shaw|21/FEB/75|Branch, C., Brown, M.|01/NOV/79|Definition card says its for Ankala gneiss but applies equally to the more formal capitalised Ankala Gneiss.|Quartzofeldspathic gneiss, calc-silicate rock, biotite gneiss, quartz-rich biotite gneiss, amphibolite; rare marble, cummingtonite rock, meta-ultramafic rock, hematite quartzite, sillimanite gneiss|high grade metamorphic rock|||N|
Anmatjira Orthogneiss|466|Anmatjira orthogneiss|467|||Yes|Formation, beds|Formal|Resvd name published|Defined|||Harverson Suite|30858|Statherian|1795|4||Orosirian|1798|3||||NT|Yes|48992|48992|Stewart A.J.||Strusz, D.L.|03/AUG/73|If Defn approved before publication, name must have been reserved. Intrudes Tyson Creek granulite, Weldon metamorphics, Possum Creek Charnockite (probably), Lander Rock beds (q.v.), and Mount Stafford beds (q.v.). Note: name still in use in 2008. See also Anmatjira Granite.|Coarse porphyritic granitic augen gneiss, comprising ovoids of microcline up to 10 cm across and smaller subhedral rapakivi feldspars (microcline mantled by plagioclase) in granitic groundmass.|meta-igneous felsic intrusive|||Y|
Anmatyerre Clay|35247|||||Yes|Formation, beds|Formal|Other new published name|Briefly described|||||Middle Pleistocene||||Early Pleistocene|||||||No|61828||English P.|22/JAN/00|||Lake Lewis region. Palaeolacustrine unit roughly analogous to Uluru Clay & Winmatti beds at Lake Amadeus, Etadunna Formation at Lake Eyre, Blanchetown Clay & Lake Tyrrell beds in the Murray Basin etc.|Distinctive lacustrine facies - red/brown homogeneous clay.||||N|
Annaburroo Volcanic Member|21141|||||Yes|Member, phase|Formal|Resvd name published|Mentioned|Wildman Siltstone|24105|||Proterozoic||||Proterozoic|||||||No|50586||P.G.Stuart-Smith, Bastrakova I.|17/JAN/80|||Originally reserved in 1980. Reservation lapsed when name only used informally in BMR Record 1980/15, p2. Re-reserved for original use.|||||N|
Annie Creek Limestone|470|||||Yes|Formation, beds|Formal|Other new published name|Defined|||||Miocene||||Miocene|||||5||No|44400|44400|||||Defined 1965. Defn on Tech File D/53-6.  Age: >11.5Ma.  Geological region: East Arnhem Land. Name should have precedence over Annie Creek nomenclature of Qld.|||||N|
