Stratno | Stratigraphic Name | Reference Id | Usage No |   Usage  | Page Number | Minimum Age Name | Maximum Age Name | Reference Comments | Numerical Age | Parent Units | Constituents | Related Units | Lithology 
24148|Adnera Member|64068|3|Fully described|p53, p19, 52, p159.|Ediacaran|Ediacaran|Contact with Tops Member is locally sharp and erosional. Numerous, generally isolated Th radiometric anomalies.||Of Central Mount Stuart Formation, Mopunga Group.||Conformably and gradationally overlies Tops Member. Overlain with probable disconformity by Octy Formation.|Red-brown, purple and white, medium feldspathic quartz arenite and orthoquartzite; locally abundant cross-bedding; local topmost unit of sandstone and siltstone.
24148|Adnera Member|65338|5|Briefly described|pp65-66.|Ediacaran|Ediacaran|72 to 310 m thick. Rare trace fossils.||Unit in Central Mount Stuart Formation.||Overlies Tops Member.|Feldspathic quartz arenite and orthoquartzite, granular sandstone; both cross-bedded; red-brown or white; local uppermost interval of interbedded red-brown sandstone and siltstone.
24148|Adnera Member|65341|4|Described|p5, p17.|||Deposited under shallow-marine and deltaic conditions. Outcrops more strongly than Tops Member. Contains late Neoproterozoic ichnofossils.||Unit in Central Mount Stuart Formation.||Conformably overlies and grades into Tops Member.|Red-brown, purple and white crossbedded medium sandstone and quartzite, interbedded with mudstone.
30857|Alarinjela Suite|24197|5|Briefly described|p26, p58|Paleoproterozoic|Paleoproterozoic|Example of the Cullen Association. Fractionated, coloured red to pink, oxidised. Age: 1713Ma. Geological Province: Arunta Inlier.|||||
30857|Alarinjela Suite|50369|5|Briefly described|p1.2, 1.4, 16.1, Table 1.1|Paleoproterozoic|Paleoproterozoic|See also Alarinjela suite. Age: 1713Ma. Geological Province: Arunta Inlier.|||||
26252|Albarta Metamorphics|39887|6|Mentioned|Fig.5||||||||
26252|Albarta Metamorphics|39898|5|Briefly described|Map legend|Proterozoic|Proterozoic|Quartzofeldspathic gneiss, biotite and muscovite-biotite schist, massive and compositionally layered amphibolite. Geological Province: Arunta Block.|||||
26252|Albarta Metamorphics|40906|6|Mentioned|p8||||||||
26252|Albarta Metamorphics|49036|2|Defined|p2|Mesoproterozoic|Mesoproterozoic|Mid Proterozoic or older. Previously Arunta complex.|||||
26252|Albarta Metamorphics|50369|6|Mentioned|p11.2|||Intruded by: Atneequa Granitic Complex.|||||
26252|Albarta Metamorphics|60549|5|Briefly described|Map legend|Paleoproterozoic|Paleoproterozoic||||||
26252|Albarta Metamorphics|64956|5|Briefly described|p3 Tb. 1, p31|Paleoproterozoic|Paleoproterozoic|Max. intrusion age: 1771+/-3Ma; metamorphic age: 567+/-9Ma. Geol.prov: Arunta region. Contains an intrusive fine- to med.gr., weakly porphyritic biotite granite, with unknown relationships with metasediments; plus an intrusive leucogranite also.|||||
26252|Albarta Metamorphics|65232|6|Mentioned|App. 2||||||||
26252|Albarta Metamorphics|65556|3|Fully described|p2 Tb.1, p14-22, p45, p46 Fig.74, p54-57||Orosirian|Aileron Province, Arunta Region. High grade metamorphics. Samples in this report are taken from migmatitic quartzo-feldspathic biotite-garnet metapsammite locally interbedded with minor garnet-cordierite metapelite; migmatitic garnet+/-cordierite metapelite, locally interbedded with quartzo-feldspathic biotite-garnet metapsammite; and gneissic granodiorite. In the eastern Arunta, the unit is bounded to the north by the Illogwa Creek Shear Zone. Exposure is fair to good. Maximum deposition age given by SHRIMP U-Pb (detrital) zircon as 1813+/-5 Ma. Magmatic crystallisation of the granodiorite is 1776 +/- 2.9 Ma. Metamorphic age of 1729+/-3 Ma by SHRIMP U-Pb monazite dating.|||||
26252|Albarta Metamorphics|68517|5|Briefly described|Map Legend|Proterozoic|Proterozoic|Arunta Block. Early Proterozoic? age.|||||Quartzofeldspathic gneiss, biotite and muscovite-biotite schist, massive and compositionally-layered amphibolite; minor calc-silicate rock, hornblende gneiss, magnetite-quartzite, granitic gneiss, porphyroblastic-feldspar gneiss and biotite gneiss.
27692|Albinia Formation|23356|5|Briefly described|26 Tab.2|Neoproterozoic|Neoproterozoic|Age: ~750Ma|||||
27692|Albinia Formation|24111|5|Briefly described|p216|Neoproterozoic|Neoproterozoic|Geological Province: Ngalia Basin.  See also p215 Fig. 11.|||||
27692|Albinia Formation|37462|4|Described|Table 4.IX||||||||
27692|Albinia Formation|37537|5|Briefly described|Map legend|Adelaidean|Adelaidean|White, thin bedded, dolomitic in part, siltstone and shale; pale grey, foetid, stromatolitic dolomite with black chert beds. Geological Province: Ngalia Basin.|||||
27692|Albinia Formation|37928|6|Mentioned|Fig.4||||||||
27692|Albinia Formation|40906|6|Mentioned|Fig.9||||||||
27692|Albinia Formation|41717|6|Mentioned|Fig.19||||||||
27692|Albinia Formation|42059|5|Briefly described|Fig.2|||See also p133|||||
27692|Albinia Formation|42504|5|Briefly described|Table 4 P73||||||||
27692|Albinia Formation|42643|6|Mentioned|Fig.4 P19||||||||
27692|Albinia Formation|43275|5|Briefly described|Map Legend||Neoproterozoic||||||
27692|Albinia Formation|43595|5|Briefly described|p548,Fig.5-33,549||Adelaidean||||||
27692|Albinia Formation|43631|3|Fully described|p23,24||Neoproterozoic||||||
27692|Albinia Formation|43749|6|Mentioned|Fig.1,p6||Neoproterozoic||||||
27692|Albinia Formation|44158|4|Described|p26 Table.2|Neoproterozoic|Neoproterozoic|of Ngalia Basin.|||||
27692|Albinia Formation|45155|2|Defined|p21|Adelaidean|Adelaidean||||||
27692|Albinia Formation|46903|6|Mentioned|Fig.5|||Correlation chart|||||
27692|Albinia Formation|61385|5|Briefly described|Map legend|Neoproterozoic|Neoproterozoic|Mudstone, dolomitic mudstone, shale; minor stromatolitic dolostone, black chert. Geological Province: Ngalia Basin.|||||
27692|Albinia Formation|61732|6|Mentioned|p26, p131|||Contains microfossils. Geological Province: Ngalia Basin.|||||
27692|Albinia Formation|64068|6|Mentioned|p44|||Ngalia Basin. Correlated with upper stromatolitic carbonate of the Yackah beds.|||||
27692|Albinia Formation|65232|5|Briefly described|p70|||Disconformably overlies 'Mount Vaughan Quartzite' [misspelling of Vaughan Springs Quartzite]; and both units underlie Naburula Formation and Rinkabeena Shale. Mudstone, dolomitic mudstone, shale. Geol. Prov: Ngalia Basin.|||||
27692|Albinia Formation|65329|6|Mentioned|Map legend|Neoproterozoic|Neoproterozoic|Of Ngalia Basin. Shown as younger than Vaughan Springs Quartzite, older than Nabarula Formation. Listed as part of a combined Albinia to Mount Doreen unit of mixed lithology.|||||
27692|Albinia Formation|65330|6|Mentioned|Map legend|Neoproterozoic|Neoproterozoic|Of Ngalia Basin. Shown as younger than Vaughan Springs Quartzite, older than Nabarula Formation. Listed as part of a combined Albinia to Mount Doreen unit of mixed lithology.|||||
27692|Albinia Formation|65338|6|Mentioned|p59.|||||||Probably disconformably overlies Vaughan Springs Quartzite.|
39599|Alcurra Dolerite|60679|5|Briefly described|Map Legend|Mesoproterozoic|Mesoproterozoic|Dolerite dykes. Geological Province: Musgrave Block.|||||
39599|Alcurra Dolerite|61154|2|Defined|p42 App., p13, p15-16, p44|Mesoproterozoic|Mesoproterozoic|Dolerite with ophitic to subophitic texture contains plagioclase. Unconformable over Dean Quartzite. Intrudes Pitjantjatjara Supersuite (Kugera Gr. and Ayers Range Gr). Intruded by Angatja Granite. Age: 1080Ma. Geol.Prov: Musgrave Block.|||||
39599|Alcurra Dolerite|61524|5|Briefly described|p16|||Mafic dykes associated with the Giles Complex. Geological Province: Musgrave Province.|||||
39599|Alcurra Dolerite|64722|6|Mentioned|p17|Stenian|Stenian|Of a similar age to granites dated at 1080-1070 Ma.|||||Mafic tholeiitic dykes.
39599|Alcurra Dolerite|64745|5|Briefly described|p376|Stenian|Stenian|Dykes. Age: ca. 1.08 Ga (Sm-Nd isochron Plag-Opx-Cpx. Zhao and McCulloch, 1993). May represent feeder system to Giles Intrusions. Geol. Prov: Musgrave Province.|||||
39599|Alcurra Dolerite|65135|6|Mentioned|p17|Stenian|Stenian|~1070 Ma. Shows geochemical similarities to Giles Event intrusives and the Warakurna Large Igneous Province.|||||
39599|Alcurra Dolerite|65369|5|Briefly described|p35|||Central Australian intraplate (flood-type) basalt.|||||
39599|Alcurra Dolerite|65693|4|Described|p4, p8 Fig.5, pp11-12 Figs. 8-10.|||See also Alcurra Suite, Alcurra suite. Geochemistry is different from Tollu Group: detailed in text. Ages are Ar/Ar from Schmidt et al. (2006).|1085 +/- 2 to 1068 +/- 2 Ma|Unit in Alcurra Suite.|||Relatively evolved, Fe-rich, incompatible trace element-rich suite of tholeiitic intrusions.
39599|Alcurra Dolerite|65833|5|Briefly described|p17|Stenian|Stenian|Formed during ~1075 Ma Giles Event. Intrudes Pitjantjatjara Supersuite.|||||
39599|Alcurra Dolerite|65906|6|Mentioned|p7|Mesoproterozoic|Mesoproterozoic|~1070 Ma.|||||
39599|Alcurra Dolerite|67244|5|Briefly described|Map legend.|Mesoproterozoic|Mesoproterozoic||c.1067 Ma.|Unit in Warakurna Supersuite.|||Dykes, sills or plugs mainly of dolerite; also of olivine gabbro, accessory biotite, massive to weakly flow-banded; and fine- to medium-grained plagioclase-phyric gabbro, ophitic texture, plagioclase phenocrysts and glomerophenocrysts to 2 cm.
39599|Alcurra Dolerite|67372|5|Briefly described|Map legend.|Mesoproterozoic|Mesoproterozoic||c.1068 Ma.|Unit in Warakurna Supersuite.|||Dykes, sills or plugs mainly of dolerite and metadolerite but also of olivine gabbro, olivine norite, ferronorite, and ferrodiorite.
39599|Alcurra Dolerite|67375|4|Described|p13, p19 Fig.11, pp36-37, p41, pp332-339|Mesoproterozoic|Mesoproterozoic|A suite of rocks including the Alcurra Dolerite dyke swarm, small intrusions emplaced peripheral to the Warakurna Supersuite, and the compositionally equivalent olivine-rich gabbros, olivine norites, ferronorites and ferrodiorites which host the Nebo-Babel nickel-copper-PGE sulfide mineralization.|1068 +/- 7 - 1067 +/- 8 Ma (Kirkland et al. 2009).|Unit in Warakurna Supersuite.||Intrudes the Smoke Hill Volcanics and Giles Suite.|Dykes, sills and plugs mainly of dolerite but also of olivine gabbros, olivine norites, ferronorites and ferrodiorites.
39599|Alcurra Dolerite|69009|5|Briefly described|Map Legend|Stenian|Stenian||c. 1068 Ma|Of the Warakurna Supersuite.|||Comprises dykes, sills, or plugs, with olivine gabbro, olivine norite, ferronorite, and ferrodiorite.
76120|Algamba Dolostone Member|65338|6|Mentioned|p20.|||||Unit in Pine Hill Formation.|||
24152|Ali Curung Granite|23733|6|Mentioned|p29|||See also p34 Fig.20.|||||
24152|Ali Curung Granite|24197|5|Briefly described|p61 Tb. 4.1|Paleoproterozoic|Paleoproterozoic|Of the Ali Curung Suite. Age: 1713Ma. Geological Province: Arunta Inlier.|||||
24152|Ali Curung Granite|42643|2|Defined|p49|Mesoproterozoic||Age approx. 1660Ma?  Variation on Ali Curung Complex.|||||
24152|Ali Curung Granite|42644|5|Briefly described|Map legend|Mesoproterozoic|Paleoproterozoic||||||
24152|Ali Curung Granite|50369|5|Briefly described|p1.5, 18.1, Table 1.1|Paleoproterozoic|Paleoproterozoic|Geological Province: Arunta Inlier. Of the Ali Curung Suite.|||||
27281|Alice Springs Granite|9199|5|Briefly described|Map legend|||Muscovite-biotite granite.  Geological Province: Arunta Block.|||||
27281|Alice Springs Granite|23363|5|Briefly described|351 Tab.2|Statherian|Statherian|1752+/-11Ma|||||
27281|Alice Springs Granite|23733|5|Briefly described|p34 Fig.20|||Age: 1752Ma.  Remelting.|||||
27281|Alice Springs Granite|24197|5|Briefly described|p20, p60 Tb.4.1|Paleoproterozoic|Paleoproterozoic|Example of the Maramungee Association. Comprises typical trondhjemite of the association. Emplaced at ~1750Ma. Geological province: Arunta Inlier.|||||
27281|Alice Springs Granite|38606|6|Mentioned|Map legend|Proterozoic|Proterozoic||||||
27281|Alice Springs Granite|38885|6|Mentioned|Map legend|Neoproterozoic|Neoproterozoic||||||
27281|Alice Springs Granite|39583|6|Mentioned|Map legend|Mesoproterozoic|Mesoproterozoic||||||
27281|Alice Springs Granite|39888|6|Mentioned|Fig.8||||||||
27281|Alice Springs Granite|41664|6|Mentioned|Map legend|Mesoproterozoic|||||||
27281|Alice Springs Granite|41665|4|Described|p10||||||||
27281|Alice Springs Granite|41816|6|Mentioned|p7||||||||
27281|Alice Springs Granite|42326|5|Briefly described|Table 2 P11||||||||
27281|Alice Springs Granite|42504|6|Mentioned|p65||||||||
27281|Alice Springs Granite|48992|2|Defined|p3|||Prob.Late Proterozoic|||||
27281|Alice Springs Granite|50246|5|Briefly described|p8|Paleoproterozoic|Paleoproterozoic|Age: 1752+/-11Ma. Intrudes Sadadeen Gneiss.|||||
27281|Alice Springs Granite|50369|5|Briefly described|p1.4, 13.1, 26.4, Table 1.1|Paleoproterozoic|Paleoproterozoic|Geological Province: Arunta Inlier. Of the Alice Springs Suite. Age: 1750-1860 +/- 20Ma (Sm-Nd, SHRIMP).|||||
27281|Alice Springs Granite|60547|5|Briefly described|Map Legend|Proterozoic|Proterozoic|Muscovite-biotite granite.|||||
27281|Alice Springs Granite|62595|5|Briefly described|p8. |Statherian|Statherian|Intruded during the Inkamulla Igneous Event.|1752 +/- 11 Ma (Zhao and Bennett 1995).|||Intrudes or grades into Sadadeen Gneiss.|
27281|Alice Springs Granite|67181|5|Briefly described|p631|Statherian|Statherian|Age from Zhao and McCulloch (1995) and Zhao and Bennet (1995). Of the Calcalkaline-trondhjemitic Group (geochemical grouping) Arunta Region, North Australian Craton.|1751 +/- 12 Ma||||
28277|Alinjabon Sandstone|23733|5|Briefly described|p32 Fig. 19|||Of the Hanlon Subgroup (Hatches Creek Group).|||||
28277|Alinjabon Sandstone|23809|5|Briefly described|p27 Fig. 25|||Of the Hanlon Subgroup. Geological Province: Davenport Province.|||||
28277|Alinjabon Sandstone|24172|5|Briefly described|p65 Tb.9|||Of the Hanlon Subgroup. Geological Province: Tennant Creek Inlier. Of the Hatches Creek Group.|||||
28277|Alinjabon Sandstone|39624|5|Briefly described|Table 1||||||||
28277|Alinjabon Sandstone|39900|6|Mentioned|Map legend|Proterozoic|Proterozoic||||||
28277|Alinjabon Sandstone|40578|6|Mentioned|Map legend|Proterozoic|Proterozoic|Of the Hanlon Subgroup (Hatches Creek Group).  Quartz arenite and feldspathic arenite; siltstone, shale, friable arenite, rare altered basalt.|||||
28277|Alinjabon Sandstone|40580|6|Mentioned|Map legend|Mesoproterozoic|Mesoproterozoic||||||
28277|Alinjabon Sandstone|40836|6|Mentioned|Map legend|Proterozoic|Proterozoic||||||
28277|Alinjabon Sandstone|41128|5|Briefly described|Map legend|Paleoproterozoic|Paleoproterozoic|Of the Hanlon Subgroup. Quartz arenite and subordinate feldspathic arenite; rare pebbly arenite. Geological Province: Tennant Creek Block.|||||
28277|Alinjabon Sandstone|41129|4|Described|Table 1|||Mention p24|||||
28277|Alinjabon Sandstone|41204|4|Described|Table 1||||||||
28277|Alinjabon Sandstone|41205|5|Briefly described|Map legend|Proterozoic|Proterozoic|Of the Hanlon Subgroup. Lithic/feldspathic arenite, quartz arenite, shale, siltstone; minor mafic lava.|||||
28277|Alinjabon Sandstone|41308|5|Briefly described|Table 2||||||||
28277|Alinjabon Sandstone|41310|4|Described|Table 1|||See also p12|||||
28277|Alinjabon Sandstone|41408|6|Mentioned|Map legend|Proterozoic|||||||
28277|Alinjabon Sandstone|41524|4|Described|Table 1||||||||
28277|Alinjabon Sandstone|41525|5|Briefly described|Map legend|Paleoproterozoic|Paleoproterozoic|Of the Hanlon Subgroup (Hatches Creek Group). Quartz arenite, some feldspathic; minor basalt.|||||
28277|Alinjabon Sandstone|41970|6|Mentioned|Fig.3 P333||||||||
28277|Alinjabon Sandstone|42643|4|Described|p12, Table 1 p6||||||||
28277|Alinjabon Sandstone|42644|5|Briefly described|Map Legend|Mesoproterozoic|Paleoproterozoic|Of the Hanlon Subgroup. Quartz arenite, interbedded with feldspathic/kaolinitic/micaceous arenite, siltstone and shale; minor basaltic lava.|||||
28277|Alinjabon Sandstone|43802|6|Mentioned|p80||||||||
28277|Alinjabon Sandstone|45167|3|Fully described|Table 1|||of Hanlon Subgroup|||||
28277|Alinjabon Sandstone|49033|2|Defined|p26|Proterozoic|Proterozoic||||||
28277|Alinjabon Sandstone|61406|5|Briefly described|Map legend|Paleoproterozoic|Paleoproterozoic|Of the Hanlon Subgroup (Hatches Creek Group). Subarkosic and sublithic arenite, quartz arenite; minor mafic lava, greywacke, chert and ironstone.. Overlies Errolola Sandstone; underlies Lennee Creek Formation. In the Tennant Creek region.|||||
28277|Alinjabon Sandstone|61567|5|Briefly described|p632|Paleoproterozoic|Paleoproterozoic|Of the Hanlon Subgroup. Geological Province: Tennant Creek Inlier.  See also p633 Tb. 1.|||||
28277|Alinjabon Sandstone|64735|5|Briefly described|p206 Fig 2, p210|||?includes basaltic lavas.||Of Hanlon Subgroup, Hatches Creek Group.|||
28277|Alinjabon Sandstone|65209|6|Mentioned|p35 Fig.1, p37|Paleoproterozoic|Paleoproterozoic|||Hanlon Subgroup|||
28277|Alinjabon Sandstone|65338|6|Mentioned|p20.|||||Unit in Hanlon Subgroup.|||
28277|Alinjabon Sandstone|67148|5|Briefly described|Map legend.|Statherian|Statherian|||Unit in Hanlon Subgroup, Hatches Creek Group.||Overlies Errolola Sandstone. Is overlain by Lennee Creek Formation.|Quartz arenite and feldspathic arenite; friable arenite; siltstone; shale and mafic lava.
28277|Alinjabon Sandstone|67175|5|Briefly described|Map legend.|Paleoproterozoic|Paleoproterozoic|Tennant Region.||Unit in Wauchope Subgroup, Lower.||Overlies Errolola Sandstone. Is overlain by Lennee Creek Formation.|Subarkosic and sublithic arenite, quartz arenite; minor mafic lava, greywacke, chert and ironstone.
28277|Alinjabon Sandstone|67352|4|Described|p9, p44 fig 48|Statherian|Statherian|Interbedded ridge-forming and recessive units.||Hanlon Subgroup||Overlies conformably Errolola Sandstone. Is overlain conformably by Lennee Creek Formation.|Quartz arenite; silicified lithic, feldspathic arenite: thinly to medium bedded, fine-to-medium-grained; siltstone, sandstone and shale interbeds; amygdaloidal mafic lava near base.
28277|Alinjabon Sandstone|68518|3|Fully described|p6 Tb.1, p13|||Thickness: approx. 500 m. Shallow-marine and possibly deltaic environments indicated. The minor altered basaltic lavas are the youngest volcanics in Hatches Creek Group.||Hanlon Subgroup||Conformable on Errolola Sandstone; is overlain conformably by Lennee Creek Formation and unconformably by Cambrian strata.|Interbedded ridge-forming quartzose to feldspathic arenite and recessive friable arenite, thinly bedded siltstone, mudstone and shale; minor recessive altered basaltic lava and possibly calcareous beds.
41842|Alkipi Metamorphics|60674|5|Briefly described|Map legend|Paleoproterozoic|Paleoproterozoic|Of the Yaya Metamorphic Complex.   Age: 1660Ma.  Geological Province: Warumpi Province.|||||
41842|Alkipi Metamorphics|61518|5|Briefly described|Map Legend|Paleoproterozoic|Paleoproterozoic|Of the Yaya Metamorphic Complex. Metapelite, metapsammite, granite, migmatite, amphibolite, metasediment, quartzite. Geological Province: Yaya Domain.|||||
41842|Alkipi Metamorphics|61660|5|Briefly described|p3 Fig.2, p4, pp9-13  .|Proterozoic|Proterozoic|Metamorphosed ca. 1640 Ma. SHRIMP U-Pb zircon analyses are described in detail.||Unit in Yaya Metamorphic Complex.|||A homogeneous pelite-psammite association.
41842|Alkipi Metamorphics|67565|2|Defined|pp15-17, pp30-31, p34, pp49-50, p60.|Statherian|Statherian|New name, after Alkipi (Mount Larrie) Outstation. Yaya Domain, Warumpi Province. Previously included within undifferentiated Arunta Complex (Ranford, 1969). Type locality 1 km north of Mount Larrie copper Prospect. Moderately to highly magnetic; moderate U and K, high Th radiometric signature. Another sample gave Kinny (2002) a max. deposition age of 1652 +/- 22 Ma. Metamorphosed at 1639 +/- 20 Ma (Kinny, 2000) during the Liebig Orogeny. Metamorphic effects are detailed. Hosts the Mount Larrie Cu prospect which apparently lacks significant mineralisation.|Max. deposition age 1668 +/- 40 Ma (Kinny 2002).|Unit in Yaya Metamorphic Complex.||Is intruded by Papunya Igneous Complex, Ulambaura Granodiorite and Belt Granite. Faulted against the Russell Charnockite and Glen Helen Metamorphics. Is overlain unconformably by Heavitree Quartzite.|Garnet-biotite-sillimanite metapelite, interlayered with psammite; minor strained granite, amphibolite and felsic migmatite; quartz-rich psammite and quartzite interlayered with lesser pelite.
27035|Allamber Springs Granite|23714|4|Described|p18|Paleoproterozoic|Paleoproterozoic|Geological Province: Cullen Batholith.|||||
27035|Allamber Springs Granite|23715|5|Briefly described|Map legend||Proterozoic|Predominantly I-type. In the Cullen Batholith, of the Rum Jungle and Central Regions.|||||
27035|Allamber Springs Granite|24047|5|Briefly described|p28, p30 Fig. 23|||Geological Province: Pine Creek Orogen.|||||
27035|Allamber Springs Granite|24197|5|Briefly described|p24, p105 Tb. 15.1|Paleoproterozoic|Paleoproterozoic|Of Cullen Supersuite. One of a group of concentrically zoned transitional granite and leucogranite dominated plutons. Age: ~1825Ma. Geological province: Pine Creek Inlier.|||||
27035|Allamber Springs Granite|39679|6|Mentioned|Map legend|Paleoproterozoic|Paleoproterozoic||||||
27035|Allamber Springs Granite|40168|6|Mentioned|Map legend|Paleoproterozoic|Paleoproterozoic|Of the Cullen Batholith. Leucogranite and granite.|||||
27035|Allamber Springs Granite|40823|6|Mentioned|Map legend|Paleoproterozoic|Paleoproterozoic||||||
27035|Allamber Springs Granite|40957|6|Mentioned|Map legend|Paleoproterozoic|Paleoproterozoic||||||
27035|Allamber Springs Granite|41311|4|Described|p18||||||||
27035|Allamber Springs Granite|42756|6|Mentioned|Fig.5 P6||||||||
27035|Allamber Springs Granite|43140|3|Fully described|p6||Paleoproterozoic|Of the Cullen Batholith. U-Pb age: 1810 Ma.|||||
27035|Allamber Springs Granite|43624|6|Mentioned|p13|||Geological Province: Cullen Batholith.|||||
27035|Allamber Springs Granite|43832|3|Fully described|34,39,46-50,63,114-5||Paleoproterozoic|Age 1822+-6 Ma (p39); 1818+-5 Ma (and less accurate ages) (p53).|||||
27035|Allamber Springs Granite|50586|5|Briefly described|p1.1, 4.1, Table 1.1|Paleoproterozoic|Paleoproterozoic|Geological Province: Pine Creek Inlier. Of the Cullen Supersuite. Age: 1826-1818 +/- 32Ma (U-Pb, Shrimp).|||||
27035|Allamber Springs Granite|60680|5|Briefly described|Map legend|Orosirian|Orosirian|Of the Cullen Supersuite.  Pink and green, coarse porphyritic hornblende-biotite granite; pink coarse porphyritic biotite granite; equigranular biotite leucogranite.  Age: 1825-1820Ma.|||||
27035|Allamber Springs Granite|62375|5|Briefly described|p22|Paleoproterozoic|Paleoproterozoic|Hornblende biotite granite/biotite leucogranite. Age: 1825Ma. Of the Cullen Batholith. Geological Province: Pine Creek Orogen.|||||
27035|Allamber Springs Granite|64698|4|Described|lithinterp table|Orosirian|Orosirian|Of Cullen Supersuite. Age 1818-1822Ma U/Pb SHRIMP. I-type. Pink and green, coarse porphyritic hornblende-biotite granite; equigranular biotite leucogranite. Intrudes Manton Group, Mount Partridge Group and South Alligator Group.|||||
27035|Allamber Springs Granite|67564|3|Fully described|p7 Table 2, p15 Fig.8, p33 Fig.19, p34.|Paleoproterozoic|Paleoproterozoic|I-type. Pluton within Cullen Batholith, Pine Creek Orogen. 600 km2 in area. Contains large (up to 1.5 km across) rafts of Bludells Dolerite. Rare contact metamorphic K-feldspar-cordierite hornfels facies zones.|1825 - 1820 Ma.|Unit in Cullen Supersuite.||Intrudes McCarthys Granite. Is intruded by Frances Creek and Saunders Leucogranites, and Lewin Springs Syenite.|Pink and green, coarse porphyritic hornblende-biotite granite; pink coarse porphyritic and equigranular leucogranites.
38051|Allanah Gneiss|24301|2|Defined|p36 Appendix 1|Mesoproterozoic|Paleoproterozoic|Also referred to as Allanah Granitic Gneiss. Includes rocks previously mapped as Mulga Park Suite. Geological Province: Musgrave Block|||||
38051|Allanah Gneiss|24302|5|Briefly described|Map Legend|Mesoproterozoic|Mesoproterozoic|Biotite-bearing granitic gneiss with secondary muscovite, grey, medium-grained; commonly migmatitic with veins of partial melt cutting early gneissic fabric. Geological Province: Musgrave Block|||||
38051|Allanah Gneiss|24496|5|Briefly described|p14|||May be protolith for some Pottoyu Suite granitoids. Geological Province: Musgrave Block.|||||
38051|Allanah Gneiss|61154|5|Briefly described|p43 Appendix|Mesoproterozoic|Mesoproterozoic|Amphibolite facies felsic gneiss of the 1600-1540Ma period - in the Olia Chain (Mulga Park Domain).  Age: 1539+/-28Ma. Geological province: Musgrave Block.  See also p44 Appendix, p26.|||||
39136|Allia Creek Suite|23733|5|Briefly described|p32 Fig. 19||||||||
