Stratigraphic Name | Stratno |  Previous Name  |Previous Name Stratno| Replacement Name | Replacement Name Stratno |Is Current | Rank | Status | Category | Usage | Parent Name | Parent Stratno | Chemical Parent Name | Chemical Parent Stratno | Top Minimum Age Name | Top Minimum Age (Ma) | Top Minimum Age Error (Ma)| Top Minimum Age Method | Base Maximum Age Name | Base Maximum Age (Ma) | Base Maximum Age Error (Ma) | Base Maximum Age Method | Minimum Thickness (m) | Maximum Thickness (m) | Type Section State | Definition Card | First ref as on form | Def ref as on form | Reserved by | Resdate | Approved by | Approved date |General Comments | Lithology Description | Primary Lithology Group | Secondary Lithology Group | Tectonic Setting | Intrusive | Granite Type
Anderson Bay Formation|418|||||Yes|Formation, beds|Formal|Other new published name|Fully described|||||Holocene||||Holocene|||||||No|35466|||||||||||N|
Andersons Creek Ultramafic Complex|424|||||Yes|Group, Suite|Formal|Variation of published name|Fully described|||||Cambrian||||Cambrian|||||||No|30889|||||||Elongate body of serpentinite, pyroxenite and gabbro.||||N|
Animal Creek Greywacke|461|||||Yes|Formation, beds|Formal|Other new published name|Described|||||Cambrian||||Cambrian|||||||No|36788|||||||||||N|
Annakananda Formation|24161|||||Yes|Formation, beds|Formal|Resvd name published|Fully described|Weld River Group|24566|||Neoproterozoic||||Neoproterozoic|||||100|TAS|Yes|41908||Calver C.R.|10/NOV/88||||Predominantly closed-framework, pebble-cobble conglomerate, usually reddish in colour, and red to brown lithic sandstone. Correlates east of Weld River are predominantly red mudstone, with minor conglomerate.||||N|
Ansons Bay Granite|472|Ansons Bay Adamellite|26347|||Yes|Formation, beds|Formal|Other new published name|Briefly described|||Boobyalla Suite|31666|Late Devonian|366|26|isotopic, Rb/Sr|Middle Devonian|384|2.4|isotopic, U/Pb-Pb/Pb ion probe||||No|37797||||||Superseded by Ansons Bay Adamellite [advice from McClenaghan Feb95], but reverted to Granite in 2005.  Part of the Blue Tier Batholith. Becomes more fractionated northward and has previously been split into Ansons Bay North and Ansons Bay South Granites on the basis of chemical and textural differences (RefID 61723 p816).|S-type, felsic syenogranite to monzogranite with accessory garnet and cordierite|igneous felsic intrusive|||Y|S-type
Anthony Road Andesite|31151|||||Yes|Formation, beds|Formal|Other new published name|Described|Mount Read Volcanics|13057|||Cambrian||||Cambrian|||||||No|43164||||||The once proposed  Anthony Member (TAS) is now the Mount Julia Member - and should not to be confused with reserved Anthony Member for South Australia.|||||N|
Applebee Volcanics|506|||||Yes|Formation, beds|Informal|Variation of published name|Mentioned||||||||||||||||No|36788||||||Ordovician? Name probably obsolete. Not used since 1979.|||||N|
Archer Formation|39978|||||Yes|Formation, beds|Formal|Other new published name|Fully described|||||Cambrian||||Cambrian|||||275||No|24548|||||||Greywacke, slate, subordinate greywacke and greywacke breccia.|sedimentary siliciclastic|||N|
Arm Schist|73349|||||Yes|Formation, beds|Formal|Other new published name|Briefly described|||||Precambrian||||Precambrian|||||||No|63167||||||Incorporated into Howell Group by Jennings (1963) but unclear whether or not the name remains in current usage? Named for the Arm River.|||||N|
Aroo Sequence|41025|||||Yes|Formation, beds|Sequence stratigraphy|Sequence strat published|Described|||||lower Nothofagidites asperus|44||biozone|upper Malvacipollis diversus|51.5||||||No|14235|||||||Coal, sandstone and shale.|organic-rich rock|sedimentary siliciclastic||N|
Arthur Metamorphic Complex|647|||||Yes|Group, Suite|Formal|Other new published name|Described|||||Cryogenian|494|||Cryogenian|777|7|isotopic, U/Pb||||No|63167||||||Tectonic rather than stratigraphic name. Lithology recorded is to be used for Tasmania 1:1million geological map, National Maps Project.  Subdivided informally into 4 units, -Pa Arthur Metamorphic Complex, -Paa, -Pat including Keith Schist, -Pap.|-Pa Chloritic schist with minor phyllite, dolomite and magnetite. -Paa Amphibolite.  -Pat Quartz-mica schist, quartzite, phyllite, and rare dolomite .  -Pap Phyllite with minor pelite schist, foliated quartzite and dolomite, and rare conglomerate.|metasedimentary siliciclastic|metasedimentary carbonate||N|
Ashley Basalt|715|||||Yes|Formation, beds|Formal|Other new published name|Described||||||||||||||||No|24548||||||Of Wells (1957) in describing the Deloraine basalts.  See also Ashley basalt. last used 1973.|Widespread, dense, fine-grained, olivine-poor, amydaloidal, blue-grey rock. Includes the Exton Member.||||N|
Atkins Range Amphibolite|40972|||||Yes|Formation, beds|Informal|Other new published name|Reserved||||||||||||||||No|||Calver C.R., Turner N.J., McClenaghan M.P. et al.|07/MAY/04|||Described but not named in Calver C.R., Turner N.J., McClenaghan M.P. & McClenaghan J. 1990. Geological atlas 1:50,000 series, sheet 80 (8112S).|Amphibolite (in Proterozoic metamorphosed dominantly siliceous shelf sequences).||||N|
Austral Creek Siltstone|778|Hill Shale|8348|||Yes|Formation, beds|Formal|Other new published name|Described|Eldon Group|27768|||Silurian||||Wenlock|||||60||No|43547||||||Mapped by Taylor (1954) as Hill Shale between Keel and Florence Formations, but later defined in the Zeehan area as Austral Creek Formation (Gill and Banks 1950).|Thin bedded grey and green-grey siltstone and fine quartzite in the Duck Creek Syncline; mudstone in Zeehan area.||||N|
Babel Island Granite|830|||||Yes|Formation, beds|Formal|Other new published name|Briefly described|||Boobyalla Suite|31666|Late Devonian||||Middle Devonian|||||||No|42726||||||Formerly Babel Island Suite. Age and suite derived from the 2005 1:500,000 Tasmanian Granites Map and CD (HG, O. Raymond).|S-type alkali-feldspar granite|igneous felsic intrusive|||Y|
Babel Island Suite|31557|||||Yes|Group, Suite|Formal|Variation of published name|Described|||||Early Devonian||||Early Devonian|||||||No|42726||||||Includes Babel Island Granite.|||||Y|
Back Creek Slate|847|||||Yes|Formation, beds|Formal|Unknown or process pending|Mentioned||||||||||||||||No|40136||||||Not to be confused with the Back Creek nomencalture of NSW / QLD Back Creek Group.|||||N|
Back Peak Beds|30392|||||Yes|Formation, beds|Informal|Other new published name|Briefly described|||||Late Cambrian||||Middle Cambrian|||||||No|43131||||||This name used in the 2003 digital geology of Tasmania. Should be Back Peak beds.|||||N|
Badger Head Group|29232|||||Yes|Group, Suite|Formal|Variation of published name|Fully described|||||Proterozoic||||Proterozoic|777||||||No|30887||||||See also Badger Head Complex, Metamorphic Complex, Formation.|Metasediments/turbidites - well bedded monotonous alterantion of quartzwacke and siltstone, and slaty mudstone, moderately well sorted.|metasedimentary|||N|
Bakes Oil Shale|916|||||Yes|Formation, beds|Formal|Variation of published name|Briefly described||||||||||||||||No|37065||||||Same as Tasmanite Oil Shale (Newton, 1875) - not a formal name - it is an impure coal, transitional between cannel coal and oil shale. See also Bakes Oil Shale Member.|||||N|
Bald Hill Complex|941|Bald Hill complex|24683|||Yes|Group, Suite|Formal|Variation of published name|Mentioned||||||||||||||||No|37044||||||See also the informal Bald Hill ultramafic complex . Names may be invalid if Victoria has priority with its Bald Hill Volcanic Complex.|||||N|
Balfour Subgroup|40970|Balfour slates and sandstones|73348|||Yes|Subgroup|Formal|Variation of published name|Described|Rocky Cape Group|27555|||Mesoproterozoic||||Mesoproterozoic|||||||No|63250||Everard, J.L., Seymour, D.B., Reed, A.R et al|14/DEC/07|||Everard, J.L., Seymour, D.B., Reed, A.R., McClenaghan, M.P., Green, D.C., Calver, C.R., Brown, A.V. 2007. Regional geology of the southern Smithton Synclinorium. Redefined in RefID 67502 (2007): Composite type section; Approximately equivalent to "Balfour slates and sandstones" (Ward et al. 1911).|Trough cross-bedded and gutter-cast quartz sandstone interbedded with siliceous and carbonaceous siltstone, fining up to predominantly laminated chloritic siltstone, lesser micaceous sandstone, and rare quartzite.||||N|
Barn Bluff Conglomerate|1115|||||Yes|Formation, beds|Formal|Other new published name|Described|Lower Parmeener Supergroup|10795|||Early Permian||||Early Permian|||||||No|36817|||||||||||N|
Barnbougle Member|1122|||||Yes|Member, phase|Formal|Other new published name|Described|Anderson Bay Formation|418|||Holocene||||Holocene|||||||No|35466|||||||||||N|
Barnetts Member|1128|||||Yes|Member, phase|Formal|Other new published name|Described|Springs Sandstone|17220|||Early Triassic||||Triassic|||||55||No|31760||||||Also referred to as Barnetts Sandstone - names used interchangeably and unclear which takes precedence.|||||N|
Barrington Chert|1190|||||Yes|Formation, beds|Formal|Variation of published name|Fully described|||||Cambrian||||Cambrian|||||1000||No|35791||||||One of 5 major stratigraphic units in Cambrian Dial Range Trough. Correlate of Success Creek Group?|Pure, finely laminated to brecciated black, red and grey chert, interbedded with some greywacke and chert conglomerate units.||||N|
Bass Megasequence|41024|||||Yes|Clan|Sequence stratigraphy|Sequence strat published|Described|||||upper Malvacipollis diversus|51.5||biozone|Tricolporites lilliei|78||||||No|14235|||||||||||N|
Bass Pyramid Granite|1238|||||Yes|Formation, beds|Formal|Other new published name|Briefly described|||||Late Devonian||||Middle Devonian|||||||No|42726||||||Age and suite derived from the 2005 1:500,000 Tasmanian Granites Map and CD (HG, O. Raymond).|Granite|igneous felsic intrusive|||Y|
Bathurst Harbour Amphibolite|41603|||||Yes|Formation, beds|Informal|Reserved|Not recorded||||||||||||||||No||||||||Amphibolite (in Proterozoic metamorphosed dominantly siliceous shelf sequences).||||N|
Battery Hills Granite|1258|||||Yes|Formation, beds|Informal|Other new published name|Briefly described|||Poimena Suite|31626|Middle Devonian||||Devonian|||||||No|42726||||||Formal name not intended.|||||Y|
Baxter Formation (Tas)|23367|||||Yes|Formation, beds|Formal|Resvd name published|Briefly described||||||||||||||||No|42425||Fitzsimons S.J.|17/MAR/89|||Invalid reservation. Already publ. in Victoria. BD 91/27352. Checked in 91/27352 and does refer to TAS unit not cross over unit...is a 1.2m of organic silty sand that overlies Huxley Formation. Unclear if name replaced?|||||N|
Beaconsfield Ultramafic Complex|35843|||||Yes|Group, Suite|Formal|Other new published name|Briefly described|||||Cambrian||||Cambrian|||||||No|23326||||||Lithology recorded is that to be used for Tasmania 1:1million geological map, National Maps Project.|Layered peridotite, serpentinite and associated rocks.||||N|
Beecraft Megabreccia|1383|||||Yes|Formation, beds|Formal|Other new published name|Briefly described|||||Cambrian||||Cambrian|||||150||No|45087||||||Of Burns (1964). One of 5 major strat.units in Cambrian Dial Range Trough.|Blocks of chert and other lithologies in a matrix of lithic wacke and conglomerate.||||N|
Belfast Mudstone|1415|Belfast Mudstone Member|1413|||Yes|Formation, beds|Formal|Other new published name|Defined|Sherbrook Group|16826|||Santonian|83|||Cenomanian|91||||1362|VIC|No|48581|48581|||||This rank preferred in SA (91/27284). Was first nominated as a member of the Paaratte Formation by Bock and Glenie (1965); however Reynolds (1971) reinstated formation status.|Glauconitic dark mudstones.||||N|
Bell Shale|1421|Bell Formation|1419|||Yes|Formation, beds|Formal|Variation of published name|Described|Eldon Group|27768|||Middle Devonian||||Early Devonian|||||425||No|43461||||||See also Bell Formation.|Comprises an upper; dominantly mudstone with marine macrofossils; and a lower: thin bedded, very fine-grained quartz sandstone, siltstone and mudstone; with marine macrofossils.||||N|
Ben Lomond Granite|1453|Ben Lomond granite|1455|||Yes|Formation, beds|Formal|Variation of published name|Briefly described|||Babel Island Suite|31557|Middle Devonian|377|||Devonian|377||||||No|31138||||||Traditional name for Henbury Granite, being part of the Ben Lomond Batholith.|Mostly coarse-grained, porphyritic biotite granite with local textural variations and contains muscovite, tourmaline and topaz.|igneous felsic intrusive|||Y|
Benjamin Limestone|1485|||||Yes|Formation, beds|Formal|Other new published name|Defined|Gordon Group|7586|||Bolindian||||Gisbornian|||||1200|TAS|No|30277|30277||||||Predominantly interbedded microcrystalline peritidal dolomitic micrite, dolomite and calcarenite.||||N|
Benson Peak Sandstone|1490|||||Yes|Formation, beds|Formal|Other new published name|Described|Parameener Supergroup|39316|||Permian||||Permian|||||||No|30155|||||||||||N|
Bernafai Volcanics|1513|||||Yes|Formation, beds|Formal|Other new published name|Briefly described|Ahrberg Group|160|||Neoproterozoic|580|||Neoproterozoic|650||||||No|45003|||||||Schistose rocks with a mineral assemblage of albite-epidote-actinolite-chlorite; the unit includes lavas and fragmental rocks, and poorly cleaved, slaty or phyllitic pelite.||||N|
Berriedale Limestone|1522|Berriedale limestone|1523|||Yes|Formation, beds|Formal|Other new published name|Described|Cascades Group|3730|||Artinskian||||Artinskian|||||100||No|43477||||||See also Berriedale Formation.|Pale grey, coarse-grained crinoidal limestone + subordinate micrite and shale; contains meta-bentonite.||||N|
Beulah Granite|1557|Beulah Microgranite|1558|||Yes|Formation, beds|Formal|Variation of published name|Briefly described|||||Late Cambrian|493.5|3.9|isotopic, U/Pb-Pb/Pb ion probe|Late Cambrian|493.5|3.9|isotopic, U/Pb-Pb/Pb ion probe||||No|42891|||||||I-type biotite-hornblende monzogranite|igneous felsic intrusive|||Y|I-type
Bicheno Granite|24717|Bicheno Adamellite|33472|||Yes|Formation, beds|Formal|Other new published name|Briefly described|||Boobyalla Suite|31666|Late Devonian|381|2||Middle Devonian|381|2|||||No|42726||||||Formal name not intended  in 1991, but formalised in 2005. See also Bicheno Adamellite. One of the informally grouped South Eastern Tasmania Granites.|S-type, reduced, felsic, coarse-grained, fractionated body of syenogranite to alkali-feldspar granite, faulted against Jurassic dolerite|igneous felsic intrusive|||Y|S-type
Billop Sandstone|27339|Billop Formation|26391|||Yes|Formation, beds|Formal|Variation of published name|Described|Golden Valley Group|27784|||Permian||||Permian|||||8||No|34098||||||Part of Parmeener Supergroup.|Micaceous sandstone with erratics.||||N|
Birchs Inlet Volcanics|73143|||||Yes|Formation, beds|Formal|Variation of published name|Briefly described||||||||||||||||No|44135||||||See also the misspelt Birch Inlet Volcanics and the informal Birchs Inlet volcanics.|||||N|
Bird Phyllite|40973|||||Yes|Formation, beds|Formal|Other new published name|Briefly described||||||||||||||||No|||||||Provisionally named the Bird Phyllite in: Everard, J.L. 1999. a blue amphibole occurrence from the Flowerdale River, northern Arthur Lineament.  Tasmanian Geological Survey Record 1999/05, Mineral Resources Tasmania.|Phyllite with minor pelitic schist, foliated quartzite and dolomite, and rare conglomerate.||||N|
Birthday Granite|1736|||||Yes|Formation, beds|Informal|Other new published name|Briefly described|||||Late Devonian||||Devonian|||||||No|42726||||||Formal name not intended.|S-type granite, felsic; strongly fractionated, reduced.||||Y|
Bischoff porphyries|73648|||||Yes|Formation, beds|Informal|Variation of published name|Briefly described|||||Devonian||||Devonian|||||||No|63540||||||Not to be confused with Mount Bischoff nomenclature.|I-type granite, felsic; strongly fractionated, reduced.||||N|
Bishop Tuff|1740|||||Yes|Formation, beds|Formal|Other new published name|Mentioned||||||||||||||||No|41855|||||||||||N|
Black Bluff Range Dolerite|40969|||||Yes|Formation, beds|Reserved|Reserved|Reserved||||||||||||||||No|||Corbett, K.D., Pemberton, J., Vicary, M.J|27/MAR/07|||Used as an informal name (small 'd' dolerite) in: Corbett, K.D., Pemberton, J., Vicary, M.J. 1991.  Mt Read Volcanics Project Geological Report 4.|Tholeiitic dolerite (Black Bluff Range).||||Y|
Black River Dolomite|1824|||||Yes|Formation, beds|Formal|Variation of published name|Described|Togari Group|23016|||Neoproterozoic|650|||Neoproterozoic|750||||600||No|41908||||||Of the Smithton Basin.|Interbedded dolomite, chert, siltstone and black mudstone; discontinuous units of dolomitic diamictite.|sedimentary carbonate|sedimentary siliciclastic||N|
Blackmans Lagoon Member|1867|||||Yes|Member, phase|Formal|Other new published name|Described|Anderson Bay Formation|418|||Holocene||||Holocene|||||||No|35466|||||||||||N|
Blackwood Conglomerate|1880|Blackwood Formation|1881|||Yes|Formation, beds|Formal|Variation of published name|Described|Bogan Gap Group|2080|||Late Permian||||Late Permian|||||1||No|34012||||||Formerly Blackwood Formation. Part of Parmeener Supergroup. Nomenclatural history unclear - appears to have previously been of Bogan Gap Group ANDFerntree Group? Its distinctive lithology makes this unit an excellent marker horizon.|Granule or pebble conglomerate.||||N|
Bluestone Bay Granite|2011|||||Yes|Formation, beds|Formal|Other new published name|Briefly described|||Gardens Suite|31503|Late Devonian||||Late Devonian|||||||No|42726||||||Should be Bluestone Bay Granodiorite [M McClenaghan Jan95]|I-type biotite-hornblende granodiorite|igneous felsic intrusive|||Y|
Bluff Quartzite|2020|||||Yes|Formation, beds|Formal|Variation of published name|Described|Detention Subgroup|28502|||Paleoproterozoic|||inferred, lithostratigraphic correlation|Paleoproterozoic|||inferred, lithostratigraphic correlation||||No|30877||||||name last used 1989. Assumed still part of Detention Subgroup. Age from Subgroup.|||||N|
Bluff River Formation|2022|Bluff River Pebbly Siltstone|2023|||Yes|Formation, beds|Formal|Variation of published name|Described|||||Early Permian||||Early Permian|||||||No|36817|||||||||||N|
Bogan Gap Group|2080|Ferntree Group|6611|||Yes|Group, Suite|Formal|Other new published name|Defined|Lower Parmeener Supergroup|10795|||Late Permian||||Late Permian|||||248|TAS|No|34012|34047|||||Defined by Bravo and Pike (1969). Rocks of this group were formerly correlated with the Ferntree Group in the Central Plateau area but this was later recognised as a mis-correlation (per email S.Forsyth, 11/12/08).|Predominantly quartz and mica mudstone rocks.||||N|
Bold Head Adamellite|2120|Bold Head Granodiorite|33457|||Yes|Formation, beds|Formal|Other new published name|Briefly described|||Grassy Suite|31585|Late Devonian||||Late Devonian|||||||No|37055||||||Small body in eastern King Island. Not same unit as Bold Head Volcanics. This older name should have priority over Bold Head Volcanics, although there is some doubt as to its authenticity as a unique unit - it is possibly the same unit as as Grassy Granodiorite? (per email from S.Forsyth June 2008).|||||Y|
Bold Head Volcanics|74596|Bold Head Formation|37344|||Yes|Formation, beds|Formal|Variation of published name|Described|Skipworth Subgroup|37342|||Ediacaran|579|16||Neoproterozoic III|579|16|||300||No|62516||Direen, N. (GSTAS)|24/JUN/08|||Part of the Grassy Group. May not be a valid name due to priority of the older, pre-existing Bold Head Adamellite.  Intruded by sills of Grimes Intrusive Suite.|Tholeiitic basalt pillows and flows with minor conglomerate and sandstone.||||N|
Bonds Range Porphyry|30389|||||Yes|Formation, beds|Formal|Variation of published name|Mentioned||||||||||||||||No|43131||||||Accidental formalization of Bonds Range porphyry.|||||U|
Boobyalla Granite|23407|Boobyalla granite|2190|||Yes|Formation, beds|Formal|Other new published name|Briefly described|||Boobyalla Suite|31666|Late Devonian||||Late Devonian|||||||No|37797||A.R.Bowden|01/MAY/79|||See also Boobyalla Adamellite. Age and suite derived from the 2005 1:500,000 Tasmanian Granites Map and CD (HG, O. Raymond). |S-type biotite-garnet granite -  adamellite/granite pluton containing biotite and minor amounts of garnet and/or cordierite.|igneous felsic intrusive|||Y|S-type
Boobyalla Suite|31666|||||Yes|Group, Suite|Formal|Other new published name|Briefly described|||||Middle Devonian||||Middle Devonian|||||||No|42726|||||||||||Y|
Bott Conglomerate|2359|||||Yes|Formation, beds|Formal|Variation of published name|Fully described|||||Late Cambrian||||Middle Cambrian|||||||No|36788||||||Fossey Mountains region. Part of Dundas Group according to 2003 digital map of Tasmania.|||||N|
Boulder Point Granodiorite|68774|||||Yes|Formation, beds|Reserved|Reserved|Not recorded|||||Devonian||||Devonian|||||||No|63540||John Everard (MRT)|21/APR/05|||Body described by Baillie (1986). Possibly intruded by Ansons Bay Granite but contacts obscured. Considered by Baillie to be a (very large) xenolith within latter. Coastal outcrops over c. 300m near 604700mE 5472800mN (AGD66).|Equigranular medium- to coarse-grained biotite hornblende granodiorite.  I-type granite, mafic to felsic, unfractionated, reduced.||||Y|
Boullanger Formation|23412|||||Yes|Formation, beds|Formal|Other new published name|Defined|Lower Parmeener Supergroup|10795|||Sakmarian||||Sakmarian||||||TAS|No|39579|39579|Geological Survey of Tasmania|03/AUG/79|||Age: Lower Bernacchian (GSA Special Publication 15 p302)|Includes non-marine beds consisting mainly of dark, carbonaceous, micaceous and pyritic mudstone with subordinate lighter-coloured, flaser-bedded siltstone with much bioturbation and abundant hydroplastic structures.|argillaceous detrital sediment|||N|
Bowens Jetty Sandstone|2416|||||Yes|Formation, beds|Formal|Other new published name|Mentioned|Middle Arm Group|11778|||Kazanian||||Kungurian|||||||No|30889|||||||||||N|
Bowlers Lagoon Member|28394|||||Yes|Member, phase|Formal|Other new published name|Described|Anderson Bay Formation|418|||Holocene||||Holocene|||||||No|35466|||||||||||N|
Bowry Formation|2438|Bowry Creek Member|21308|||Yes|Formation, beds|Formal|Variation of reserved name|Described|Timbs Group|26945|||Neoproterozoic|777|7||Neoproterozoic|780||||||No|42551||||||Previously referred to as part of "Timbs Group". Originally reserved as Bowry Creek Member by Turner (1987).|Distinct unit of pelitic schist with amphibolite and associated pyrite-magnetite lenses, magnesite and dolomite.|metasedimentary siliciclastic|sedimentary carbonate||N|
Boyd River Formation|2461|Boyd Formation|21312|||Yes|Formation, beds|Formal|Variation of published name|Briefly described|||||Middle Cambrian||||Middle Cambrian|||||||No|42227||||||Reserved as Boyd Formation. Surrounded by rocks of the Ragged Basin Complex.|Quartzite conglomerate, including coarse alluvial fans and submarine fans, and turbiditic quartzwacke.||||N|
Boyes River Ultramafic Complex|2464|||||Yes|Group, Suite|Formal|Other new published name|Mentioned|||||Cambrian||||Cambrian|||||||No|41793||||||See also Boyes River Complex.|||||N|
Brady Formation|2474|||||Yes|Formation, beds|Formal|Variation of published name|Fully described|Upper Parmeener Supergroup|18944|||Carnian||||Ladinian|||||165||No|24549||||||See also Lexicon. SK55-6. See also Brady formation.|Feldspathic sandstone and dark grey shale, in about equal amounts; carbonaceous shale and coal bands are common||||N|
Breadalbane Lignite|30095|||||Yes|Formation, beds|Formal|Other new published name|Briefly described||||||||||||||||No|43088|||||||||||N|
Brewery Junction Formation|2528|||||Yes|Formation, beds|Formal|Variation of published name|Fully described|Dundas Group|26529|||Late Cambrian||||Middle Cambrian|||||||No|31464|||||||Conglomerate.||||N|
Bridport Suite|31540|||||Yes|Group, Suite|Formal|Other new published name|Briefly described|||Tulendeena Supersuite|31538|Middle Devonian||||Middle Devonian|||||||No|42726||||||In Bassian Batholith of Chappell et al 1991.|||||Y|
Browns Creek Group|2694|||||Yes|Group, Suite|Formal|Other new published name|Briefly described||||||||||||||||No|42863||||||The Browns Creek Clay nomenclature of Victoria, described in 1971 and several times subsequently,  takes precedence - name should be invalid.|||||N|
Brumby Marl|2707|||||Yes|Formation, beds|Informal|Variation of published name|Mentioned|||||Permian||||Permian|||||||No|43474||||||Same unit as Brumby Mudstone - authors seem unsure whether this unit is part of the upper Quamby Group or basal Golden Valley Group?|||||N|
Brumby Mudstone|2708|||||Yes|Formation, beds|Informal|Variation of published name|Mentioned||||||||||||||||No|43474||||||See also Brumby Marl - authors seem unsure whether this unit is part of the upper Quamby Group or basal Golden Valley Group?|||||N|
Bryant Hill Quartzite|2729|||||Yes|Formation, beds|Formal|Other new published name|Mentioned||||||||||||||||No|34701|||||||||||N|
Bubs Hill Limestone|24774|||||Yes|Formation, beds|Formal|Variation of published name|Briefly described||||||||||||||||No|40127||||||Possible misspelling of Bubbs Hill?  But place name is actually Bubs Hill so should be correct.|||||N|
Bulgobac Porphyry|40958|||||Yes|Formation, beds|Reserved|Other new published name|Reserved||||||||||||||||No|||Corbett K.D., Komyshan P.||||Described but not named in: Corbett K.D., Komyshan P. 1989.  Geology of the Hellyer-Mt. Charter area. Geol. Rep. Mt Read Volc. Proj., Tasm. 1.  Discussed with Keith Corbett who suggested this as the most appropriate name.|Quartz-feldspar porphyry.||||N|
Bull Creek Formation|2875|||||Yes|Formation, beds|Formal|Unknown or process pending|Defined|||||Late Cambrian||||Middle Cambrian|||||||No|29626||||||Name introduced on the Sheffield 1-mile sheet (1959), and defined in: Burns, K.L., 1961. Cambrian Rocks of the Dolcoath Anticline.  Tas. Dept. Mines Tech. Rep. 5: 34-44.  See also: Jennings, I.B., 1963. Geological Survey explanatory report, one mile geological map series K/55-6-45 Middlesex. Tasmania Department of Mines p41-51.   Not related to Pleistocene Bull Rivulet Formation.|||||N|
Bundella Mudstone|2985|||||Yes|Formation, beds|Formal|Unknown or process pending|Fully described|Lower Parmeener Supergroup|10795|||Sakmarian||||Asselian|||||||No|43474||||||Age: Tamarian. See also Bundella Formation|Richly fossiliferous pebbly marine Mudstone with common dropstones.||||N|
Burnt Gully Limestone|3096|||||Yes|Formation, beds|Formal|Variation of published name|Mentioned|Lower Parmeener Supergroup|10795|||Permian||||Permian|||||||No|41696||||||Member of Castle Carey Formation?|Dominantly bioclastic limestone||||N|
Butler Island Formation|23448|||||Yes|Formation, beds|Formal|Other new published name|Briefly described||||||||||||||||No|36957||G.T.Roberts|01/DEC/78||||||||N|
