Stratno | Stratigraphic Name | Category | Contents | Last update 
4408|Comstock Formation|Lithology|The Comstock Formation is dominated by massive crystal-rich volcaniclastic sandstone and massive to normally graded crystal-, lithic-rich volcaniclastic lithic breccia units. Minor facies include laminated and graded fine sandstone/mudstone units, carbonate (fossiliferous in places; Jago et al. 1972), welded ignimbrite, ignimbrite-clast volcaniclastic breccia, coherent rhyolite (flow banded in places) and rhyolite clast volcaniclastic breccia. The lower part is derived largely from andesitic to dacitic volcanism (Lynchford Member) while the upper part is derived largely from rhyolitic to dacitic volcanism (Mount Julia Member). Details are given in White and McPhie (in prep). Crystal-rich volcaniclastic facies containing approximately 1-5% titanomagnetite, dominate in this formation which gives it a characteristically high magnetic signature relative to the surrounding units. Corbett et al. (1974) defines the Comstock Tuff as comprising an interbedded sequence of quartz-keratophyric tuff, breccia, sandstone, shale and limestone.|
4408|Comstock Formation|Relationships and boundaries|The character of the lower contact (to older underlying rocks) appears to be conformable in some areas (e.g. Comstock, Anthony Road) where an interfingering contact to the underlying andesite units is observed. In some areas (e.g. Lynchford, Moxon Saddle) the Comstock Formation is interpreted to rest unconformably on, or in fault contact with older rocks of the Mount Read Volcanics. In other areas the contact is poorly defined due to poor exposure.  In areas of good exposure (e.g. Comstock, Anthony Road, Henty Canal), the upper contact of the Comstock Formation (with the overlying Zig Zag Hill Formation) is gradational and conformable.|
4408|Comstock Formation|Age reasons|The age is best constrained by fossil dating. Marine fossils found in a brown mudstone unit (largely trilobites) within the 'Comstock Formation correlates' on the Cradle Mountain Link Road are dated as late Middle Cambrian in age (Lejopyge laevigata II and III to Damesella torosa-Ascionepea janitrix zones) (Pemberton et al. 1991). The age range of these fossils is approximately 530 to 520 Ma (Shergold 1989). The fossiliferous carbonate (limestone) unit in the Comstock Formation at Comstock contains fauna of a similar age (late Middle to early Late Cambrian age: Jago et al. 1972). Recent isotopic U-Pb dating of magmatic zircons from 2 crystal-rich volcaniclastic sandstone samples in the Comstock Formation yielded two relatively young dates of 494.4+/-3.8 Ma and 502.5+/-3.3 Ma (Perkins and Walshe 1993).|
37828|Corn Hill Formation|Name source|Named from a nearby property "Corn Hill" over-which it is the dominant bed-rock,|
37828|Corn Hill Formation|Unit history|Corn Hills beds (Hills, 1982)|
37828|Corn Hill Formation|Geomorphic expression|Ranging from steep but low relief at type section to undulating farm land.|
37828|Corn Hill Formation|Description at type locality|146degrees49'50" E 41degrees15'56" S Bulls Road (off Rookery Road) Northern Tasmania.  The type locality is a substantial road cutting on the southern side of the road.  The site was that from which Banks and Rickards (1989) recovered graptolites and Hills (1982) recovered the remaining fauna and first described the unit.  It is the most substantial outcrop of the unit known although good exposure is available in drill cores DDH B48 and DDH B49 drilled for the purpose of geotechnical investigation of the Mill Site for the Beaconsfield Gold Mine held at the Beaconsfield Gold Mine core shed.|
37828|Corn Hill Formation|Extent|Flowery Gully - Leonardsburgh area, southwest of Beaconsfield, Northern Tasmania.|
37828|Corn Hill Formation|Thickness range|Indeterminate due to poor outcrop, folding complexity truncation by faulting but of the order of 600m.|
37828|Corn Hill Formation|Lithology|Foliated micaceous shaley quartz siltstone with lesser quartzwacke sandstone, siltstone and shale beds of turbiditic character.|
37828|Corn Hill Formation|Depositional environment|Moderately deep water (probably outer shelf) turbidites.|
37828|Corn Hill Formation|Fossils|Monograptus thomasi, Actinopteria meridionalis, Pracadium sp., Styliolina minuta and others of lesser significance.|
37828|Corn Hill Formation|Relationships and boundaries|Unconformably overlies the (as yet formally undefined) Johnson Creek siltstone of Silurian age (correlated with the Eldon Gp of Western Tasmania) and truncated above by Tabberabberan age Cabbage Tree Thrust.  Neither boundary is observable at the type locality.  The position of the lower boundary can be approximated due to the contrasting competency of the shaley Corn Hill Formation with respect to the more massive quartz sandstone at the top of the Johnson Creek siltstone in poor outcrop east of the Flowery Gully Road 500m due west of the type locality.  The boundary is considered to be an unconformity due to the constraints of contrasting lithology and faunal control, the Johnson Creek siltstone being of Early Silurian age (Hills, 1982).  The upper boundary of the Corn Hill Formation is a thrust juxtaposing it beneath a conformable sedimentary sequence of demonstrable Cambrian - Early Ordovician age (Jago, 1980; Laurie, 1996a; 1996b; 1998; Laurie and Hills, in prep.)  The position of the thrust is constrained within a few tens of metres along the western flank of the Cabbage Tree Hill - Salisbury Hill strike ridge immediately west of Beaconsfield and is constrained in drill core from the Beaconsfield Gold Mine (DDHs B13, B32 & B50) 7km NNW of the type locality where it occurs as a sheared pug and hydrothermal alteration zone over several metres thickness.  It is thought that the thrust represents a major fluid path for gold mineralisation.  The drill holes do not penetrate the thrust.  The thrust outcrops poorly as a zone of shearing and clay pug over a width of 1m in a road cutting 500m northeast of the type locality where Ordovician sediments overlie the Corn Hill Formation.|07/FEB/11
37828|Corn Hill Formation|Age reasons|Early Devonian (Pragian) based on fossils, particularly M. thomasi.|
37828|Corn Hill Formation|Correlations|Mathinna Group (Hills, 1982; Elliot, Woodward & Gray, 1993), lithological, sedimentological and biostratigraphical; Sidling sandstone, Panama Group, Mathinna Supergroup (Reed, in prep), lithological, sedimentological and biostratigraphical; Wilson Creek Shale, Victoria (Banks and Rickards, 1989), biostratigraphical.|
37828|Corn Hill Formation|Proposed publication|Rickards  et al. (in prep) Papers & Proceedings of the Royal Society of Tasmania|
37828|Corn Hill Formation|Comments|The Corn Hill Formation is a typical turbidite deposit exhibiting characteristic alteration from shale to quartzwacke sandstone over intervals of approximately 1m.  Sedimentary structures such as slumping, flute casting, current bedding and small scale erosional cut-offs are common-place at the type locality and elsewhere.  The flute casting and current bedding in particular indicated deposition from the west-southwest.|
37828|Corn Hill Formation|References|*BANKS, M.R., & Rickards, R.B., 1989.  Early Devonian graptolites from Tasmania.  Pap. Proc. R. Soc. Tasm.  123: 111-117.     *ELLIOT, C.G., Woodward, N.B. & Gray, D.R., 1993.  Complex regional fault history of the Badger Head region, northern Tasmania, Australian Journal of Earth Sciences, 40: 155-168.    *HILLS, P.B., 1982.  The geology of the Lower and Middle Palaeozoic rocks of Flowery Gully, Northern Tasmania, BSc Honours thesis (unpublished), University of Tasmania, Hobart    *HILLS, P.B., 1998.  Tasmania gold deposit, Beaconsfield, in Geology of Australian and Papua New Guinean Mineral Deposits (Eds. D.A. Berkman and D.H. MacKenzie), pp 467-472 (The Australasian Institute of Mining and Metallurgy: Melbourne). Jago, J.B., 1980.  Late Middle Cambrian fossils from Beaconsfield, Tasmania.  Pap. Proc. R. Soc. Tasm. 114: 219-223.  *LAURIE, J.R., 1996a.Macrofossils from the Cabbage Tree Formation, Middle Arm Gorge, near Beaconsfield, Tasmania, Australian Geological Survey Organisation Professional Opinion 1996/008 (unpublished).    *LAURIE, J.R., 1996b.  Macrofossils from the ?Cabbage Tree Formation, along Bull's Road, near Flowery Gully, Tasmania, Australian Geological Survey Organisation Professional Opinion 1996/009 (unpublished).    *LAURIE, J.R., 1998.  Macrofossils from SW of Bulls Road, Winkleigh and Pentlands Road, Northern Tasmania, Australian Geological Survey Organisation Professional Opinion 1998/06 (unpublished).     *LAURIE, J.R. & Hills, P.B., in prep.  Early Ordovician fossils from the Beaconsfield area, Northern Tasmania.  Pap. Proc. R. Soc. Tasm.    *MacDONALD, G., Hills, P.B. Reed, A.R., Zengerer, M., Morrison, K.C. and Roach, M., 2001.  Beaconsfield Region, in Structure and setting of Proterozoic and Palaeozoic rocks in the Tamar region, Northern Tasmania, (Ed. A. R. Reed), Geological Society of Australia Specialist Group in Tectonics and Structural Geology ; Field Guide No. 9.  Pp. 25-42.    *REED, A.R., In Prep.  Pre-Tabberabberan deformation in eastern Tasmania: a southern extension of the Benambran Orogeny.  A.J.E.S.     *RICKARDS, R.B., Hills, P.B., Banks, M.R. and MacDonald, G., In Prep. A new discovery of Monograptus thomasi (Early Devonian) southwest of Beaconsfield, Tasmania and its significance. Pap. Proc. R.Soc. Tasm.|10/FEB/11
24229|Cotcase Creek Formation|Name source|Cotcase Creek [DN540560], Wedge 1:000 000 Mapsheet.|
24229|Cotcase Creek Formation|Type section locality|The outcrop area as indicated on the Pedder Mapsheet is the designated type area.|
24229|Cotcase Creek Formation|Extent|Unit is exposed over about 70 km2 in the Weld Valley between Frodsham's Pass and the Snake River. On the Pedder 1:50 000 mapsheet rocks belonging to this unit are indicated or prefixed with the symbol Cewc.|
24229|Cotcase Creek Formation|Thickness range|Of the order of 2 km; uncertain due to faulting and possible folding.|
24229|Cotcase Creek Formation|Lithology|Dominantly ;massive, fine-grained pale grey dolomite; units of dolomitic mixtite, mudstone and sandstone, interlayered on scales of metres to hundreds of metres, are common.|
24229|Cotcase Creek Formation|Relationships and boundaries|All known contacts with other Precambrian units are faults. The unit is included in the Weld River Group on the basis of proximity and overall lithologic similarity.|
24229|Cotcase Creek Formation|Age reasons|Late Precambrian (as for Weld River Group)|
4882|Crescent Spur Sandstone|Name source|Crescent Spur (~CQ650070), about 1 km south of the former township of Luina (Arthur River 1:100 000 topographic sheet (7915) and Luina 1:25 000 topographic and geological sheets (3640). (Crescent Spur originally included Godkin Ridge, in the type locality, but is now applied to the southwest extension of the ridge).|
4882|Crescent Spur Sandstone|Unit history|Previous terms are the "Micaceous Sandstone Formation" (Glasson & Hopwood 1962; Cox & Glasson 1967), 'massive micaceous sandstone' (Mason 1965), the "Crescent Spur Mica Sandstone Formation" (Cox 1968; Cox & Glasson 1971),"mica sandstone unit" (Ransom & Hunt 1975) and "Crescent Spur mica sandstone" (Palmer 1976). Corresponds to the "tuffs" of Hughes (1953) and to part of the Luina Beds of Rubenach (1973).|07/JUN/11
4882|Crescent Spur Sandstone|Geomorphic expression|Tends to form high ground, particularly in contrast to the underlying Hall Formation.|
4882|Crescent Spur Sandstone|Type section locality|The north flank of Godkin Ridge on the Corinna Road, between CQ667085 and CQ683080 (e.g. Everard 2003).|
4882|Crescent Spur Sandstone|Extent|Crops out over ~4km2 on Godkin Ridge, Crescent Spur and in the Whyte River valley near the confluence of "Falls Creek" (CQ644055), with probable correlates in the headwaters of "Falls Creek" (~CQ652048-CQ672055) and west of the Whyte River valley (~CQ645080).|
4882|Crescent Spur Sandstone|Thickness range|over 350m thick at the type locality.|
4882|Crescent Spur Sandstone|Lithology|Grey, fine- to medium-grained turbiditic micaceous greywacke and interbedded siltstone and mudstone, with thick units of red-brown arglllite and minor grey banded chert, spilitic basalt and associated mafic tuff and volcaniclastic greywacke (Collins 1983).|
4882|Crescent Spur Sandstone|Depositional environment|Probably deep water, but turbiditic character and the presence of quartz and metasedimentary detritus (grains of quartzite, schist, muscovite, minor biotite and rare garnet) suggests a depositional setting close to a continental slope.|
4882|Crescent Spur Sandstone|Fossils|None known.|
4882|Crescent Spur Sandstone|Diastems or hiatuses|Not known|
4882|Crescent Spur Sandstone|Relationships and boundaries|Conformably overlies the Hall Formation to the east, and is faulted against the Whyte River Complex to the west.|
4882|Crescent Spur Sandstone|Age reasons|Considered "Eocambrian(?)-Early Cambrian(?)" by Collins (1983); now considered probably Early Cambrian, possibly Late Neoproterozoic (see Luina Group).|
4882|Crescent Spur Sandstone|Alteration and Mineralisation|In greywacke, obliteration of clastic texture by tourmaline (+- quartz, fluorite, chlorite, late carbonate, minor biotite and rare cassiterite) adjacent to veins, and replacement of muscovite and chlorite by biotite with increasing depth (Collins 1983).|
4882|Crescent Spur Sandstone|Defn author|Definition card completed by J. L. Everard from definition of Collins (1983), p. 306-307.|
4882|Crescent Spur Sandstone|Comments|Subconcordant and discordant bodies of dolerite/gabbro intrude the crescent Spur Sandstone at the type locality (Collins 1983).|
4882|Crescent Spur Sandstone|References|COX R. 1968. The economic geology of the Cleveland and Magnet mines, Tasmania. Ph.D. thesis, University of Sydney.  **COX R. & Glasson 1967. The economic geology of the Cleveland mine. In: The geology of western Tasmania- a symposium. University of Tasmania Geology Department, Hobart, November 1967.  **COX R. & Glasson 1971. The geology and mineralisation of the Cleveland mine, Tasmania. Economic Geology 66: 861-878.  **COLLINS, P. L. F. 1983. Geology and mineralisation at the Cleveland mine, western Tasmania. Ph.D. thesis, University of Tasmania.  **EVERARD, J.L. (compiler). 2003. Digital Geological Atlas 1:25000 series, Sheet 3640. Luina. Mineral Resources Tasmania.  **GLASSON K.R. & HOPWOOD T. 1962. Geological report, Mt Cleveland mine, Waratah district, Tasmania. Unpublished report, Aberfoyle Tin Development Partnership.  **HUGHES T.D. 1953. The Mt Cleveland mine. Unpublished report, Department of Mines Tasmania 1953: 82-85.  **MASON A. A. C. 1965. Tin ore deposits of Mt Cleveland. In: Geology of Australian Ore Deposits, 2nd Edition. 8th Commonwealth Mining and Metallurgical Congress, Melbourne: 503-505.  **PALMER K. G. 1976. The Cleveland tin deposit. In: Solomon M. & Green G.R. (Eds.) Ore deposits of western Tasmania. Excursion Guide 31Ac, 25th International Geological Congress, Sydney, 1976.  **RANSOM D. M. & HUNT F. L. 1975. The Cleveland tin mine. In Knights C. L. (Ed.) Economic geology of Australia and Papua- New Guinea. Australasian Institute of Mining and metallurgy Mon. 5: 584-591.  **RUBENACH M. J. 1973. The Tasmanian ultramafic-gabbro and ophiolite complexes. PhD thesis, University of Tasmania.|
5328|Deep Creek Volcanics|Name source|Deep Creek, the former name of Washington Creek, which enters the Whyte River 2 km south of Luina (CQ645061), Arthur River 1:100000 topographic sheet (7915), Luina 1:25000 topographic sheet (3640) and geological sheet (Everard 2003).|
5328|Deep Creek Volcanics|Unit history|The term  "Deep Creek Basic Volcanics Formation" was used by Cox (1968) and Cox and Glasson (1971) for the mafic volcanic sequence cropping out southeast of the Cleveland Mine, and "Whyte Hill Basic Volcanics Formation" was applied by Cox (1968) for similar but less extensive mafic volcanics cropping out on Whyte Hill (CQ686078). Other terms used in the Cleveland Mine area have been the "lavas" (Hughes 1953), the "Basic Volcanics Formation" (Glasson and Hopwood 1962; Cox and Glasson 1967), the "massive volcanics" (Mason 1965), the "basic volcanic unit" (Ranson and Hunt 1975) and the "Deep Creek basic volcanics" (Palmer 1976); all coincide with and are superseded by Deep Creek Volcanics.|07/JUN/11
5328|Deep Creek Volcanics|Geomorphic expression|Tends to form high ground, particularly in contrast to the overlying Hall Formation.|
5328|Deep Creek Volcanics|Type section locality|The type section is in Washington Creek (formerly Deep Creek) between CQ650065 and CQ665072. A reference section is also designated in "Falls Creek" (CQ646054 to CQ652047) and a short reference section occurs at the summit of Whyte Hill (CQ688079)(Collins 1983).|07/JUN/11
5328|Deep Creek Volcanics|Extent|Exposed for about 4 km2 in the Cleveland Mine area, between Washington Creek and "Falls Creek" and on Whyte Hill (Everard 2003). Elsewhere, the unit has not been fully differentiated from other constituent formations of the Luina Group.|
5328|Deep Creek Volcanics|Thickness range|Probably over 600m southeast of the Cleveland Mine; the reference section in "Falls Creek" is 350m thick. However, the base is nowhere exposed and, on the other hand, any estimate may be exaggerated by faulting (Collins 1983).|07/JUN/11
5328|Deep Creek Volcanics|Lithology|Massive and locally pillowed spilitic basalt flow, with intercalated and interbedded fine-grained and lapilli tuff, volcaniclastic greywacke, red to chocolate-brown argillite and minor red-grey-green chert (Collins 1983).|
5328|Deep Creek Volcanics|Depositional environment|Probably deep water, pelagic or continental slope.|
5328|Deep Creek Volcanics|Fossils|None known|
5328|Deep Creek Volcanics|Diastems or hiatuses|Not known|
5328|Deep Creek Volcanics|Relationships and boundaries|Conformably overlain by the Hall Formation to the west. To the east, it is faulted against serpentinised mafic-ultramafic rocks at Whyte Hill. To the southeast (e.g. in "Falls Creek") it is bounded by a turbiditic greywacke sequence similar to the Crescent Spur Sandstone, but the nature of this boundary is unknown (Collins 1983).|
5328|Deep Creek Volcanics|Structure and Metamorphism|Igneous clinopyroxene and calcic plagioclase are partly replaced by a greenschist facies including albite-oligoclase-actinolite, chlorite, titanite, epidote, calcite, magnetite, ilmenite (?) and sulphides (Collins 1983).|
5328|Deep Creek Volcanics|Age reasons|Considered "Eocambrian(?)-Early Cambrian(?)" by Collins (1983); now considered probably Early Cambrian, possibly Late Neoproterozoic (see Luina Group).|
5328|Deep Creek Volcanics|Correlations|Basalts in the Ramsay River and upper Arthur River/Wandle River areas may be correlates (Brown 1986; Williams & Brown 1983).  A suggested correlation with basalts intercalated with the Crimson Creek Formation (Collins 1983) is now considered unlikely (e.g. Brown and Jenner 1988; Brown 1989, p. 64).|
5328|Deep Creek Volcanics|Alteration and Mineralisation|In the Cleveland Mine area, alteration of relict clinopyroxene to actinolite and albitised plagioclase to quartz, sericite, chlorite and minor biotite defines a halo adjacent to cassiterite-sulphide mineralisation. The halo is also defined by an increase in Rb, Sn and Zn and depletion of Na2O and K2O (Collins 1983).|
5328|Deep Creek Volcanics|Geophysical Expression|Associated with moderate to strong anomalies on aeromagnetic images.|
5328|Deep Creek Volcanics|Geochemistry|Basaltic (e.g. SiO2~ 46-50%, MgO~ 5-7%). Possibly three groups with ~1.6%, 2.5% and 3.7% TiO2 can be distinguished. Immobile element ratios (e.g. Nb/Y, Zr/P2O5) are characteristic of tholeiites. Weakly LEE-enriched((La/Yb)N 1.76-2.75) at 10-70 x chondrite (Collins 1983; Everard in Corbett et al. 2011).|
5328|Deep Creek Volcanics|Defn author|Definition card completed by J. L. Everard from definition of Collins (1983), p. 303-305.|
5328|Deep Creek Volcanics|References|BROWN  A. V. 1986. Geology of the Dundas¿Mt Lindsay¿Mt Youngbuck Region. Geological Survey Bulletin 62, Department of Mines Tasmania, Hobart.  **BROWN  A.V. 1989. Eocambrian-Middle Cambrian mafic volcanic rocks. In: BURRETT C. F. & MARTIN E. L. (eds). Geology and Mineral Resources of Tasmania. Geological Society of Australia Special Publication 15, 61-69.  **BROWN  A.V. & JENNER  G.A. 1988: Tectonic implications of the reinterpretation of Eocambrian-Cambrian mafic volcanics and associated ultramafic rocks in western Tasmania. In: TURNER N.J. (editor): The Geology and Evolution of the Latest Precambrian and Cambrian rocks in the Western Tasmania Terrane. Abstracts Volume, Geological Society of Australia (Tasmania Division).p. 23-25.  **CORBETT K.D. Quilty P. G. & Calver C. R. (Eds.) 2011. The Geological Evolution of Tasmania. Geological Society of Australia Special Publication.  **COX R. 1968. The economic geology of the Cleveland and Magnet mines, Tasmania. Ph.D. thesis, University of Sydney.  **COX R. & Glasson 1967. The economic geology of the Cleveland mine. In: The geology of western Tasmania- a symposium. University of Tasmania Geology Department, Hobart, November 1967.  **COX R. & Glasson 1971. The geology and mineralisation of the Cleveland mine, Tasmania. Economic Geology 66: 861-878.  **COLLINS, P. L. F. 1983. Geology and mineralisation at the Cleveland mine, western Tasmania. Ph.D. thesis, University of Tasmania.  **EVERARD, J.L. (compiler). 2003. Digital Geological Atlas 1:25000 series, Sheet 3640. Luina. Mineral Resources Tasmania.  **GLASSON K.R. & HOPWOOD T. 1962. Geological report, Mt Cleveland mine, Waratah district, Tasmania. Unpublished report, Aberfoyle Tin Development Partnership.  **HUGHES T.D. 1953. The Mt Cleveland mine. Unpublished report, Department of Mines Tasmania 1953: 82-85.  **MASON A. A. C. 1965. Tin ore deposits of Mt Cleveland. In: Geology of Australian Ore Deposits, 2nd Edition. 8th Commonwealth Mining and Metallurgical Congress, Melbourne: 503-505.  **PALMER K. G. 1976. The Cleveland tin deposit. In: Solomon M. & Green G.R. (Eds.) Ore deposits of western Tasmania. Excursion Guide 31Ac, 25th International Geological Congress, Sydney, 1976.  **RANSOM D. M. & HUNT F. L. 1975. The Cleveland tin mine. In Knights C. L. (Ed.) Economic geology of Australia and Papua- New Guinea. Australasian Institute of Mining and metallurgy Mon. 5: 584-591.  **WILLIAMS P.R. & BROWN A.V. 1983. An unusual occurrence of ultramafic and mafic rocks north of Mt Bischoff, NW Tasmania. Papers and Proceedings of the Royal Society of Tasmania 117, 53-58.|
24243|Devils Eye Dolomite|Name source|Devils Eye Cave, at DN556472, Wedge 1:100 000 Mapsheet.|
24243|Devils Eye Dolomite|Type section locality|Outcrop on Mt Anne's northeast ridge [DN550468-DN558480] and in the upper reaches of the Weld River [DN559544-DN554579] is designated the (composite) type area.|
24243|Devils Eye Dolomite|Extent|The unit is exposed over a total of approximately 20 km2 on Mt Anne's northeast ridge; in the headwaters of Sandfly Ck. and along the upper reaches of the Weld River. The unit is indicated on the Pedder 1:50 000 Mapsheet with the symbol Cewtg.|
24243|Devils Eye Dolomite|Thickness range|Very approximately 2 km; uncertain due to faulting.|
24243|Devils Eye Dolomite|Lithology|Pale grey dolomite, typically of interbedded grainstone and fine-grained types.|
24243|Devils Eye Dolomite|Relationships and boundaries|Conformably overlies Gomorrah Dolomite, and is conformably overlain by Styx Dolomite at DN554579.|
24243|Devils Eye Dolomite|Age reasons|Late Precambrian (as/or Weld River Group).|
24243|Devils Eye Dolomite|Proposed publication|Pap. Proc. R. Soc. Tasm., 123|
29222|Gelignite Creek Member|Name source|Gelignite Creek, [DN492512], Wedge 1:100 000 Mapsheet.|
29222|Gelignite Creek Member|Type section locality|The outcrop area as indicated on the Pedder mapsheet, is the designated type area.|
29222|Gelignite Creek Member|Extent|The unit is exposed over about 1/2 km2 along the crest of a strike ridge extending west from the Scotts Peak Road [DN485495] almost to the Huon River [DN460495]. The unit is indicated on the Pedder 1:50 000 geological map by the symbol Psq.|
29222|Gelignite Creek Member|Thickness range|Approximately 200 m.|
29222|Gelignite Creek Member|Lithology|White to pink, medium- to coarse-grained quartzarenite and lesser quartzitic pebble-conglomerate.|
29222|Gelignite Creek Member|Relationships and boundaries|Part of the Huon River Formation, Pandani Group. Conformably overlies weathered white siltstone (Huon River Formation) at DN485495; top of unit obscured by younger cover.|09/MAY/07
29222|Gelignite Creek Member|Age reasons|Late Precambrian (as for Pandani Group).|
29222|Gelignite Creek Member|Proposed publication|Explanatory Report, Department of Mines, Tasmania, for Pedder 1:50 000 Mapsheet.|
24293|Gomorrah Dolomite|Name source|Gomorrah, the large eastern spur [DN555465] of Mt Anne's north-east ridge, Wedge 1:100 000 Mapsheet.|
24293|Gomorrah Dolomite|Type section locality|Outcrops of massive dolomite along the ridge between DN543463 and DN550468 constitute the type area.|
24293|Gomorrah Dolomite|Extent|The unit is exposed over approx. 4 km2 on Mt Anne's northeast ridge. A correlate is exposed over a larger area in the Weld River-Styx River-South Styx River area..|
24293|Gomorrah Dolomite|Thickness range|Approximately 800 m.|
24293|Gomorrah Dolomite|Lithology|Pale grey dolomite, usually massive, rarely laminated. Rare mudstone, sandstone, chert|
24293|Gomorrah Dolomite|Relationships and boundaries|Conformably overlies Annakananda Formation at DN543463; and is conformably overlain by Devils Eye Dolomite at DN550468 (contact not observed).|
24293|Gomorrah Dolomite|Age reasons|Late Precambrian (as for Weld R. Group).|
24293|Gomorrah Dolomite|Proposed publication|Pap. Proc. R. Soc. Tasm., 123|
75977|Guilfoyle Creek Basalt|Name source|Guilfoyle Creek, a small stream rising immediately west of the type area.|
75977|Guilfoyle Creek Basalt|Unit history|replaces Miners Ridge Basalt (also basalt, basalts) (not valid names, since Miners Ridge Sandstone in the same area has priority).|
75977|Guilfoyle Creek Basalt|Geomorphic expression|Subdued. Less resistant than the Miners Ridge Sandstone in the overlying Yolande River Sequence.|
75977|Guilfoyle Creek Basalt|Type section locality|Western flank of Miners Ridge, about 4 km S of Queenstown, western Tasmania (~42 deg 07' 08" S, 145 deg 33' 20" E). Shown as the unit "ophitic textured tholeiitic basalt lava, breccia and tuff, with associated intrusives" by Corbett et al. (1989) and Green & Everard (2006).|06/JUN/11
75977|Guilfoyle Creek Basalt|Extent|Strike length near type locality ~ 1.5 km; not known elsewhere (but see correlation).|
